start	end	text
18.865	22.328	弟兄姊妹平安，我們按照《梅日言經》事業的進度一起來思想。
22.328	25.672	《出埃及記》第六章,十四到二十五節。
25.672	29.916	首先我們一起來讀十四節到第十九節。
29.916	33.920	以色列人家長的名字記在下面。
33.920	40.886	以色列長子劉便的兒子是哈諾、法路、希斯倫、加米。
40.886	42.107	這是劉便的各家。
43.609	74.906	西緬的兒子是耶姆利﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏﹏ 格順的兒子按著家氏是利尼,氏美。
74.906	80.611	哥俠的兒子是岸蘭,以斯哈,西伯倫,吳薛。
80.611	85.596	哥俠一生的歲數是一百三十三歲。
85.596	89.099	米拉利的兒子是摩利和姆氏。
89.099	92.062	這是利未的家,都按著他們的後代。
94.497	97.600	14節以色列人家長的名字記在下面。
97.600	107.650	我們往下讀的知道作者這個時候要來介紹上帝所揀選的摩西還有他的哥哥亞倫他們到底是何許人也?
107.650	144.430	也代表說其實在每一個人在我們還沒有出生之前其實神對我們的生命的創造 帶領救贖跟這個差遣神早就有祂的計劃所以透過這個家譜讓我們知道其實神在創世以前就認識我們是誰神也知道祂要怎麼樣來使用我們使我們可以容神益人因此祂創造了我們 14節這邊就開始來記載,以色列的長子劉變,他的兒子是哈諾、法路、西斯倫、加米,就是劉變的各家。
144.430	151.476	這個以色列就是雅各,雅各他有12個兒子,老大是劉變。
151.476	157.602	這邊待會會發現,只介紹了老大、老二、老三,他們的家譜,原因是什麼?
157.602	158.142	待會會解釋。
158.763	162.166	然後十五節介紹老二西緬。
162.166	170.972	西緬的兒子是耶姆利、雅緬、阿霞、雅金、索霞和迦南女子的兒子掃羅。
170.972	174.195	這是西緬的各家,這是老二西緬。
174.195	177.617	好,接下來是重點,老三,立位。
177.617	183.242	立位的重子,立位的兒子們的名字,按著他們的後代記在下面。
183.242	184.403	立位有哪些兒子呢?
184.923	191.210	有格順、有哥霞、有米拉利。
191.210	193.132	立位他一生的歲數是137歲。
195.350	204.980	這邊主要是介紹前面三個兒子,讓我們知道立位排行老三,而立位的後代就是摩西跟亞倫。
204.980	214.669	先介紹立位他有三個兒子,老大叫做格順,名字的意思不是很好,叫趕出去。
214.669	223.207	老三叫做米拉利, 名字的意思也不是很好,就是很痛苦的意思,苦。
223.207	226.095	只有這個歌俠,這個名字稍微正常一點。
227.056	238.043	那接下來就介紹這個立位的老大格順他的兒子按著家世是這個利尼跟世美。
238.043	241.865	那十八節講到這個比較重要的哥霞。
241.865	247.128	哥霞他的兒子呢就是岸然、以斯哈、西伯倫、烏靴。
247.128	251.931	而這個哥霞他一生的歲數是133歲。
253.592	263.216	利未他有三個兒子,後來在《出埃及記》我們可以看見,神就呼召利未支派來服侍耶和華。
263.216	272.920	利未支派裡面有三大家族,就是格順家族、哥霞家族,還有米拉利家族。
272.920	277.642	而最被神重用的就是格順,這個哥霞家族。
277.642	280.603	而摩西亞倫都是屬於哥霞家族的利未人。
281.203	283.925	好,我們就繼續往下看。
283.925	290.989	第19節,米拉利的兒子是這個摩利和母氏。
290.989	294.911	這是立位的家,都按著他們的後代。
294.911	299.454	我們繼續來讀第20節到第25節。
299.454	303.256	岸蘭娶了她父親的妹妹,約姬別為妻。
303.256	306.618	她給他生了雅倫和摩西。
306.618	308.319	岸蘭也生的歲數是137歲。
311.340	317.102	以斯哈的兒子是可拉﹐尼斐﹐西基利。
317.102	322.944	烏靴的兒子是米沙利﹐以利薩反﹐西提利。
322.944	328.765	雅倫娶了雅米拿達的女兒﹐拿順的妹妹﹐以利沙巴為妻。
328.765	335.268	她給他生了拿達﹐雅比護﹐以利亞薩﹐以他馬。
335.268	343.587	可拉的兒子是雅錫﹐以利加拿﹐雅比亞薩﹐ 這是可拉的各家。
343.587	348.169	雅倫的兒子以利亞薩娶了普鐵的一個女兒為妻。
348.169	350.450	他給她生了菲尼哈。
350.450	353.431	這是利未人的家長,都按著他們的家。
356.323	361.865	二十節,岸然學他的父親的妹妹,約姬別為妻。
361.865	364.827	岸然,他是歌俠的兒子。
364.827	369.929	我們之前講過,立位制派,立位有三個兒子。
369.929	373.450	這三大家族裡面,最重要的就是歌俠家族。
373.450	381.114	後來他們被分配的任務,就是去保守、看管,還有扛臺。
381.834	384.876	繪墓裡面的最重要的神聖的器皿。
384.876	387.638	包含約櫃、金燈臺這些。
387.638	392.042	都是交給歌俠家族的後代。
392.042	394.664	去看管跟運送的。
394.664	398.326	所以他們被神重用。
398.326	402.269	歌俠他有一個後代就叫岸蘭。
402.269	405.411	岸蘭的意思是名貝高舉。
405.411	406.893	或是高貴的意思。
406.893	408.174	這個名字的意思非常的好。
408.814	444.196	他娶了他的姑姑約姬別以前那時候近親之間的婚嫁是蠻常見的所以到後來神就透過摩西的律法特別有規定近親之間不要同婚但在這個摩西律法頒布之前 那時候很多,包含中東人、埃及人,他們近親之間的通婚是非常的普遍,包含這個亞伯拉罕,他也娶了他同父異母的妹妹,莎拉。
444.196	449.100	好,那約基別的名字意思是耶和華式榮耀,這個名字非常的棒。
449.701	457.610	他就給岸然生了兩個兄弟,一個叫做亞倫,一個叫做摩西。
457.610	461.515	亞倫是哥哥,摩西是弟弟。
461.515	466.641	我們之前也解釋過,亞倫跟摩西這兩個名字都是埃及名字。
466.641	476.089	摩西的名字的意思就是兒子,或是 生兒子的動詞,生。
476.089	478.610	雅倫的名字是,名字是偉大的。
478.610	483.473	代表說,埃及的神的名字是偉大的。
483.473	488.796	因為那時候他們都住在埃及,所以他們的名字取名就是埃及的名字。
488.796	491.538	好,我們繼續往下看。
491.538	495.961	岸然的一生的歲數是137歲。
495.961	499.723	21節,以斯哈的兒子是可拉,可拉蠻有名的。
500.418	501.858	可拉他也是利未人。
501.858	504.259	他也是哥霞家族的。
504.259	507.240	可拉其實就是摩西亞倫的堂兄弟。
507.240	509.601	但是後來他就是不服。
509.601	511.082	為什麼這個。
511.082	513.222	亞倫摩西你們。
513.222	515.443	比我們看來重要。
515.443	518.444	亞倫你跟我們一樣都是這個哥霞族的。
518.444	520.485	為什麼你們就可以當祭司。
520.485	521.145	我們只能當。
521.834	524.175	輔助你們的立位人。
524.175	524.915	他們就不服。
524.915	526.696	他們就叛兵。
526.696	530.417	那神就懲罰了可拉跟他的後代。
530.417	532.218	還有他們的家人。
532.218	535.740	但神也留下了一小部分可拉的後衣。
535.740	536.880	給他們機會。
536.880	538.481	後來他們也悔改敬畏神。
539.241	545.243	神以後就使用他們,特別作為敬拜神的敬拜團。
545.243	552.846	他們也寫了很多敬拜神的詩篇,有可拉後裔的詩,都收錄在詩篇150篇裡面。
552.846	556.527	詩篇有150首,裡面有很多是可拉後裔寫的。
556.527	558.067	流程到現在。
558.067	559.108	好,我們就繼續往下看。
560.469	568.614	除了可拉之外,以斯哈還有後代,叫做尼腓,或是西基利。
568.614	574.638	22節,烏靴的兒子是米沙利,以利撒反,西提利。
574.638	580.342	另外介紹雅倫這個部分,雅倫她娶了雅米拿達的女兒,拿順的妹妹。
580.862	589.771	以利沙巴,以利沙巴這個名字叫做上帝啟示,或是上帝的誓言,是一個很好的名字。
589.771	597.699	他就可以亞倫生了四個兒子,名字記載在下面,拿達、亞比護、以利亞撒跟以他馬。
597.699	603.485	拿達的名字意思是出於自發,亞比護的名字是他是爸爸,或是他是我爸爸。
604.326	611.814	這兩個人,他在就任祭司的典禮上,當場被耶華的火燒死。
611.814	618.662	我們之前在講解過這個故事的時候也談到,可能他的名字就暗示他們兩個為什麼會被燒死。
619.343	637.276	一方面可能他們認為大祭司亞綸是我的爸爸,二方面他們出於自發,就把不是耶和華要他們所獻的繁火,硬是把他獻給神,所以被神認為是不聖節的,就把他們當場燒死。
637.276	652.021	所以老大老二在就任祭司的典禮當場就被火燒死,所以後來這個老三老四, 以利亞撒跟以他馬就接任了祭司的職位。
652.021	656.747	以利亞撒的名字是上帝幫助。
656.747	660.831	以他馬的意思是棕櫚岸。
660.831	664.596	棕櫚樹的岸邊。
664.596	666.138	名字也都是非常的美。
666.954	672.438	那老三、老四後來就擔任這個祭司。
672.438	677.521	甚至這個老三以利亞撒就接任了大祭司的職位。
677.521	684.505	而以利亞撒有一個很有名的兒子,我們待會介紹,就是這個非尼哈。
684.505	691.971	二十四節, 可拉的兒子是亞席、亞利加拿、雅比亞薩。
691.971	693.391	這是可拉的各家。
693.391	699.975	二十五節,雅倫的兒子以利亞薩,他娶了普鐵的一個女兒為妻。
699.975	704.078	他給她生了菲尼哈。
704.078	710.522	菲尼哈他是一位非常為神的聖節而生活的一個立位人。
711.459	723.982	他親自拿了一個長槍,然後刺死了不尊神為聖的一個以色列的領袖,跟一個外邦的女子。
723.982	729.704	那神就認為這個菲尼哈有一個嫉邪的心,就使用他。
729.704	733.225	因此他後來也擔任了大祭司。
733.225	739.867	菲尼哈的名字是黑人,這個名字很有意思,這個名字應該也是一個埃及的名字。
740.623	744.547	好,我們就繼續往下看。
744.547	751.433	這是立位人的家長,都按著他們的家,被記載在這裡。
751.433	760.863	所以這段家譜主要是要來交代,上帝其實在老早之前就已經預定了,也揀選了,要使用摩西跟亞倫。
761.323	775.026	即便他們本來對神也很不熟,甚至摩西還闖了禍,跑到東邊的曠野去,漂流了四十年,但神都沒有忘記他對摩西生命的計畫。
775.026	784.728	因此弟兄姊妹,不論你現在身在何處,在高山還是低谷,順境還是內境,其實神在創世以前,早就知道你跟我。
784.728	790.232	我們今天來到世界上,也不是出於偶然, 都是出於神偉大的創造的計劃。
790.232	792.534	出於神偉大的救贖的計劃。
792.534	795.797	更是出於神偉大的帶領的計劃。
795.797	797.758	因此,要信靠神。
797.758	800.321	你生命的價值都在神的手中。
800.321	801.882	我們一起來禱告。
801.882	803.003	主,我們感謝祢。
803.003	804.044	祢知道我們是誰。
804.044	805.665	因為祢創造了我們。
805.665	806.726	祢救贖了我們。
806.726	808.348	因為祢感動了我們。
808.348	810.610	祢呼召了我們來跟隨祢。
810.610	811.651	主,祢是我們的神。
812.483	814.325	我們是祢的百姓。
814.325	816.688	我們永遠要來跟隨祢。
816.688	819.871	要把信心放在祢的寶座上。
819.871	821.633	奉主耶穌的名禱告。
821.633	822.454	阿們。
822.454	823.635	願神賜福大家。
