start	end	text
18.763	28.588	耶和華對摩西說,現在你必看見我向法老所行的事,是他因我大能的手容以色列人群,且把他們趕出他的地。
28.588	58.000	我是耶和華, 我從前向亞伯拉罕、以薩、雅各顯現為全能的人。
58.000	63.522	至於我名耶和華,他們未曾知道。
63.522	71.826	我與他們堅定所立的約,要把他們寄去的迦南地賜給他們。
71.826	78.770	我也聽見以色列人被埃及人苦待的哀聲,我也紀念我的約。
80.947	124.050	第一節耶和華對摩西說現在你必看見我向法老所行的事因為摩西跑去跟耶和華抱怨你沒有派我來救以色列人還好你一派我來他們更慘了所以你到底在幹什麼因為摩西他對耶和華的認識也才是剛起步而已所以他對耶和華也沒有什麼信心但是耶和華對摩西真的很有耐心 他沒有責備摩西,反而對他說,從現在開始,因為法老選擇悖逆我,所以從現在開始,你必看見我向法老所行的事,使他因我大能的手,容以色列人去。
124.050	127.813	因為他說他不認識我,那我就好好讓他認識。
127.813	131.877	認識這個字,希伯來文,亞大,是出埃及記裡面很關鍵的字。
132.517	155.365	他說他不認識我我就讓他好好的認識我是誰透過我大能的手攻擊他讓他終於不僅認識而且承認我是一位怎麼樣的神所以最後的結局就是 他會把以色列百姓趕出法老他自己的地。
155.365	158.327	法老之前是千方百計不讓以色列人走。
158.327	163.470	因為他要剝削這一批以色列人,成為廉價的奴工。
163.470	168.293	他怎麼會輕易把這份勞動力就釋放出去。
168.293	173.176	但是上帝大能的手攻擊法老和埃及地的時候,他們就會害怕。
173.916	179.337	巴不得以色列人趕快走,免得神又出手攻擊我們。
179.337	185.218	第二節,神小喻摩西,就神對摩西說話,祂說,我是耶和華。
185.218	189.839	我們在之前都已經說過了,耶和華的意思就是我是。
189.839	198.741	上帝對耶和華說,我的名字是我是,所以I am who I am,我是那一位我是的上帝。
199.753	207.417	那摩西就去跟百姓說那一位祂是派我來救你們出埃及。
207.417	214.681	所以那個祂是這個字就是我們後來翻譯成雅未耶和華這個字。
214.681	231.804	所以我是耶和華其實就是我是我是I am who I am第三節我從前向亞伯拉罕、以撒、雅各顯現為全能的神 全能的神也可以翻譯成全福的神。
231.804	234.765	福氣的福、祝福的福。
234.765	243.710	我以前曾經向亞伯拉罕、以撒、雅各祖先顯現過我是一位最大的神。
244.804	263.812	全能的上帝並且我也是一個全祝福的上帝我所祝福你們祖先的那個祝福的應許是一定會實現的至於我的名是耶和華他們未曾知道並不是說他們沒有聽過 我的名叫耶和華。
263.812	264.893	創世紀的時候。
264.893	266.593	亞伯拉罕他們都知道。
266.593	268.874	這位上帝的名字叫耶和華。
268.874	269.534	但是呢。
269.534	270.974	這邊講說。
270.974	272.715	至於我到底是一位。
272.715	274.635	怎麼樣的一位神。
274.635	276.256	我到底是一位怎麼樣。
276.256	279.216	我是及我是。
279.216	280.557	的那樣一位上帝。
280.557	284.218	他們對我的認識還非常的有限。
284.218	285.878	法老說他不認識我。
285.878	286.678	沒有錯。
286.678	288.759	我大腦的手會讓他好好認識我。
289.411	294.272	亞伯拉罕他們對我的認識也是相當有限的。
294.272	307.875	並且包含說我對亞伯拉罕、以撒、雅各說四百年後會把迦南地這個賞賜給你的後代成為他們的這個繼承的應許之地。
307.875	312.056	他們活著的時候都還沒有看見這個祝福有實現。
