start	end	text
18.865	24.969	牛若處死男人或是女人﹐總要用石頭打死那牛﹐卻不可吃他的肉﹐牛的主人可算無罪。
48.336	87.004	倘若那牛素來是處人的﹐有人報告了牛主﹐他竟不把牛拴著﹐以致把男人或是女人處死﹐就要用石頭打死那牛﹐牛主也必致死﹐若罰他贖命的嫁淫﹐他必照所罰的贖他的命﹐牛無論處了人的兒子或是女兒﹐必照這理辦理﹐ 牛若畜了奴仆或是婢女﹐必將銀子三十攝克勒﹐給他們的主人﹐也要用石頭把牛打死。
87.004	98.751	人若闖著井口﹐或挖井戶遮蓋﹐有牛或驢吊在裡頭﹐經主要拿錢賠還本主人﹐死生處要歸自己。
100.333	101.194	二十八節,仁若。
129.923	177.190	牛如果猝死牛就是用牠的腳猝死的不論是男人或女人總要用石頭打死那頭牛但卻不可吃牠的肉因為這隻牛是有罪的那牛的主人可算無罪無罪就是不用判死刑的意思 倘若那牛數來都是這樣會去處人的而且有人報告了牛主警告過這牛主人說你這個牛很會攻擊別人可是這個主人不當一回事竟然不把牛把他綁好 以至於這個牛果然又再次去攻擊人把男人或女人這個處死就要用石頭打死那頭牛而牛的主人也必致死。
177.190	234.132	因為他這個這樣子不對啊早就提醒你你不把人命當一回事啊所以牛打死人呢怎麼樣也要致死喔那但是三十節 但要打死他的時候呢如果他願意就是承認他的過犯然後呢悔改那還有一種補救辦法若罰他贖命的嫁淫就是他就是做民事的賠償 這個可以不用打死你可是你就是要賠償這個死亡的家屬因為畢竟不是你殺的那個人是你的牛雖然你有過失你就是不好好管理你的牛害鬧出人命來因為你的叔父怠惰鬧出人命來那你就賠錢吧 好那他就必照所罰的來贖他本來該被致死的命。
234.132	240.114	牛呢無論處了人的兒子或女兒也必照這個條例來辦理。
240.114	247.436	三十二節牛如果處了奴僕或婢女必將銀子三十四顆的給他們的主人。
247.436	263.888	因為奴僕跟婢女基本上是屬於財產的意思 那就要賠償主人的損失就是34克的大概這個300多公克左右的銀子然後那頭牛要用石頭打死。
263.888	370.837	33節人若藏著井口或挖井不遮蓋就是你這個有一口井打水可是你不把它蓋起來或是你在挖井挖到一半你也不把它蓋好 有牛有驢啊吊在這個裡頭啊那井的主人就要拿自己的錢賠還給這個牛跟驢本來的主人而那死掉的牲畜歸他自己喔這個也算公平啦對雙方都可以交代喔 35節那这人的牛若伤了另外一个人的牛以至于死那他们就要卖了活牛平分活牛卖的价格然后呢也要平分这条死的牛的肉人若知道这牛素来是会处人的会攻击别人的而这牛的主人竟不把牛拴着他必要以牛还牛活的牛还给别人死的牛就归自己 我們看見整個21章這邊談到这个人生的自由以及尊重人的这个生命的神聖性以及尊重这个上帝所赐给每一个人的产业的神聖性都要尊重的态度如果漫不经心酿成这个意外的过失你也是要来 好好的補償跟賠償但如果是蓄意的傷害那神呢基本上是絕不會這個輕忽的饒恕你基本上就是符合傷害的比例原則交給法官來審判就是來這個以眼還眼以牙還牙 但是神不允許,無窮無止境的循環的報仇事件,只會傷及更多的無辜。
