start	end	text
18.712	64.609	同學們平安，我們照《每日言經》十一的進度一起來思想除埃及記第八章的二十節到最後首先我們一起來讀二十節到第二十節耶和華對摩西說你清早起來法老來到水邊你站在他面前對他說耶和華這樣說容我的百姓去好侍奉我 你若不容我的百姓去,我要叫成群的蒼蠅到你和你臣僕並你百姓的身上,進你的房屋,並且埃及人的房屋和他們所住的地都要滿了成群的蒼蠅。
66.544	79.952	當那日﹐我必分別我百姓所住的戈山地﹐是那裏沒有成群的蒼蠅﹐好叫你知道我是天下的耶和華。
79.952	89.158	我要將我的百姓和你的百姓分別出來﹐明天必有這神蹟。
89.158	97.989	耶和華就這樣行﹐ 倉營成了大群,進入法老的宮殿和他臣僕的房屋。
97.989	103.955	埃及遍地,就因這成群的倉營辦壞了。
103.955	115.425	二十節,耶和華對摩西說,你清早起來,我們已經有這個概念,只要是清早起來,去規勸法老,一定是要重新啟動一個新的循環。
116.067	132.969	所以接下來進入第四災、第五災、第六災,這第二個循環裡面,法老會到水邊去,然後你就清早起來,去站在祂的面前對祂說,耶和華這樣說,容我的百姓去,好侍奉我。
133.490	152.158	你若不容我的百姓去,我要叫成群的蒼蠅,到你和你的臣僕並你的百姓身上,進你的房屋,並且埃及人的房屋和他們所住的地方,都要滿了成群的蒼蠅。
152.978	156.860	我們今天也有經驗,這次是蒼蠅之災。
156.860	162.763	一定代表耶和華上帝要擊打一個埃及的偶像神明。
162.763	164.944	這次要擊打的就是蒼蠅神。
164.944	166.905	我們可以來看一下這個圖片。
166.905	169.827	這個圖片是金蒼蠅的勛章。
172.585	176.648	這個都是賞賜給那些忠心有功的大臣。
176.648	180.951	讓他們得到金蒼蠅的勳章。
180.951	183.793	你可以看見埃及人幾乎什麼都拜。
183.793	184.474	蒼蠅也拜。
185.657	197.721	二十二節,當那日,我必分別我的百姓所住的哥山地,使那裡沒有成群的蒼蠅,好叫你知道,我是天下的耶和華。
