start	end	text
18.899	24.342	弟兄姊妹平安，我們按照國際讀經會所發行的《每日人經》是一讀本的進度。
24.342	25.582	一起來思想。
25.582	30.125	出埃及記第七章的八節到二十五節。
30.125	36.568	首先我們來透過Jama Bible一起來讀第八節到第十三節。
36.568	40.330	耶和華小域摩西亞倫。
40.330	43.792	法老若被你們說,你們行賤其事吧。
44.804	53.230	你就吩咐亞倫說﹐把杖丟在法老面前﹐施杖變作蛇。
53.230	59.234	摩西亞倫進去見法老﹐就照耶和華所吩咐的行。
59.234	63.817	亞倫把杖丟在法老和臣僕面前﹐杖就變作蛇。
67.108	75.956	於是法老召了博士和術士來﹐他們是埃及行法術的﹐也用邪術照樣而行。
75.956	87.046	他們個人丟下自己的杖﹐杖就變作蛇﹐但雅倫的杖吞了他們的杖。
87.046	102.313	法老心裡剛硬﹐不肯聽從摩西﹑雅倫﹐正如耶和華所說的﹐ 提巴解、耶和華、小玉、摩西、亞倫說,法老若對你們說,你們行一件奇事吧。
102.313	108.735	法老說,既然來挑戰我,就看看你們什麼本領啊,行一件奇事給我看看吧。
108.735	168.403	那摩西你就可以吩咐亞倫說,把杖,不是摩西的杖喔,是叫摩西的哥哥亞倫, 叫雅倫把杖丟在法老面前使杖變作蛇之前是摩西用他的杖丟在地上在百姓面前然後變成蛇然後摩西又去抓那個蛇拿起來之後蛇又變成杖 蛇基本上就代表法老的權勢在法老的冠冕上面就有一隻眼鏡蛇的一個裝飾但是現在要去跟法老對抗的時候神不讓摩西親自出手神讓摩西說用你哥哥亞倫的杖就可以了第十節摩西亞倫就去見法老就照著耶和華所吩咐的行果然法老要他們 展現一下實力。
168.403	170.187	行見其事給我看。
170.187	173.516	那亞倫就把杖丟在這個法老和臣僕面前。
174.548	176.690	藏就變成蛇。
176.690	203.571	弟兄姊妹這邊第七章的這個蛇這個字跟第四章第三節摩西在百姓面前使藏變為蛇的那個蛇是兩個不同的字摩西之前藏變為蛇的那個蛇是一般的蛇亞倫現在把藏丟出去之後的那個蛇其實更好的翻譯應該是鱷魚 不然也要像鱷魚那麼大隻的蛇。
203.571	207.753	那可能現場不僅法老他們嚇一跳。
207.753	209.693	搞不好連亞倫自己都嚇一跳。
209.693	212.074	因為上次弟弟變出來是一條蛇。
212.074	213.695	我今天變出來是一條鱷魚。
214.735	257.928	那這個時候呢法老就召聚他自己的博士博士原本是智慧人還有術士這些拜偶像的這些通靈的法師他們是埃及行法術的也用邪術照樣而行 他們也如法炮製他們個人就丟下自己的杖他們的杖也變作蛇也變作鱷魚這個字但是雅倫的杖吞了他們的杖就代表雅倫所變出來的這個鱷魚或大蛇 就吞掉了這些埃及的博士跟術士他們的帳所變成的這個蛇代表誰贏了?
257.928	260.990	亞倫贏了那法老看了之後怎麼樣?
260.990	300.217	心裡剛硬不肯聽從摩西亞倫正如耶和華所說的 好所以呢果然第一摩西他們贏了如同耶和華所說的第二也如同耶和華所說的法老心剛硬他明明知道神的力量比這個他們自己的術士背後的偶像的力量還大但這個驕傲的法老仍然是心剛硬好我們就繼續來讀第14節到25節耶和華對摩西說 法老心裏固執﹐不肯容百姓去。
300.217	323.234	明日早晨﹐他出來往水邊去﹐你要往河邊迎接他﹐手裏要拿著那變過蛇的杖﹐對他說﹐耶和華西伯來人的神﹐打發我來見你﹐說﹐容我的百姓去﹐好在曠野侍奉我﹐到如今你還是不聽。
324.377	332.704	耶和華這樣說,我要用我手裡的杖擊打河中的水,水就變作血。
332.704	337.489	因此,你必知道我是耶和華。
337.489	344.515	河裡的魚必死,河也要腥臭,埃及人就要厭惡吃這河裡的水。
344.515	349.520	耶和華小喻摩西。
349.520	362.875	你對亞倫說, 把你的杖伸在埃及所有的水以上,就是在他們的江、河、池、塘以上,叫水都變作血。
362.875	372.060	在埃及遍地,無論在木器中、石器中,都必有血。
372.060	376.142	摩西亞倫就照耶和華所吩咐的行。
376.142	386.346	亞倫在法老和臣僕眼前舉杖擊打河裡的水, 河裏的水都變作血了。
386.346	387.907	河裏的魚死了。
387.907	390.089	河也腥臭了。
390.089	392.731	埃及人就不能吃這河裏的水。
392.731	396.533	埃及遍地都有了血。
396.533	401.636	埃及行法術的﹐也用邪術照樣而行。
401.636	409.262	法老心裏剛硬﹐不肯聽摩西亞倫﹐正如耶和華所說的。
409.262	412.624	法老轉身進宮﹐也不把這事放在心上。
414.121	422.316	埃及人都在河的兩邊挖地,要得水喝,因為他們不能喝這河裡的水。
422.316	425.201	耶和華擠打河以後,滿了七天。
429.309	445.838	14節,耶和華對摩西說,法老心裡固執,固執這個字原本是沉重的重,代表法老他的心是很重的,很難把他翻轉改變,所以翻成固執,不容百姓去。
445.838	453.483	所以第15節,明日早晨,你就出來往水邊去,你要往河邊去迎接他。
