start	end	text
4.684	6.345	兄姊妹平安，我們一起來思想。
6.345	36.789	你要幫我記下第十二章來看看南國的情形南國之前在大祭司耶和耶大用智謀推翻了篡位七年的亞他利亞然後把亞他利亞除滅把他們在這個耶路撒冷竟然也有蓋巴黎廟也把它拆了然後呢重新讓這個 雅哈蟹的兒子,七歲的約阿詩。
36.789	40.412	約阿詩的意思是,主所給予的。
40.412	42.393	主所給予的。
42.393	54.844	然後呢,就讓祂來做王,與神立約,與百姓立約,把律法書交在約阿詩的手中,希望祂盡心盡力來侍奉神。
54.844	64.985	我們來看十二章,在耶戶第七年, 約阿斯就登基了,在耶路撒冷做王四十年。
64.985	71.330	他的母親名叫西比亞,是別世巴,別世巴在猶大的南部,別世巴人。
71.330	82.418	約阿斯在祭司耶和耶大教訓他的時候,就行耶和華眼中看為證的事。
82.418	156.035	約阿斯應該要叫耶和耶大,叫孤杖, 因為這個耶和耶大娶了這個太太是這個約阿斯的姑姑那只是呢南國的問題就是秋潭沒有廢去百姓人在那裡燒香獻祭南國呢就是一直沒有把在這個郊外各個城市的郊外 那個丘陵小山丘上面的這些丘壇就是百姓拜偶像的這個丘壇一直沒有撤去這是南國一直給仇敵留一個破口的一個地方 所以每一次雖然在中央地區在耶路撒冷把這些拜偶像的事情偶像的這個神像拆毀做這些捷徑可是常常就是這個民間的這些秋談都沒有處理所以常常是中央復興了在信仰上更新了一陣子之後 地方百姓在這個秋壇的事情上,就繼續得罪神。
156.035	159.617	南國的光景一直如此。
159.617	183.974	那第四節,約阿斯就對眾祭司說,凡奉到耶和華殿裡分別為聖之物所值通用的銀子,或個人當納的身價,或樂意奉到耶和華殿的銀子, 你們當從所認識的人收了來,修理殿的一切破壞之處。
183.974	188.176	因為南國已經,約阿華的殿已經荒廢很久了。
188.176	194.478	約沙法的兒子開始,和約沙法的孫子,還有這個亞塔利亞篡位的七年。
194.478	198.900	基本上呢,約阿華的殿非常的荒涼,非常的殘破不堪。
198.900	239.513	因此呢,約沙,這個約阿斯王成年之後,他都看不下去,他說,跟這些祭司說, 有這個凡奉獻到耶和華殿裡面的一些分別為上的物品那他可以值多少的銀子以及個人當納的身價也就是每一個人他要付聖殿稅摩西那時候有規定要付聖殿碩或是丁稅大概就是這個半個色克勒半個色克勒就是 一天的工資的價值。
239.513	245.338	還有一些甘心樂意的奉獻到耶華殿裡面這些額外的奉獻。
245.338	252.805	你們應該要到你們的轄區之內去跟百姓收奉獻。
252.805	255.788	去跟他們徵這些稅。
255.788	259.792	其實也不是稅,就是應該本來就百姓應該要當納的。
260.418	268.626	可是呢,就是大家都十一奉獻也不繳啊,什麼都不繳,聖殿稅也不繳,所以整個聖殿就荒涼。
268.626	280.817	所以這個國王就很著急啊,你們這些祭司立委人在幹什麼,怎麼不去催那些百姓把應該奉獻給耶華,欠耶華的,都把他徵收過來啊。
280.817	291.336	那可是呢,無奈到了約阿斯做王第二十三年的時候, 祭司仍然沒有修理聖殿破壞的地方。
291.336	301.203	所以約阿斯就受不了,他就把大祭司耶和耶大跟這些祭司全部叫過來說,你們怎麼不修理聖殿呢?
301.203	315.152	從今以後,你們就不要再去跟百姓催搜了,就要將所搜的交出來,修理殿的破壞之處。
315.998	325.843	眾祭司就答應不再去跟百姓收取這些銀子,來處理這個聖殿破壞之處。
325.843	328.685	那什麼意思呢?
328.685	339.430	為什麼我們不太知道約阿詩是在作王的哪一年,下達祭司跟立位人要去收這個奉獻的事情。
339.430	341.231	那可能一年前或兩年前。
342.739	349.123	到了他做網貼23年的時候,可能過了一兩年,他發現怎麼都沒有動工?
349.123	361.910	後來發現祭司們根本就沒有去到各個他們的轄區裡面去收錢,去催他們把欠耶和華的錢繳出來。
361.910	363.871	這個祭司的原因是什麼?
363.871	367.974	祭司的原因我們透過第九節,我們大家就可以看出一個端倪了。
368.933	384.576	因此祭司耶和耶大就取了一個櫃子,在櫃子的蓋上面鑽了一個窟窿,鑽了一個洞,就是奉獻箱,放在祭壇的旁邊,就在進耶和華殿門口的時候的右邊。
384.576	391.538	守門的祭司就將奉到耶和華殿裡的一切銀子投在這個奉獻箱裡面。
392.756	414.144	我們如果交叉來看一下這個《歷代誌》的記載,就可以發現整個那一種局脈,就是其實祭司們就是一直反對,不贊同去吹角,去峽區裡面跟百姓吹角,沒有錯,這真的都是規定,而且是他們本來就應該要給耶和華的,只是他們都不叫。
414.144	496.625	那所以這個王叫他們去吹角,可是祭司又不願意,祭司不願意的原因很簡單,祭司認為說, 他們的確是虧欠耶和華沒有錯可是我們不用像收稅一樣去跟他們吹角我們應該是發個文書、發個通告寫信給各地的百姓告訴他們說你們應該要看耶和華殿下殘破你們所虧欠耶和華的奉獻應該要甘心樂意自動來這邊奉獻所以一個是收稅一個是自由奉獻 歷代誌告訴我們說當各城的百姓收到這樣的文書的時候其實都是很願意的他們就歡歡喜喜的帶著很多的奉獻來到耶路撒冷然後呢就自由奉獻結果這個自由奉獻的數目非常的多 以至於第十節,他們看見奉獻櫃裡面的銀子多了,就叫王的書記跟大祭司來,就開始清點這些財物,然後就把它交在修理耶和華殿的木匠、工匠、瓦匠、石匠的手中,用買賣許多的賤財,然後來修理耶和華的殿。
496.625	514.570	十三節,但奉到耶和華殿的銀子, 沒有用以做耶和華殿裡的銀杯、蠟剪、碗、號和別樣的經營器皿,乃將那銀子交給督工的人,修理耶和華的殿。
515.111	522.273	且將銀子交給辦事的人,轉交做工的人,不與他們算帳,因為他們辦事誠實。
522.273	527.534	也就是說他們都非常信了過這些為主建造聖殿的人。
527.534	534.016	但是唯有贖千計、贖罪計的銀子沒有奉到耶華的殿去做建堂款項。
534.940	599.071	都歸給祭司因為聖殿基本上是這樣一方面需要有這些當納的奉獻以及甘心樂意的奉獻要來維護聖殿的修善維護聖殿的運作之外他也要另外有一部分是專門是歸給立位人祭司他們養生用的生活所用的這些就不會把它佔用 拿去修善聖殿不然這樣這些祭司也沒辦法過活了聖殿也無法來獻祭運作十七節那時雅蘭王哈薛就上來攻打迦特攻取了就定義上來攻打耶路撒冷猶大王約阿斯將他列祖猶大王約沙法約蘭雅哈薛所分別為聖的物和他自己所分別為聖的物 耶和華殿與王宮護府裡的所有金子都給了雅蘭王哈薛。
599.071	599.952	哈薛呢?
599.952	602.632	就才放這個耶路撒冷一馬。
602.632	610.255	約阿斯取義的事,凡他所行的,都寫在獵王記上。
610.255	614.816	約阿斯的臣僕起來背叛,就把他殺了。
614.816	619.818	殺他的人是這個,兩個都叫做是米壓的人。
619.818	628.040	眾人將他葬在 大衛城他列祖的墳墓裡,他兒子亞瑪西也接續他作王。
628.040	633.945	這邊交代的比較簡略,我們會覺得很奇怪,怎麼約阿詩忽然變得這麼慘。
633.945	642.651	歷代誌有告訴我們其他的細節,就是在大祭司耶和耶大死了之後,天啊!
642.651	645.974	約阿詩就變成另外一個人。
645.974	656.483	經文說到這個猶大的領袖們, 猶太人的領袖就來慫恿他說,不要敬拜耶和華了,我們回去拜亞瑟拉,拜偶像。
656.483	661.044	約阿斯竟然就聽從了,就整個離開耶和華,非常的誇張。
661.044	669.806	甚至耶和大的兒子,這個叫撒加利亞,起來勸告約阿斯。
669.806	678.088	約阿斯竟然就在聖殿裡面,吩咐這些悖逆的人,用石頭當場就打死了撒加利亞。
678.916	685.840	撒加利亞臨死前,斷氣前,就手指頭指著約阿斯說,約法必要審判你。
685.840	697.107	約阿斯整個翻臉不認人,他也不去紀念耶和耶大對他有再造之恩,輔佐之恩,他甚至無情的殺死了耶和耶大的兒子。
697.107	699.589	然後呢,倒行逆施。
699.589	713.142	經文說,雅蘭王哈薛,他已經哈薛的刀,他把北國打得亂七八糟, 甚至一路還攻到南國的這個西邊,非利斯人的迦特。
713.142	718.163	把迦特打下來,順便往東進攻伊路撒冷。
