start	end	text
4.138	5.819	弟兄姊妹平安，我們一起來思想。
5.819	35.966	內王記上第十五章的第一節一直到第十五節這邊講到兩個南國的國王第一個國王是尼巴的兒子伊魯伯恩王第十八年的時候在南部的雅比央登基做猶大王他在伊魯沙冷做王只有三年他的母親名叫瑪迦 是亞沙隆的女兒。
35.966	38.566	那這個亞比漾是個好王還是壞王呢?
38.566	49.249	我們所謂的好王壞王並不一定是按照人類看歷史的時候的分類法來看他是好王壞王。
49.249	57.451	我們是按照上帝的眼光上帝的價值判斷來看這個王是好王跟壞王。
58.251	71.556	那在這個列王記裡面,特別是他們是不是遵行神的旨意,以至於能夠為個人以及整個國家,帶來上帝同在榮耀的祝福,這才是好王。
71.556	99.328	如果他因為自己沒有安全感,或自己的貪婪,或自己的各種原因, 而遠離神,甚至去敬拜偶像,通常他就很多的行為舉止,就會顯出他的罪惡,他可能很多的施政的措施,個人的道德,就會出現很多很多的惡劣的行為,而影響到全體國民也一起作惡,因為不敬畏神。
99.328	110.133	所以這個亞比央行他父親, 在祂以前所行的一切惡,祂的心不像祂的主大衛的心。
110.133	113.955	大衛就是誠誠實實的順服耶和華祂的神。
113.955	133.020	誠誠實實的順服神,這句話在列王記上不斷的出現,不論是上帝對君王的要求, 對先知的要求,對每一個老百姓的要求,都是要你誠誠實實的行主的道。
133.020	135.162	不要跟主玩兩面手法。
135.162	145.128	不要來聚會的時候,哈利路亞,離開聚會的時候,過一個根本就無法榮耀神、見證神的那種生活跟生命。
145.128	156.532	所以不論是做國王的啦, 還是十三章裡面講到那個猶大來的神人跟這個伯特利騙人的老先知。
156.532	161.473	他們也都是沒辦法在神的面前誠誠實實的行主的道。
161.473	167.935	還是在南國北國各種的國王或是這些將軍臣僕們都一樣。
169.206	180.835	然而耶和華他的神因大位的緣故,仍使他在耶路撒冷有燈光,叫他兒子接續他作王。
181.561	192.808	建立耶路撒冷,因為大衛除了赫倫烏利亞的那件事,都是行耶和華眼中看為證的事,一生沒有違背耶和華一切所吩咐的。
192.808	204.656	大衛烏利亞,大衛跟烏利亞的事,就是大衛他強奪了這個他忠心的僕人烏利亞的太太巴士巴。
205.503	210.065	然後呢,後來發現拔斯巴竟然懷孕了。
210.065	214.646	所以呢,又把烏利亞從打仗的前方調回來。
214.646	219.408	希望讓這個烏利亞趁機回家跟他太太行訪。
219.408	223.229	這樣子呢,就直接把綠帽送給這個烏利亞。
224.070	233.722	可是烏利亞太單純,太忠心了,他說我的夥伴們在前方打仗,我怎麼可以回家找我太太呢?
233.722	235.383	所以打死就是不回家。
235.383	264.210	大魏王搞了三天沒轍,只好又把他送回去打仗,但是寫了一封密函, 給元帥約押說想個辦法把他弄死這件事情就是大衛他一生的污點因此我們真的是要小心謹慎成功為失敗之母大衛的一生分成三個階段 年輕的時候,非常忠心愛神。
264.210	272.962	就算是掃羅追殺祂,祂仍然在百般的患難困苦裡面,祂還是忠心的順服神。
272.962	275.926	忠心這一段,就是神使祂都得勝了。
276.527	279.629	祂的生活進入安逸、豐盛。
279.629	282.590	結果呢,成功為失敗之母。
282.590	292.416	在祂最安逸的時候,祂就犯了這一個嚴重的謀殺的罪行,還有這個強暴、強姦的罪行。
292.416	299.700	在這個聖經裡面,人做惡事、壞事,聖經是不會幫你表白的,講得清清楚楚。
299.700	315.144	你如果有犯姦淫的、行姦淫的,聖經講就是直講, 在這個大衛跟拔士巴的事件,很多個地方都直接講大衛犯罪,大衛犯了這個姦淫的罪,可是你找不到一個地方說拔士巴犯罪。
315.144	332.885	特別在這個大衛電屋拔士巴的這件事情上,他是先講到大衛睡到這個下午,然後起床之後在這個王宮的這個屋頂往下看, 然後看到一個婦女,就是拔氏芭。
332.885	344.254	她是按照這個舊約的規定,月經七天之後,潔淨了之後,就要去洗澡,潔淨自己。
344.254	349.759	所以代表這個拔氏芭,她的經文的暗示,她是潔淨的。
350.452	353.874	巴釋巴的名字叫做釋約之女。
353.874	359.576	代表她對她丈夫的忠貞是沒有問題的。
359.576	365.719	所以聖經的經文又沒有一個地方在責備巴釋巴的。
365.719	369.321	所以我個人的看法是,大衛就是強暴了巴釋巴。
370.981	402.364	那大衛這件事情成為他一生的敗筆但是他仍然最後在他死之前他仍然在這個亞比亞他他第四個亞多尼亞他第四個兒子看來要叛亂要奪走他的這個國家然後呢讓這個所羅門不能順利接班看來在這場風暴之中大衛這次沒有糊塗他仍然很勇敢的選擇了順服神然後 把結果交給神。
402.364	410.107	結果神就站在他這一邊,讓民心歸向大衛的決定,擁立所羅門做王。
410.107	417.450	這是大衛一生,雖然中間有敗筆,但後來他還是回到神的面前。
417.450	422.493	那可是呢,這個南國的這一堆國王,北國的國王就不用說了。
422.493	425.414	北國有19個國王,沒有一個是耶和華看得上眼。
426.186	430.448	南國的二十個國王,只有八個王,被耶華稱為是好王。
430.448	434.730	另外十二個,有的比北國的王還糟。
434.730	437.832	所以呢,在這邊呢,第六節。
437.832	441.514	羅伯安在世的日子,常與伊羅伯安徵戰。
441.514	447.116	亞比央其餘的事,凡他所行的,都寫在猶大列王記上。
447.116	449.658	亞比央常與伊羅伯安繼續徵戰。
449.658	452.139	所以南北兩國,早期是一直在打仗的。
452.927	456.890	雅比漾與他列祖同睡,藏在大衛的城裡。
456.890	459.893	他兒子雅撒接續他做王。
459.893	464.276	雅撒是一個什麼樣的王呢?
464.276	467.459	第十節,雅撒做王的時候,四十一歲。
467.459	470.642	他的祖母名叫瑪迦,是雅撒隆的女兒。
471.237	499.191	十五章的上半段兩次提到這個亞薩隆的女兒瑪迦看來她是對這個亞比央是非常有影響力的她是亞比央的母親所以這個亞比央做王才三年就死了所以亞薩登基的時候還很年輕看來他的祖母 這個馬家,仍然想要對這個國家產生巨大的影響力。
499.191	512.874	這個馬家最大的影響力,可能就是影響百姓,影響國王,不要來侍奉耶和華,就來侍奉這些假神,侍奉這些亂七八糟的東西。
512.874	556.197	所以在第十一節的時候,亞撒他做了一個不一樣的決定,他決定效法他的祖先大位, 行耶和華眼中看為證的事,他從國中除去的鸞童,我們講過鸞童就是妙計,迦南帝那些的人,那些被耶和華所怨氣的人,他們就是神廟的崇拜裡面, 特別是崇拜一些跟生殖力、跟豐收、生育力有關的這些偶像的時候,他們就會到他們的神廟裡面去獻祭,並且跟神廟裡面的男廟祭、女廟祭苟合。
556.197	563.542	覺得這個在苟合、性交過程中,好像可以得著神明的生殖力,或是神明的力量。
563.542	566.324	這都是耶和華非常痛恨的事情,非常污穢的事情。
567.005	582.037	那這個第十二節就告訴我們說,亞撒就除掉這一切的,並且十三節扁了祂祖母瑪迦太后的位,因祂造了可證的偶像亞瑟拉。
