start	end	text
4.258	6.180	弟兄姊妹平安，我們一起來思想。
6.180	13.286	內王記下第19章的29節到最後,以賽亞繼續發預言。
13.286	18.070	他說,以色列人啊,我賜給你們一個證據。
18.070	19.391	什麼證據呢?
19.391	21.873	一個兆頭預兆。
21.873	27.759	你們今年要吃自生的,明年也要吃自長的。
28.422	36.764	至於後年,你們要耕種收割,栽植葡萄園,吃其中的果子。
36.764	44.785	由大家所脫逃餘剩的,仍要往下扎根,向上結果。
44.785	52.966	必有餘剩的民,從耶路撒冷而出,必有逃脫的人,從喜安山而來。
52.966	55.607	耶和華的熱心,必成就這事。
56.749	63.512	以賽亞發一個預言,給一個預兆,一個證據,一個兆頭。
63.512	73.317	就是說,你們今年要吃土地自己長出來的,明年也要吃土地自己長出來的。
73.317	78.840	第三年,你們就可以開始耕種,而且會有好的收成。
78.840	88.416	哇,我們就了解,原來這次這個亞述王帶給以色列的猶大的災難這麼大, 連續兩年無法耕種,土地被破壞。
88.416	99.902	以前是這樣,那個城都是石頭蓋的,我攻陷一個城,我就會把那個石頭都丟到田裡面去,然後把那個好的樹全部砍光光。
99.902	113.469	後來以後那個羅馬人更狠,羅馬人攻下了北非的迦太基之後,他是直接灑鹽巴,把他所有的肥田全部灑鹽巴破壞它,讓這個土地都不能翻身。
114.411	119.232	那所以看來這次這個亞述王所帶來的破壞非常的大。
119.232	121.332	到第三年才有辦法耕種。
121.332	126.033	很有可能前面兩年都先想辦法重建城市。
126.033	129.934	那土地也慢慢的整理。
129.934	133.514	到第三年就可以有這個豐收。
133.514	138.375	同時也代表一年、二年、三年之內。
138.375	141.336	亞述人不會再回來。
141.336	143.196	耶華的熱心必成就這事。
144.087	157.553	之前這個猶太人、猶大人好像很慘,但是神說我要重新栽種你們,使你們好像可以向下扎根,而且可以怎麼樣?
157.553	159.434	向上也可以結果。
159.434	163.056	這句話是很好,弟兄姊妹,我們可以把它背起來。
163.056	167.138	我們仍然要往下扎根,向上結果。
167.138	184.491	不論過去遇到什麼樣的 很辛苦的狀況,神仍然要使我們可以往下扎根,而且可以向上結出累累的果實,要對神有信心,不論你遭遇到何等大的考驗。
184.491	194.550	那因為耶和華的熱心必要成就這事,有時候對於這個災後的重建, 破碎了生命的災後重建。
194.550	197.691	失敗的服侍。
197.691	200.612	困難重重的事業。
200.612	203.013	傷痕累累的婚姻家庭。
203.013	204.853	要災後重建。
204.853	207.034	我們有時候都沒有熱心。
207.034	208.994	因為我們太失望。
208.994	211.215	但是祂說誰比我們有熱心?
211.215	214.936	耶和華比我們有熱心要成就這樣的事。
214.936	215.076	哇!
215.076	216.457	感謝神耶!
216.457	218.577	神比我們有熱心要復興我們。
218.577	220.138	這真是我們的恩典。
221.425	264.618	三十二節繼續講所以耶和華論亞述王如此說他必不得來到這城也不在這裡設建不得拿盾牌到城的前面也不得築這個土堆這叫土壘攻城再來他從哪條路來必從哪條路回去必不得來到這城這是耶和華所說的 剛剛講到的這些攻城的進攻的方式,就是他們之前攻下耶路撒冷西南邊60公里處的拉吉要塞的攻城的方法。
264.618	340.214	剛剛講的攻城方法,全部在倫敦的大英博物館,從雅數那邊搬過來的浮雕,雞拿犀利王誇耀自己得勝的那個浮雕,差不多二十幾公尺那麼長, 這個完全就是照剛剛所念的這個方式打下垃圾但是以色亞說你放心祂不會回來攻打不會向你射箭這一切的事都不會發生發生在垃圾的不會發生在耶路撒冷後因為我為自己的緣故又為我僕人大位的緣故必保護拯救這城 就在以賽亞發預言的這個晚上當夜耶和華的使者使者是天使的意思這邊是單數也就是那一天晚上這個耶和華就派他的天使叫滅命天使在亞述的軍營中殺了十八萬五千人歷史背景是亞述王已經打敗了古時王控制了以格倫城 雅數王他們可能住在城裡面,而他的大軍就駐扎在城外。
340.214	348.558	然後清早有人起來一看,天啊,都是死屍了,死光光了。
348.558	354.621	所以雅數王西拿基利就趕快拔營回去,住在尼尼。
355.674	386.938	這讓我們想到出埃及記也是一樣神就派滅命的天使那一個夜晚當夜而且那邊的滅命天使也是一個而已就殺了所有埃及的長子一直到這個他們後來就趕快哀求以色列人你們趕快走趕快走我們不要你再當我們的奴隸了這邊也是一樣弟兄姊妹一個滅命天使就夠了神要做事情 一根手指頭就夠了。
386.938	389.520	因此,我們要對神有信心。
389.520	395.403	神若做事,神若動工,真的在祂沒有難成的事。
395.403	400.687	一個滅命天使,就可以解決十八萬五千個亞數大軍。
401.817	422.743	37節,有一天,這個西拿基利王在他的神尼斯洛廟裡叩拜,他兒子雅得米勒和沙利瑟就用刀殺了他,就逃到雅拉列地,他的另外一個兒子以撒哈頓接續他作王。
422.743	469.921	以撒亞曾經預言這個西拿基利王會死在刀下, 但這個預言是20年後才應驗,我們之前也講過,有一些神的預言,神的應許,不一定當下立刻會成就,有時候是在以後才會成就,可是我們就要相信祂一定會成就,那這就後來就成就,祂死在祂自己兒子的手下,這兩個兒子後來逃到這個亞數的對頭,逃到亞拉利那邊去, 歷史的資料讓我們知道,從他撤兵回到尼尼維之後,後來的二十年,他又發動了五次的大規模的戰爭。
469.921	479.184	可是他二十年內,他從來都再也沒有回來到過耶路撒冷,就完全應驗了以賽亞所發的預言。
479.753	483.196	今天的經文真的是非常的寶貴。
483.196	485.317	我們可以一起來禱告。
485.317	488.100	親愛的主,我們來向祢禱告。
488.100	496.887	不論我個人的身體、婚姻、侍奉、事業、健康。
496.887	505.293	主啊,遭遇了什麼樣的攻擊,或是我讓他遭到什麼樣的很大的虧損。
505.293	508.396	主啊,我要把他都交在祢的手裡。
509.172	512.654	主啊,困難虧損再大。
512.654	518.917	主啊,祢必使我第一年和第二年吃土裡自己長出來的。
518.917	524.700	第三年,祢要使我重新可以耕種收割,歡喜快樂。
524.700	526.581	是的,主,我要依靠祢。
526.581	531.224	主啊,因為祢給我們的恩典,常常是超出我們所求所想的。
531.664	537.506	我們要來向祢禱告,祢說敵人必不再回來,擾擾我們。
537.506	545.130	我們要說阿們阿們,因為祢的話語是大有能力的,祢說有就有,命利就利。
545.130	551.853	主祢一出手,祢一動弓,祢一根指頭,就可以叫仇敵從原路回去。
551.853	554.574	主啊,我們不依靠祢,我們要依靠誰呢?
555.094	559.601	願祢的名得著榮耀,願祢的平安歸給我們。
559.601	562.686	奉主耶穌的名禱告,阿們。
562.686	563.708	願神祝福大家。
