start	end	text
4.189	7.790	弟兄姊妹平安，我們一起來思想,列王記下第十五章。
7.790	19.393	列王記下走到第十五章了,我們看見最近幾章所看見的北國國王跟南國的國王,讓我們有很深的一些信仰和屬靈上的省思。
19.393	30.736	以南國國王為例,從這個約阿詩王,到這個亞馬謝王,到十五章這邊要講的亞薩利亞王,也就是很有名的烏西亞王。
31.374	32.955	這三個王都是怎麼樣?
32.955	35.536	一開始很好,後來怎麼樣?
35.536	40.458	通通走樣了,晚節不保。
40.458	41.738	然後呢?
41.738	44.179	約阿詩被暗殺。
44.179	46.440	亞馬謝被暗殺。
46.440	49.361	今天要講的亞薩利亞,就是烏利亞。
49.361	54.844	晚年直接被神咒詛,長大馬峰,晚節不保。
54.844	55.884	那北國狀況呢?
56.442	133.157	北國也有一個王叫約阿斯那時候同時北國跟南國的國王都叫約阿斯約阿斯王呢這個對神的透過以利沙的祝福和應許不當一回事漫不經心隨隨便便開窗戶射箭代表要擊敗東邊的雅蘭隨隨便便拿著弓箭打地板隨便打三下 不太想打所以以利沙很生氣說你為什麼不打多一點五六下就可以把雅蘭滅盡了你看他這樣漫不經心的對神的應許而他的兒子耶路不安二世也沒有特別敬畏神也沒有啊一樣拜金牛賭可是神就是讓北國的喻阿斯跟這個他的兒子耶路不安二世的時代 竟然就真的擺脫了雅蘭人的束縛,把以前這個所羅門時代對雅蘭整個地區的控制權全部拿回來,也把東邊約旦河以東的領土收復了,甚至往下的雅門,再往下的摩押,再往下一部分的以東,這些領土都落到了北國的手中。
133.157	134.797	你說他們有特別敬畏神嗎?
135.162	137.043	那神為什麼還要祝福他們?
137.043	140.645	不是,神是為了憐憫祂自己的百姓。
140.645	153.253	所以有時候我們覺得我們的侍奉也好、事業也好、工作也好,好像做得很不錯,就以為自己是天眾英明、人才,就驕傲自滿。
153.253	161.077	不,乃是常常是神是透過我們做一個管道,要祝福我們周遭的人而已,我們自己其實沒有什麼了不起的。
161.077	190.034	我們今天來看這個亞撒利亞, 那亞撒利亞在這邊我們看見第五節他之前都做得不錯第五節的時候就說耶和華降災與亡使他長大麻瘋直到死的日子他就住在別的宮裡其實這邊講到就是說亞撒他很成功不是這個亞撒利亞很成功 在北國南國這個時候,北國是一落不安二世,坐亡很久。
190.034	195.518	然後南國就是這個亞沙利亞也坐亡很久,他們兩個同時坐亡。
195.518	198.620	那時候剛好是南北國大復興的時候。
198.620	202.343	那這個南國的這個亞沙利亞就心高氣傲。
202.343	208.027	他打敗了很多西邊的非利士人,解決了很多這些問題。
208.027	211.110	然後呢,他就心高氣傲,他要聖殿裡面去。
211.903	221.370	祂既然不管那些祭司耶祂自己要取代祭司,要來燒香祭司說,你怎麼可以這樣呢?
221.370	246.155	你這個太驕傲了你怎麼可以僭越這個是應該祭司要做的工作就叫祂助手可是呢,這個亞撒利亞,就是烏西亞祂不聽,祂硬要做神在當下就讓祂的額頭上長了大馬峰 於是他就被趕出那個聖殿,然後他也不能住在王宮裡,因為聖殿跟王宮是連在一起的,他已經不潔淨了。
246.155	263.609	照理說,他是要被趕出耶路撒冷,住到荒郊野外去,可是沒有辦法,他是國王,他又還沒有死,所以他不能住王宮,就另外自己住了一個離聖殿遠一點的,這個叫別的宮裡面。
263.609	271.914	他也不能去上朝,主持國家了, 他只好把國家大權交給他的兒子約坦來管理。
271.914	278.019	真的是南國連續三個國王,祖孫三代都晚節不保,真的是太可惜了。
278.019	279.801	那我們再來看一下北國。
279.801	289.570	北國呢,這個強盛的伊羅伯安二世,接續他父親約阿斯王晚年神的祝福,以利沙的預言。
289.570	306.963	然後到了這個 伊羅光二世的時候,又有這個有名的先知,被魚吞到肚子裡面那個先知約拿的一個預言,說神要使這個伊羅光二世來復興整個北國以色列。
306.963	313.949	剛好那個時候,在這個東邊的這個 雅數很衰弱。
313.949	323.395	雅數已經有差不多五十年沒有能力或是沒有興趣來攻打西邊的地中海沿岸國家。
323.395	359.777	在約拿當先知的時候就是在伊魯伯恩二世做國王的時候他就是預言他的預言是承接之前以利沙的預言然後他就是宣告神一定要大大復興北國以色列 可是,神在祂的預言實現之後,神竟然又要祂做一個好像會跟自己的預言抵觸的事情,就是祂要約拿到雅數的尼尼韋去,要去叫他們悔改,不然他們就要滅亡。
359.777	366.119	可是,約拿知道一件事情,他們如果真的悔改,神就會不讓他們滅亡,那天啊!
