start	end	text
18.831	23.154	弟兄姊妹平安，我們按照《每日言經》十一的進度,一起來思想。
23.154	32.500	立位記第十三章的二十九節到最後,繼續來看如何判斷一個人是不是長大麻瘋。
32.500	67.589	我們不要忘記,這個時候百姓仍然在曠野, 然後呢這個20歲以上的男丁就有60萬如果把20歲以下的男子再加上所有的女性再加上有一些非以色列人但是卻跟著以色列人一起逃出了埃及的這些其他的這個百姓加起來可能將近200萬 200萬人過著一個高度密集的群聚的居住生活。
67.589	72.552	所以這個大麻瘋本身他是一個傳染性的皮膚病。
72.552	86.120	所以基於公共衛生的考量祭司他就要按照神的指示仔細來檢查這個大麻瘋的問題免得這個傳染散播開來。
86.120	97.948	第二個 大麻瘋這個字的意思,它原本意思是擊打,就是一種上帝擊打人的疾病,代表它跟罪是有關係的。
97.948	116.801	因此,一個犯罪的人,他需要先被隔離到營外去,在那邊悔改,直到神赦免他為止,大麻瘋病好,他才可以回到營內,過聖節百姓的聖眠的生活。
117.261	125.247	而一般的百姓，如果也不在乎，我們當中有人犯罪，而被神擠打長了大麻瘋，就覺得也沒關係啊。
125.247	126.768	那這就是神就不喜悅了。
126.768	134.314	代表聖節的百姓，並不在乎我們群體當中，有人犯罪，得罪神而不悔改。
134.314	137.356	那這是神所不喜悅的態度。
137.356	139.718	我們繼續來看從29節開始。
139.718	144.962	要繼續來講另外幾種，如何判斷長大麻瘋的一些過程。
144.962	145.282	第五類。
146.391	152.016	是指到這個頭髮跟鬍鬚類的這些長大馬峰的判斷。
152.016	156.200	無論是男人女人,如果在頭上有栽病,就是生病。
156.200	159.863	或是男人在鬍鬚上有栽病。
159.863	169.532	那祭司就要來查看,這栽病現象若生於皮,一樣產生這個在皮底層都已經產生病變。
170.213	182.803	而且其間有細黃毛,毛髮顏色也變了,就要定它為不潔淨,這是頭戒,是頭上或鬍鬚上的一種大馬峰。
182.803	204.180	祭司若查看頭戒的災病,現像如果是不生魚皮,而且其間也沒有黑毛,毛髮也沒有變色, 就要將掌頭戒災病的關鎖七天,就進行隔離觀察, 還是在營內做隔離觀察。
204.180	229.196	第七天祭司要進一步查看災病,如果頭戒沒有發散,沒有蔓延,其間也沒有黃毛,毛髮也沒有變色,頭戒的現象也不生於皮,這個人就要剔去他的髮鬚,但他不可剔頭戒之處。
229.196	246.207	祭司要將長頭戒的 进一步再观索七天,就是其他部分的法须都可以剃掉,但是有长皮肤病的地方,仍然先不要剃,因为还要再观察第二个七天。
246.207	259.875	三十四节,第七天祭司要查看头戒,头戒若没有在皮上发散,现象也不生于皮,就要定他为洁净,那他就要洗衣服,便成为洁净。
261.476	279.400	我們可以看見就是說祭司為什麼還要觀察兩個七天也就是說要追根究柢要確定祂真的不是大麻瘋這應用在我們的這個靈性生活裡面 就是說我們不要只看表面的現象。
279.400	285.284	我們其實是要持續的做自己的靈性自我診斷。
285.284	296.191	不要因為參加一些聚會、特會,或是參與一些事工、服事,就疏忽於自己真實跟神的關係,或是靈命問題的一些診斷。
296.191	301.395	其實奔走天路是一個漫長的歷程,我們要看長期的。
