start	end	text
18.916	22.799	弟兄姊妹平安，我們按照每日言經事業的進度,一起來思想。
22.799	27.784	立委記第14章的21節到32節。
27.784	43.597	這段經文要來思想,如果有些人他經濟能力不是那麼好,那他如何在長大麻瘋而被神赦免、潔淨之後,要重新返回聖民的團體,那他需要去獻祭。
43.597	69.176	我們在上一段經文提到, 五個季裡面他這次要限四個季表示說付出重大的代價要表達十足的誠意但是如果你的經濟能力沒那麼好你可能承擔不起 立位祭一直給我們一個觀念,上帝按每一個人的經濟能力,而這個給予我們有獻祭的祭物,可以有不同的標準。
69.176	75.961	代表人人都沒有理由跟藉口說,我不去跟神獻祭,我不去跟神和好。
75.961	84.670	所以我們這邊來看一下,貧窮的人他怎麼樣來面對 這個長大麻瘋之後,他所當獻的祭。
84.670	92.895	21節,他若貧窮不能預備,購這個樹木,就要取一支公羊膏做贖錢祭。
92.895	153.000	這個部分是不能省的,這跟 比較有錢的人是一樣的就是你最少都還是要一支公羊膏那之前是要三支那窮人一支就好三支變一支然後呢可以這個公羊膏做贖錢祭可以搖一搖為他來贖罪也要把調油的細麵依法十分之一為數祭之前是十分之三 那你如果比較窮一樣你就十分之一就好了一樣就是減免成三分之一那和由一羅格那這個部分是0.3公升沒有變的一同取來 又照祂的力量,要取兩隻班鳩,或兩隻雛鴿,小鴿子,一隻做贖罪祭,一隻做繁祭。
153.000	212.248	之前是三隻羊,現在變成一隻羊加兩隻鳥,因為你的經濟能力不夠, 那穷人呢他就用這樣的一種方式就要來在第八天未要節敬他就要把這些都帶到會幕門口所以一樣他也要獻上四種祭除了平安祭之外另外四種都要獻上 交給祭司,祭司要把俗千祭的羊羔和那衣羅格有一同做搖祭,在耶和華面前搖一搖,要宰了俗千祭的羊羔,取一些俗千祭生的血,抹在那求潔淨人的右耳垂上和右手的大拇指上,並右腳的大拇指上, 不論你是富有的人,還是貧窮的人,你有很高的學歷,還是學歷不高,社會地位的高低,在神面前以示同仁。
212.248	239.319	不論你獻的祭物是數量多多還是多少,上帝只在乎一點,就是你所獻的這些祭, 這個祂動物所流的血,一樣,不論你是誰,神都要你重新耳朵要聽祂的話,手要做祂吩咐你去做的事,腳要走在祂指教你的道路上。
239.319	254.178	不分貴賤,不分你的社會經濟地位、階級,一視同仁,神要的, 就是一個願意﹐順服神﹐尊主為大的人。
254.178	267.545	所以在神眼中﹐每一個人的右耳朵﹐右手拇指﹐右腳的腳趾﹐都要被神用血﹐來重新贖罪、竭盡。
267.545	268.885	都是一樣的。
268.885	273.728	所以神很看重每一個人﹐都要做君尊的祭司。
273.728	276.749	聖節的果度﹐被拣選的族類。
276.749	277.470	我們繼續往下看。
279.565	331.939	然後二十六節祭司要把一些油倒在自己的左手掌然後把左手裡的油在耶和華面前用右手的一根指頭彈七次跟這個經文的上半段那個比較有錢的人他們求捷徑的時候的程序是一模一樣的先處理這個血的部分接下來處理這個油的部分 那這個有談了七字之後呢要抹一些在那求潔淨人的右耳垂上右手的大拇指上並右腳的大拇指上就是抹俗千計之血的原處剛剛是抹血現在是抹油 抹血代表除罪宣布你的罪得赦免了。
331.939	338.226	抹油代表你的罪被赦免之後你被分別為聖了。
338.226	349.277	你才能夠重新進到 這個聖民的團體裡面,成為這個聖節的國度,君尊的祭司。
349.277	360.239	你如果罪沒有被除去,也沒有被分別為聖,神就不看你是聖民團體的一份子。
360.239	370.161	今天教會常常比較多強調神的慈愛、憐憫,但卻比較少看重或留意,神祂也是聖節公義的上帝。
370.759	377.322	所以有時候我們對教會裡面一些很明顯得罪神的事情,視而不見。
377.322	382.605	大家就說這個和事老,或是混水摸魚。
382.605	384.906	神對聖節是很要求的。
384.906	388.287	我們看之前那個大麻瘋有沒有。
388.287	395.070	觀察七天,七天之後再觀察七天,確定無誤,才能夠宣告你們聖節。
395.070	398.012	那過一陣子又這個老毛病又發作了。
398.882	401.424	同樣問題又出現了。
