start	end	text
18.985	22.827	各位姊妹平安，我們按照每日言經十一的進度,一起來思想。
22.827	24.628	立位記第十二章。
24.628	34.872	立位記從第十章開始,很多章的經文都很難解釋,我也沒有很確定的一些答案。
34.872	39.555	我是很誠實這樣講,我不是整本聖經什麼都懂,不可能的。
39.555	46.558	特別很多舊語的問題,還有一些啟示錄、一些訟目錄的問題,我也不一定都有答案。
47.517	54.079	十二章這邊也是有一個難解的問題,就是到底上帝是不是一個重男輕女的上帝。
54.079	70.144	我們都相信上帝不會這樣,但是接下來這個經文,讓我們感覺好像有重男輕女,但是我比較會去相信是上帝沒有重男輕女,但是人類會重男輕女,特別是古代的人類,重男輕女是特別明顯的。
70.144	80.228	所以接下來這些條例裡面, 有沒有為了要稍微遷就還是怎麼樣,配合這個人類重男輕女的一些社會事實。
80.228	84.309	所以有一些我們在解釋上,可能會有一些不同的猜想。
84.309	86.070	我們可以來看一下。
86.070	99.355	第一節,耶和華對摩西說,你小育,就是你告訴以色列人說,若有婦人懷孕生男孩,他就不潔淨七天,像在月經烏會的日子不潔淨一樣。
100.094	117.866	他不是說一個女性她懷孕生孩子是一件犯罪的事情不潔淨不是,是因為跟流血有關就如同女性在月經的時候她因為有流血 那流血就好像這個代表不潔淨。
117.866	124.790	因為我們知道在舊約的時候,規定,子猶跟血是不能吃的。
124.790	126.871	這是跟獻祭有關的。
126.871	133.234	子猶是代表這是一隻動物最精華的部分,是要歸給神的,人不能吃。
133.234	141.098	那血的部分是代表說,那隻替你承擔你的罪的無辜的代罪羔羊,祂為你流血而死。
142.056	144.698	為了讓神可以赦免你的罪。
144.698	151.082	所以不吃脂油跟不吃血的原因是這個跟獻祭有關。
151.082	188.353	那這邊讓我們看見說那這個女性的月經不代表說女性有月經上帝看為討厭不是的喔而是因為跟流血有關那當然 人類社會他自己本身的扭曲跟敗壞他是不是看這個女性月經為不畏神或不解禁那這是另外一個問題這個可能是某種不健康或是不是合神心意的看法但他很可能也存在 在普遍的人類世界裡面﹐包含古代的中東事件。
188.353	200.718	但是從神證明來講﹐他的不潔淨﹐不是說他懷孕是一件犯罪的事情﹐也不是說他月經是犯罪的事情﹐而是跟他有出血﹐有流血有關﹐因為生產也會出血。
202.108	209.892	第三節,第八天,就是生男孩之後第八天,就要給嬰孩行割離。
209.892	215.155	那通常這都是由父親來執行這個孩子的割離。
215.155	223.560	第四節,婦人在產血不潔之中,要家居33天。
223.560	230.404	她潔淨的日子未滿,不可摸聖物,也不可進入聖所。
