start	end	text
18.968	23.971	弟兄姊妹平安，我們繼續按照每日言經事義的進度,繼續來思想。
23.971	26.253	《創世紀》第39章。
26.253	30.456	我們繼續來看約瑟被賣到埃及之後的狀況。
30.456	34.699	之前我們也談過,雅各他需要麵臨兩個問題。
34.699	38.002	第一個, 長子的繼承權到底要給誰?
38.002	43.727	因為劉便已經犯罪了,所以不可能給他了。
43.727	47.830	我們最後看見,就是他會給約瑟。
47.830	54.796	所以37章就先交代了約瑟,被他的兄弟們嫉妒,然後被賣到埃及去。
54.796	59.680	第二個雅各面對的問題就是,上帝應許他說,君王要從你而出。
60.401	64.202	那這個君王的職份以後要交給誰?
64.202	106.419	所以在38章就交代了尤大他生命的一個轉變然後來讓我們做一個預告君王的職份會給尤大所以到接下來現在39章就繼續來交代這個約瑟到埃及之後的發展 約瑟被帶下埃及去,有一個埃及人,就是法老的內臣,就是法老朝廷裡面的臣僕,護衛長波提法,從那些帶下他來的以實馬利人手下買了他去,就買了這個希伯來人奴隸, 第二節約瑟住在他族人埃及人的家中。
106.419	108.140	耶和華與他同在。
108.140	109.620	這是重點。
109.620	114.321	之前這個約瑟的爸爸雅各逃難的時候。
114.321	116.062	耶和華也跟他爸爸說。
116.062	117.062	你不要害怕。
117.062	119.223	我與你同在。
119.223	121.823	甚至包含這個。
121.823	124.584	亞伯拉罕、以撒、雅各。
124.584	130.786	他們在最孤單、驚慌、失措、挫敗、軟弱的時候。
130.786	138.221	耶和華都會 向他們顯現﹐對他們說話說﹐不要怕﹐我與你同在。
138.221	146.287	我們看見說﹐這個經文告訴我們﹐耶和華與約瑟同在﹐約瑟他就百事順利。
146.287	153.733	他主人見耶和華與他同在﹐又見耶和華使約瑟他手裡所辦的事情竟都順利。
155.111	166.800	約瑟就在主人眼前蒙恩,能夠來伺候他的主人,並且主人派他管理家務,把一切所有的都交在他的手裡。
166.800	169.742	他就變成這個管家了。
169.742	177.348	我們之前在37章看見約瑟穿著彩衣,被哥哥抓起來,然後被賣到埃及。
179.138	183.119	他那時候他是17歲,現在也是17歲。
183.119	187.261	我們那時候印象是一個好像一個不懂事的小朋友。
187.261	190.702	然後就是愛做夢,然後愛打小報告。
190.702	194.363	好像是一個沒什麼腦袋的小朋友。
194.363	197.144	但到39章我們發現其實並不是。
197.144	202.426	約瑟是一個非常有辦事能力,有領袖特質的人。
203.746	208.907	當然,耶和華與祂同在,使祂凡事情都順利。
208.907	214.109	神恩待祂,使祂在神跟人面前都蒙恩重。
214.109	224.191	但同時,經文也告訴我們,上帝真的有賜給約瑟很傑出的能力,很傑出的辦事能力。
224.191	230.834	所以包含那時候祂的哥哥去牧羊, 他的爸爸才會吩咐約瑟，去看一下哥哥牧羊的狀況。
230.834	235.457	所以我們可能對約瑟之前的形象要稍微有點調整。
235.457	248.544	好,所以我們看見第五節,自從主人派約瑟管理家務和他一切所有的,耶和華就因約瑟的緣故賜福與那埃及人的家。
248.544	287.965	我們還記得十二章的時候, 所謂的亞伯拉罕之福就是上帝賜福給亞伯拉罕以及亞伯拉罕接下來的每一個繼承人都有一個亞伯拉罕之福就是要成為大國而且是祝福別人祝福全部各國各族的人的大國所以就是神與他同在接納他的人祝福他的人 這個人就會因著約瑟的緣故,或是因著亞伯拉罕之父繼承人的緣故,被上帝祝福。
287.965	297.188	所以這邊告訴我們說,上帝就大大祝福波提法的家,凡家裡和田間的一切所有的,都蒙耶和華賜福。
297.188	305.671	波提法就很高興啊,就將一切所有的都交在約瑟的手中,除了自己所吃的飯,別的事一概不知。
306.715	327.416	他都不用管也不用操心因為約瑟把事情都辦得很好然後呢因為耶和華與約瑟同在所以波提法他只知道自己碗裡面吃的飯是什麼其他一概是他完全不管他也不需要知道約瑟原來 秀雅俊美。
327.416	330.300	秀雅俊美的原文很有意思。
330.300	333.503	就是約瑟他身材很棒。
333.503	335.466	容貌又俊美。
335.466	337.248	這次給我們一個提醒。
337.248	339.531	我們以前以為就是約瑟就是。
339.531	341.773	可能就是花美男啊。
341.773	342.634	17歲的少男。
342.634	343.455	就是長得漂亮。
