start	end	text
18.985	56.585	弟兄姊妹平安，我們繼續按照每日言經事義的進度繼續來思想創世紀第18章創世紀有50章非常的多我們已經讀到第18章了我們繼續加油那也很怕大家讀到這邊前面很多都忘記了所以我們在每一個主日也會特別來錄製這個創世紀的特別訊息也會放在我們淡江教會國度影音的YouTube頻道上 希望能夠對大家有所幫助,讓我們繼續掌握這個創世紀的經文的結構,還有更多神學的省思。
56.585	64.910	十八章第一節,耶和華在曼利像素那裡向亞伯拉罕顯現出來。
64.910	70.133	十七章《歌禮之約》才講到耶和華向亞伯拉罕顯現。
70.133	74.456	十八章這邊再次又記載,耶和華又向亞伯拉罕顯現。
75.230	78.651	那時正熱,天氣很熱。
78.651	86.014	亞伯拉罕坐在帳篷門口,代表在那邊乘涼,天氣很熱。
86.014	91.536	他就舉目觀看,見有三個人在對面站著。
91.536	98.879	他一見,就從帳篷門口跑去迎接他們,俯伏在地。
98.879	103.801	大熱天的,有三個人突然出現,這就不尋常了。
104.582	135.353	接下來由於亞伯拉罕跟神之間他們有熟悉的關係所以亞伯拉罕他就是看見這三個人站在那邊他心裡面就知道這不是一般人他知道神又再次向他顯現他就趕快從這個帳篷門口跑過去迎接他們 夫夫在地,說:「我主,我若在祢眼前蒙恩,求祢不要離開仆人往前去。
135.353	141.418	容我拿點水來,你們洗洗腳,在樹下歇息歇息。
141.418	150.085	我再拿一點餅來,你們可以加添心力,然後往前去,你們寄到仆人這裡來,禮當如此。
150.085	221.451	」 有關於這段經文有兩種不同的說法第一種說法是亞伯拉罕完全不認識突然出現這三個人他甚至不明白這個是耶和華帶著兩個天使出現這是一種說法第二種說法是亞伯拉罕知道來的人是誰我個人比較認為是亞伯拉罕知道來的人是誰 那亞伯拉罕就用他的方式來接待上帝他請這個 耶和華上帝能夠來喝水來洗洗腳來吃點餅來加添新力然後繼續往前去做祂們要做的事情這當然就是一個讓我們覺得蠻難想像的耶和華怎麼會以人的形式來顯現然後來這邊跟亞伯拉罕對話 我想祂是全能的神,祂用什麼樣的方式來顯現,然後進一步啟示給亞伯拉罕。
221.451	224.652	對耶和華來講,在祂沒有難成的事。
224.652	229.095	但是我們不可以倒過來,認定神就是長成那個樣子。
229.095	235.399	我想這是El Shaddai全能的神,祂要進一步向亞伯拉罕啟示的一種方式。
236.783	239.805	他們說,就照你說的行吧。
239.805	241.927	哇,這個很感恩。
241.927	246.009	他們就接受亞伯拉罕的邀請。
246.009	254.596	當然我們會覺得很好笑,因為偉大的上帝,祂會在乎天氣熱不熱嗎?
254.596	255.616	有沒有水喝嗎?
255.616	256.957	有沒有餅可以吃呢?
256.957	259.019	需不需要洗腳呢?
259.019	261.380	要不要去帳篷休息?
261.380	272.455	這個我們可能會覺得很好笑,但是代表亞伯拉罕是竭盡他的所能, 來服侍、侍奉祂所敬拜的耶和華。
272.455	276.061	那上帝也接受亞伯拉罕這樣的服侍。
276.061	286.646	就很像我們的孩子很小的時候,他想要來服侍你, 你會覺得雖然很有趣,可是你卻不會覺得它沒有價值。
286.646	296.909	你反而會很珍惜你的孩子在年幼的時候,對你所表達的服侍,對你所表達的服務跟愛意,那越看越可愛。
296.909	301.091	我相信這時候也會好看亞伯拉罕為他所做的一切,也是如此。
302.142	303.622	亚伯拉罕就怎麽樣?
303.622	304.523	啊,感謝神啊。
304.523	306.743	他想說,哇,我可以服侍耶和华。
306.743	309.644	他就急忙進帳篷見撒拉。
309.644	314.686	就說,你速速趕快拿三細亞。
314.686	317.287	細亞是這個單位,三細亞。
317.287	320.928	大概啦,可能是22公升左右的細麵。
320.928	325.709	細麵指的是比較好的,或是上好的麵粉,精緻的麵粉。
325.709	327.130	調和,做什麽呢?
327.130	327.550	去做餅。
328.490	330.271	給貴客吃。
330.271	339.594	然後呢,亞伯拉罕又跑到牛群裡,牽了一隻又嫩又好的牛肚來,交給仆人,仆人急忙預備好了。
339.594	350.778	亞伯拉罕又取了奶油和奶,並預備好的牛肚來,擺在他們面前,自己在樹下站在旁邊,他們就吃了。
352.073	361.421	我們看見亞伯拉罕忙進忙出,就是希望竭盡所能的,能夠來接待耶和華和兩位天使。
361.421	366.205	那神就悅納了亞伯拉罕,他的這個擺上。
366.205	372.131	就如同其實獻祭一樣,獻祭獻上那個動物,神真的會去吃那個動物的肉嗎?
372.961	409.761	當然不是這個意思但是神就是悅納這樣的擺上所以弟兄姊妹真的不要小看我們在神面前單純出於敬畏神愛神所做的一切的擺上神都視他為珍寶視他如同寶貝的悅納這是很美的事情第九節他們問亞伯拉罕說你妻子撒拉在哪裡 他說在帳篷裡,山人中有一位說,到明年這時候,我必要回到你這裡,你的妻子撒拉必生一個兒子。
409.761	454.322	這三個人呢,原來這個要辦的第一件事情,就是要來再次跟亞伯拉罕, 再一次的兼顧他們在上一章十七章的《歌禮之約》那邊所曾經預言過的就是撒拉真的會生一個兒子而且連名字都取好了就叫做以撒以撒的希伯蘭的名字就是意思就是他笑因為亞伯拉罕聽見這件事情的時候心裡面在偷笑說怎麼可能神就聽見他在笑所以以撒的名字的意思就是他笑 好,所以他要來這邊告訴亞伯拉罕這件事情是一定會發生的。
454.322	461.112	撒拉在那人的後邊的帳篷門口也聽見了這話。
461.112	491.596	亞伯拉罕和撒拉年紀老邁, 沙拉的月經已經斷絕了就代表說從人的生理結構來講就是說他不可能再懷孕了沙拉心裡怎麼樣暗笑什麼偷笑、暗笑、喜笑那個暗、偷、喜都是中文加進去的原文都一個字就是笑 但是看上下文,把意思揣摩進去。
491.596	500.762	所以這邊是撒拉心裡面暗笑,他就說,我既已衰敗,我主也老邁,豈能有這喜事呢?
500.762	505.485	啊,我不可能啦,這種好事怎麼可能連到我身上。
505.485	516.471	他就沒有想就是說,耶和華第二次向亞伯拉罕顯現,第一個重要的事情,就是要兼顧撒拉的信心。
516.471	517.052	所以代表什麼?
518.080	533.830	亞伯拉罕在上一章17章他已經相信了神真的會讓他的妻子撒拉幫他生一個兒子可是我們從18章這邊來看 雅伯拉罕信了,可是撒拉還沒有信。
533.830	540.592	這件事情除非雅伯拉罕信,再加上撒拉信,不然他們不可能去生孩子。
540.592	547.134	所以神呢,上次兼顧了雅伯拉罕的信心,神這次要來兼顧撒拉的信心。
547.134	553.956	弟兄姊妹,很多時候呢,我們領受神的話語,或是領受神的感動,要去做一件事。
553.956	562.236	你呢,一定要等你的配偶,或是你的團隊裡面的人, 跟你能夠同感異靈,你再去做。
562.236	576.043	如果真的是出於神,神會用祂的方式,讓你的配偶或是你的夥伴同感異靈,然後你們才能夠同心合意的去經歷神奇妙的應許。
576.043	582.687	這時候神就是要幫助這個沙拉也能夠有信心一起領受這個恩典。
584.189	594.554	十三節,耶和華對亞伯拉罕說,沙拉為什麼暗笑說,我既已年老,果真能生養嗎?
594.554	597.235	耶和華豈有難成的事嗎?
597.235	609.361	再次讓我們想到十七章第一節,那時候神要來跟亞伯拉罕立這個割禮之約的時候,一開口就說,我是全能的神,El Shaddai,我是全能的神,在我。
609.821	611.601	岂有難成的事。
611.601	614.642	亞伯拉罕已經信了,撒拉還沒有信。
614.642	621.184	請問這邊說,耶和華就對這個亞伯拉罕說,你太太撒拉為什麼暗笑?
621.184	627.345	其實那個希伯來原文非常精彩,他說,撒拉為什麼這樣笑呢?
627.345	629.946	原文是撒拉為什麼這麼笑呢?
629.946	631.366	這樣笑呢?
631.366	634.067	代表他知道這個笑是出於怎麼樣?
634.067	634.967	不相信的笑。
636.681	641.322	然後祂就說耶華岂有難成的事嗎?
641.322	645.024	到了日期明年這時候我必回到你這裡。
645.024	646.924	撒拉必生一個兒子。
646.924	653.366	十五節撒拉就害怕不承認說我沒有笑。
653.366	670.682	撒拉就害怕因為他知道說我剛剛心裡面的聲音神竟然可以聽見他就害怕不敢承認說我哪有笑 但是呢,經文說,那位就說,不然你實在笑了。
670.682	674.486	所以呢,以薩,他真的取名叫以薩,還真有趣。
674.486	680.874	以薩的名字意思就是笑,因為他的爸爸笑了,他的媽媽也笑了。
680.874	683.658	所以呢,這個以薩的名字就是笑。
684.599	689.001	好,所以上帝就要來兼顧撒拉的信心。
689.001	705.030	16節,三人就從那裡起行,代表他們已經接受完雅伯拉罕的服侍,接受完雅伯拉罕的招待,然後也兼顧了撒拉的信心,他們就繼續往前走。
705.030	711.054	他們就面向所多瑪觀看,雅伯拉罕也與他們同行,要送他們一程。
712.602	717.625	耶和華說我所要做的事岂可瞞著亞伯拉罕呢?
717.625	722.488	為什麼耶和華要做的事情他不願意瞞著亞伯拉罕?
722.488	744.700	18節因為亞伯拉罕必要成為強大的國原文是又強又大的國而且地上的萬國都必因他得福亞伯拉罕要成為強大的國 凡祝福他的,上帝也要祝福那祝福亚伯拉罕的。
744.700	750.222	凡咒诅亚伯拉罕的,上帝也要咒诅那咒诅亚伯拉罕的。
750.222	759.627	我们在第12章已经说过了,祝福亚伯拉罕的意思就是说,我知道原来你就是上帝差派到我这里来要祝福我的。
760.247	774.693	使者,我真的經歷到了,也感受到了,你對我的祝福,我因你而得上帝的祝福,所以我領受了,我感謝你,所以我也想要祝福你,我要感謝你。
774.693	785.017	那所以呢,祝福亞伯拉罕的意思就是,他是接受上帝的祝福,他接受上帝的拯救,接受上帝光照的人,這樣的人,上帝要祝福。
785.657	823.462	那咒詛亞伯拉罕意思就是說我不接受亞伯拉罕你所帶來的上帝的祝福、拯救或是光照、審判的人拒絕神那這樣的人當然就會被神來咒詛所以這邊再次強調神要告訴亞伯拉罕接下來他要去索多瑪所做的事是有原因的因為亞伯拉罕要成為又強又大的國地上的萬國都必因他得福 所以他希望所多瑪也能夠因亚伯拉罕的代求而得福。
823.462	836.488	19節,我眷顾他,为要叫他吩咐他的众子和他的眷属遵守我的道,秉公行义,使我所应许亚伯拉罕的话都成就了。
837.432	841.293	我们就来看上帝可能有些心意在里面。
841.293	846.135	第一个上帝希望所多玛里面的人,可以因亚伯拉罕得福。
846.135	848.636	上次已经因亚伯拉罕得福一次了。
848.636	852.237	之前所多玛里面的人,所有的人都被掳走了。
852.237	856.298	包含亚伯拉罕的指耳罗得也被掳走了。
856.298	859.599	但神使用亚伯拉罕,把他们救回来了。
859.599	860.560	使他们就得福。
861.340	884.337	第二,神也要透過所多瑪接下來要發生的事情,要給亞伯拉罕跟他的後裔一個借鏡,就是說我與你們立約,可是如果你們跟所多瑪一樣行惡,那我應許你們的就不會成就了,而你們的下場也會跟所多瑪的這個成一樣。
884.337	898.820	所以他才說,我希望他跟他的眾子, 和祂的眷屬,全部人都要遵守我的道,秉行公義,使我所應許亞伯拉罕的話,得以成就。
898.820	902.281	有時候為什麼神應許我們的話語沒有成就呢?
902.281	909.763	是因為我們毀約,是因為我們不走神的道,是因為我們自己自覺於上帝給我們的祝福。
910.623	957.746	二十節耶和華說索多瑪和厄摩拉的罪惡慎重聲聞於我聲聞於我的原文是他們哀哭或是哭喊的聲音很多代表說索多瑪跟厄摩拉裡面有很多無辜的人或是受壓迫的人他們的被逼迫痛苦的哀嚎聲傳到上帝那裡去的聲音非常的多 21節,我現在要下去查看他們所行的,果然竟向那達到我耳中的聲音,這個原文是說,他的哀嚎聲,就是所多瑪城、厄摩拉城,他們哀嚎的聲音,果真是如此嗎?
957.746	959.766	若是不然,我也必知道。
959.766	964.048	上帝要親自去查看,這兩個城是不是真的沒救了。
965.196	972.656	二十二節,惡人轉身離開那裡,向所多瑪去,但亞伯拉罕仍舊站在耶和華面前。
973.456	978.539	這二人我們到了19章就知道那兩個人是天使。
978.539	981.561	但是耶和華沒有一起去。
981.561	984.862	耶和華仍然站在亞伯拉罕面前。
984.862	986.683	其實他是有目的的。
986.683	991.686	他就是要讓亞伯拉罕接下來來向耶和華懇求。
991.686	996.429	因為亞伯拉罕記得他的侄兒羅德就住在所多瑪城裡面。
997.261	1001.445	如果神要審判所多瑪那職兒怎麼辦?
1001.445	1017.475	第二個亞伯拉罕也記得這些所多瑪城裡面都是之前耶和華你透過我救回來的 難道他們裡面沒有半個人,經歷了神這麼大的拯救,就變得敬畏神,然後行公義嗎?
1017.475	1018.715	好憐憫嗎?
