start	end	text
19.121	166.880	弟兄姊妹平安，我們繼續按照每日言經事義的進度繼續來思想創世紀第二章的第四節到最後由於創世紀有五十章非常的龐大所以我們接下來兩個月的時間要來讀完創世紀所以大家要用耐心 全力來跟上也怕因為它太長大家會忘記所以我們每個禮拜也會特別在錄製創世紀的特別信息我們會連續錄製最少五週可以幫助大家來做總整理以及信息的生活應用請大家也可以在淡江教會國度影音的YouTube頻道上來搜尋那我們就來看一下第二章第四節 創造天地的由來在耶和華神造天地的時候乃是這樣第一章第一節鏡頭拉了最遠告訴我們上帝一開始創造了天也創造了地地指的是地球這個部分 天呢就比較豐富比較複雜因為希伯來人對於這個天有包含天天上的天三層天還包含屬天的還包含靈界的當然也包含這個外太空的這些宇宙但是我們會發現上帝對於天的部分祂沒有想要告訴我們太多也沒有想要告訴我們太多什麼 山城天啊或是什麼天使啊魔鬼啊這些是怎麼一回事上帝比較想讓我們更多知道是有關於地的部分所以第一章第二節就鏡頭就縮小一點點就開始focus在這個地的部分地的創造地球的創造到第二章這邊就開始把那個焦點拉的更小開始講有關於更多的關於人被神創造的一些細節 在這邊講到耶和華神創造天地這邊耶和華這個字第一次出現因為在第一章講的是神Elhim第二章這邊出現耶和華、雅未 有一些學者就會認為,創世紀裡面,一些是講神或是上帝Elohim,這是一種版本的故事集。
166.880	172.523	講到耶和華雅衛的這個部分,是另外一種版本的故事集。
172.523	182.109	這產生了第一本說,就是說有哪一種傳說的故事集,有另外哪一種傳說的故事集。
183.166	207.389	然後我個人比較不認為是這樣我比較認為是在講到跟人的那種親密關係的時候聖經的作者他就有習慣使用耶和華這個字第五節野地還沒有草木 田間的菜蔬還沒有長起來,因為耶和華神還沒有降雨在地上。
207.389	222.997	我們看到大規模的降雨,好像是在挪亞的時代,聖經開始有記載這個事情,早期好像都是比較沒有關於降雨的記載,所以也沒有人耕地。
222.997	226.799	第六節,那怎麼樣才能夠長出這些植物呢?
226.799	227.900	它需要有水啊。
228.899	233.801	但有霧氣從地上騰,滋潤遍地。
233.801	241.044	霧氣這個字就約只出現兩次,另外一次是在約伯記,不是很清楚它可能是什麼。
241.044	250.789	大概就是從地面往上騰升的水氣,或是從地面往上湧出的水泉,可能是這個。
252.193	257.277	第七節,耶和華神用地上的塵土造人。
257.277	262.401	土跟人,這兩個字的希伯來文非常的接近。
262.401	269.086	也暗示的說,人是從塵土,神從塵土所創造的。
269.086	278.814	那神用塵土造人,就將生氣吹在祂的鼻孔裡,祂就成了有靈的活人,名叫亞當。
280.538	285.345	第七節我們趕快討論一下,因為他引起很多中文翻譯上的誤解。
285.345	289.191	第一個,他就成了有靈的活人。
289.191	318.953	有靈的活人,他的希伯來原文是Nephesh Hayah, 我们在第一章解释都也说过了,神所创造的所有的动物,不论是天空飞的、地上爬的、海里游的,或是地上走路的人类,只要会呼吸的这些活着的动物,都叫做nefesh hayah,hayah是这个形容词,活着的,那它的名词就是生命。
319.633	323.734	那Nefesh指的就是會呼吸的動物。
323.734	325.835	所以他就成了有靈的活人。
325.835	334.298	這個中文翻譯是大有問題,因為完全沒有靈這個字,沒有ruach,靈這個字。
334.298	346.862	這樣子講他原文,可能有些人會覺得很驚訝或是很失望,因為我們以前都被教導,人跟萬物的不同,就是我們是有靈的活人。
346.862	385.072	其實這邊完全沒有靈這個字, 再來就是上帝耶和華照我們時候將生氣吹在我們的鼻孔裡生氣這個字就是活著的或是生命的氣息但是我們在這個第7章22節上帝告訴挪亞他要降下洪水審判這個世界他要讓所有鼻孔裡面有氣息的 都死掉。
385.072	390.796	所以代表不是只有人類鼻孔裡面有上帝給我們的氣息。
390.796	394.619	所有的會呼吸的動物鼻孔裡都有氣息。
394.619	457.964	所以呢第二章這邊只是在表達好像上帝在創造人的時候將那個生命氣息 賞賜給我們的時候那個動作特別的親密好像是把我們抱起來一樣然後向我們鼻孔吹進去那一口生命氣息他只是要表達那個跟我們的特別的親密的關係所以2章7節這邊告訴我們一個很重要的線索人跟萬物人跟生物有別跟其他動物有別不是因為人是有靈的活人傳道書3章21節那邊的中文翻譯也給我們一個很大的誤解 那邊講到說有誰知道人死了之後他的靈是往上升動物死了之後他的魂是往下去那邊講到人的靈跟動物的魂原文其實都是同一個字那就是中文把它分類的 所以人跟動物的差別,不在於人有靈,動物只有魂,不是這樣。
457.964	472.836	第二個,人跟動物的差別,也不在於我們的鼻孔裡有這一口上帝吹出來的生氣,所有的動物都有那一口生氣在鼻孔裡。
472.836	475.618	那到底人跟動物最大的差別在哪裡?
475.618	486.142	其實我們在第一章26節就講過了, 上帝對於祂所創造的萬物,都要祂生養眾多,都要祂充滿、遍滿祂的領域。
486.142	491.223	有的是海,有的是空中,有的是水。
491.223	496.505	所以人也要遍滿地面,就是我們活動的地區是在地面。
496.505	504.026	唯獨只有人接受第三句話的祝福跟使命,就是要管理這個世界。
504.026	511.062	這個原因是因為我們 跟其他塑造物不一樣,是我們是按照上帝的形象被創造的。
511.062	516.885	而上帝的形象,我們按照上帝的形象被創造,祂的意思是什麼?
516.885	521.108	我們在第五章可以看見,跟兒子這個概念很有關。
521.108	533.274	我們透過新約很多的經文,包含哥羅西書第一章第15節,我們就會發現,祂是愛子,就是那不能看見之神的像。
533.814	547.957	所以這都跟兒子有關,也就是說,上帝按照祂的形象創造我們的目的,就是希望我們能夠成為祂的兒子,代表父親管理治理上帝所創造的這個世界。
547.957	595.043	我們繼續往下看第十節,第八節,耶和華神在東方的伊甸立了一個園子, 伊甸的意思是快樂或是水源充足的地方上帝就把所造的人安置在伊甸裡面耶和華神使各樣的樹從地裡長出來可以悅人的眼目讓人看了覺得很喜悅很美其上的果子好作食物給我們吃原子當中又有生命樹和分別善惡樹 分別善惡術的原文就是,知道善和惡的術。
595.043	598.965	有關這個部分,後面的章節會進一步解說。
598.965	608.191	第十節,有河從伊甸流出來滋潤那原子,從那裡分為四道河流。
608.191	650.261	第一道名叫比訓,意思是跳躍, 就是環繞哈菲拉哈菲拉就是這個沙地沙土地環繞哈菲拉全地的在那裡有金子並且那地的金子是好的在那裡又有珍珠和鴻馬腦而我們不太知道彼訊這條河是在哪裡十三節 第二條河叫積汛,積汛的意思是衝破,所以不論是筆汛還是積汛,這邊的水看起來都是跳躍、衝破,代表真的是水源很充足的地方,伊甸是一個水源很充足的地方。
653.387	655.709	第二條河叫積遜。
655.709	658.551	就是環繞古石全地的。
658.551	664.275	基本上古石講的是埃及南邊的蘇丹、伊索比亞那一帶。
664.275	666.957	但是聖經裡面也有其他地方叫古石。
666.957	672.822	包含在兩河流域、伊拉克這個地方。
672.822	675.064	所以我們不太知道這邊指的是哪一個古石。
676.374	681.538	第三道河名叫底格里斯河,留在亚述的东边。
681.538	684.040	第四道河就是幼法拉底河。
684.040	693.388	底格里斯河、幼法拉底河,我们称它们为两河流域,或称为肥沃月湾,是古代人类孕育文明的地方。
693.388	700.213	所以很多的人推测伊甸园应该就是在两河流域里面的某一个地方。
700.213	703.696	很可能是,但是我们不确定。
703.696	714.984	十五节, 耶和华神将那人安置在伊甸园,不是让他没事干,使他修理、看守伊甸园。
714.984	724.451	修理的意思就是服事或是工作,看守的意思就是保护、看守。
724.451	732.017	所以人被创造,神就赋予他使命,要让他来工作跟服事。
733.251	746.780	原來從亞當開始就要工作跟服事,所以基督徒我們要回應神給我們的這個工作跟服事的呼召和使命,不要好吃懶做。
746.780	788.454	這個在伊甸園中使他修理看守, 也讓我們感覺到好像是伊甸園是神勢力的第一個聖所因為這個侍奉以及看守就很像那個祭司他們在這個會幕裡面侍奉然後在會幕裡面看守那些神聖的器物好像有點這樣的味道十六節耶和華神吩咐他說園中各樣樹上的果子你可以隨意吃 這是分別善惡樹上的果子,你不可吃,因為你吃的日子必定死。
788.454	824.728	上帝要亞當在伊甸園當中,不僅是忠心的來服事、工作、修理、看守,也要讓他的心態上,彷彿把這個 伊甸園當作是一個神聖的會幕一樣,看祂所做的一切,都是在敬拜神,看祂所遵照神的吩咐命令,怎麼樣去修理看守這個伊甸園,中心的執行神所交代的這些命令,很像是一個中心的祭司,遵照神的命令去做所有的服事。
824.728	840.696	這就是神要人類,面對祂的生活態度, 而神就吩咐说,这样的服事,这样的侍奉和工作,你可以随意的吃里面的果子,这些产业。
840.696	847.639	只是呢,分别善恶树上的果子你不可吃,因为你吃的日子必定死。
847.639	864.104	所以呢,神的一开始的这个吩咐,就分成两种,一种就是告诉我们要做什么, 告訴亞當要修理、看守、要工作、要服侍、要敬拜耶和華。
864.104	868.287	要怎麼敬拜、怎麼看守、怎麼工作,都有交代。
868.287	870.129	要、要、要、怎麼做。
870.129	875.433	他也同時也吩咐說,不可怎麼樣、不可怎麼樣、不可怎麼樣。
875.433	878.196	所以神給我們的律法就是分成兩種部分。
878.196	880.678	一種就是,你要怎麼樣。
880.678	883.080	另外一種就是,你不可以怎麼樣。
883.080	883.861	你不要怎麼樣。
885.094	888.356	特別吩咐,分別山苑樹上的果子不可以吃。
888.356	893.739	因為你,神叫你,不可以做的事,你偏偏去做,你就是犯罪。
893.739	897.020	犯罪的結果就是死亡。
897.020	904.144	18節,耶和華神說,那人獨居不好,我要為他造一個配偶,幫助他。
904.144	910.275	創世記一開始告訴我們,神看他造每一個, 環節都是好的。
910.275	916.077	而當祂把六天所創造的整個整合在一起來看是好上加好。
916.077	918.357	所以神說祂看為聖好。
918.357	925.038	那這邊並不是說祂後來覺得創造這個亞當失敗。
925.038	930.920	記得神後來又創造了夏娃這件事情也是在第六天。
930.920	936.741	就是神在這過程當中祂進一步讓人類的受造更美更好。
937.261	942.923	以至於他在第七天的時候他會看這個一切都非常完美。
942.923	945.384	神就停工休息。
945.384	947.365	那人獨居不好。
947.365	949.866	我要為他造一個配偶幫助他。
949.866	954.588	原文是為他造一個幫助者在他面前。
954.588	958.589	所以配偶幫助他原文是幫助者。
958.589	964.162	所以妻子並不是 低於丈夫。
964.162	968.723	通常只有比較厲害的人,幫助比較軟弱的人。
968.723	976.905	所以丈夫不要太驕傲,妻子也不要太自卑,其實神看我們是平等的。
976.905	980.086	在他面前,代表是平輩、平等的。
981.084	990.313	19節耶和华神用土所造成的野地各样走兽和空中各样飞鸟。
990.313	995.839	这边告诉我们说,人还有野兽、飞鸟都是神用土所创造的。
995.839	1002.326	耶和华就把这一些各种动物都带到那人亚当的面前,看他叫什么。
1003.524	1009.050	那人怎麽樣叫各樣的活物,那就是他的名字。
1009.050	1016.397	那人便給一切牲畜和空中的飛鳥、野地、走獸都起了名。
1016.397	1025.309	雅當給各種動物取名字, 代表給他這些動物們一個身分、一個角色。
1025.309	1034.012	這是上帝在帶領亞當學習怎麼管理父神所創造的這個世界。
1034.012	1042.514	所以取名就如同上帝在第一章的五節、八節、十節上帝為他所創造的這些東西取名字。
1042.514	1069.048	現在上帝把這些動物 帶到這個亞當面前,讓亞當學習怎麼樣來取名,就代表怎麼樣來界定這些動物的角色定位功能,然後呢,甚至他們的生活的範圍跟界限,讓亞當來學習治理神所交付給他的這個世界。
1069.048	1112.196	只是那人沒有遇見配偶幫助他, 原來耶和華除了帶那些動物來給亞當學習取名字定義他們是誰管理他們之外還有另外功能是幫亞當相親可是亞當都沒有看見配偶合適的配偶來幫助他耶和華神使亞當他沉睡他就睡了亞當工作太辛苦了 神就使他睡著,雅當睡覺之前,覺得有點失望,因為他沒有遇見配偶幫助他,他就睡著了。
1112.196	1120.999	他睡著的時候,於是神就取下他的一條肋骨,取下之後又把肉合起來。
1120.999	1138.616	肋骨這個字的原文是旁邊, 側邊,所以大家猜想應該是肋骨,因為拿出來之後,又用肉把它合起來,所以可能是肋骨,但原文是旁邊側邊。
1138.616	1151.424	很多人很有意思,他說上帝取出肋骨,然後來用這造了一個女人, 如果取的是頭蓋骨,那這女人就會管轄男人。
1151.424	1157.265	如果取的是腿骨,那這個男人就會踐踏這個女性。
1157.265	1166.707	所以上帝很有智慧,用在這個男人的心,心臟的心的旁邊的肋骨,取了一個部分,然後來創造女人。
1166.707	1170.527	代表上帝創造的時候,男女是平等的。
1170.527	1173.768	這是一種蠻有意思的說法,我們可以參考看看。
1174.599	1183.089	二十二节,耶和华神就用那人身上所取的肋骨,造成一个女人,领她到那人跟前。
1183.089	1185.311	上帝再次带了新的对象来,给亚当相亲。
1185.311	1193.494	二十三节,那人说, 這是我骨中的骨,肉中的肉。
1193.494	1197.775	原文少翻譯了一個字,但這個翻譯非常的重要。
1197.775	1202.696	原文應該是,這一次是我骨中的骨,肉中的肉。
1202.696	1207.057	代表之前那幾次,怎麼看那些都不像是我的配偶。
1207.057	1209.318	但這一次就對了。
1209.318	1216.684	所以呢,這是 人類史上第一首歌曲,而且是情歌。
1216.684	1219.405	怪不得這個情歌特別的動人。
1219.405	1223.047	因為人類史上第一首歌曲是情歌。
1223.047	1227.949	他說這一次是我骨中的骨,肉中的肉。
1227.949	1232.330	代表太和了,關係太親密了。
1232.330	1235.072	骨中的骨,肉中的肉。
1235.072	1240.794	可以稱她為女人,因為她是從男人身上取出來的。
1241.954	1275.164	雅當給動物叫做起名字但是給這個女人卻是用稱呼她為女人那女人她的西伯來文是ishya男人是ish所以他才說這個女人是從男人身上取出來了好像這個ishya是從ish這個字衍生出來的一樣代表他們這是很親密很 很類似很雷同。
1275.164	1285.067	二十四節,因此仍要離開父母與妻子聯合,二人成為一體。
1285.067	1288.568	離開父母是什麼意思?
1288.568	1293.149	這個讓我們可以進一步來思考。
1293.149	1326.013	離開父母不是說要跟父母斷絕關係,然後與妻子聯合, 我們要知道以前在這個近東世界或中東世界結婚之後都是女方要住進去男方家裡喔所以離開父母是上帝給男方跟女方的這個祝福跟命令喔但是 基本上在近東世界、中東世界,都是住南方家裡。
1326.013	1335.517	所以我們就要明白這個離開父母的意思,指的是心態上,不是居住在一起、不居住在一起的問題。
1335.517	1342.280	我們今天用那個西方人他們的那個婚姻輔導手冊,都會強調說離開父母,指的就是搬出來住。
1343.080	1357.767	其實在以前不是這樣來解釋的那是後來因為老外他們很多很年輕就習慣出來獨立了所以我們在用他的婚姻輔導教材的時候也要留意聖經的原文講的是 不是說一定要搬出來住。
1357.767	1362.129	而是那個心態上要離開父母。
1362.129	1367.212	要負責任的與他的妻子聯合兩人成為一體。
1367.212	1369.513	成為一體原本是成為一個肉體。
1369.513	1374.516	就代表夫妻兩個人結婚之後他們要彼此委身彼此立約。
1375.196	1432.973	要忠於對方是一個心態上跟原生家庭會有一個心態上的分離然後要好好的來建造這個新的夫妻二人合為一體的家庭當時夫妻二人赤身露體並不羞恥代表那時候他們兩個真的是骨中的骨肉中的肉關係非常的親密而且透明 以至於就是在還沒有被罪破壞他們的關係之前他們沒有穿衣服赤身露體彼此透明真的是親密的不得了都沒有問題的好我們就來禱告主我們讚美祢主祢創造人的時候為人真的設想許多祢不僅從一開始就教導亞當要工作要服事要敬拜神 並且祢還幫助亞當找到他生命中的幫助者,就是夏娃。
1432.973	1445.103	主,祢恩待我們,祢也鼓勵我們要與妻子彼此委身,成為一體,但也不是叫我們就跟父母斷絕關係。
1445.103	1449.907	祢很多的規劃和設想,真的都是非常的美,非常的善。
1449.907	1457.152	主,願我們這一生都聽祢的話, 你吩咐我們要做什麼,我們就相信你就去做。
1457.152	1459.973	你吩咐我們不要做什麼,我們就信了過你。
1459.973	1462.555	相信那是對我們有害的,我們就不去做。
1462.555	1474.161	因為我們這一生都好像在伊甸園裡面快快樂樂的有信心的、忠心的工作、服事敬拜你,也彼此相愛。
1474.161	1475.702	奉主耶穌的名祷告。
1475.702	1476.502	阿們。
1476.502	1477.723	願神賜福大家。
1485.077	1486.304	繁體中文
