start	end	text
18.899	58.048	弟兄姊妹平安，我們繼續按照每日嚴經事宜的進度繼續來思想創世紀第五章的十八節到最後也請各位可以繼續來支持訂閱這本每日嚴經事宜的手冊對於幫助我們養成每日讀經靈修的好習慣有非常大的幫助你可以個人使用、小組使用也可以全教會使用 而我們所錄製的每日眼睛事宜的這個視頻就是針對它來當作進度進行雲文、歷史地理背景還有神學還有教牧生活實踐的一些應用的補充。
58.048	76.133	我們就來看5章的18節繼續來看亞當的一個兒子賽特還有他的後代的這個家族的戲譜18節雅烈活到162歲 生了以諾以諾這個人非常有名我們待會介紹他。
76.133	83.094	雅列生以諾之後又活了八百年並且生兒養女。
83.094	87.956	雅列共活了九百六十二歲就死了。
87.956	94.617	雅列是聖經裡面所記載活的第二長壽的人活了九百六十二歲。
94.617	108.307	二十一節以諾活到六十五歲生了馬吐撒拉 以諾生瑪土撒拉之後,與神同行三百年,並且生兒養女。
108.307	117.074	以諾共活了三百六十五歲,以諾與神同行,神將他娶了去,他就不在世了。
117.074	120.316	我們特別來解釋一下以諾這個部分。
120.316	137.201	我們發現從這個之前人類犯罪之後,就要面對一個很嚴肅的問題, 神告訴亞當說你們如果不聽我的話犯罪犯罪的結局就是死。
137.201	142.675	因此在他們犯罪之後我們就看見 這個兩個很重要的線索。
142.675	145.836	第一個,就是他們不能與神同在了。
145.836	147.797	他們不能與神同行了。
147.797	155.802	他們從伊甸園被趕出去,從伊甸園的大門口,在東邊朝東的部分。
155.802	163.026	我們之前也談過,伊甸園也可以看成是人類第一個敬拜上帝的聖所,會墓。
163.026	167.228	那這個會墓的門口,聖殿的門口也都是朝東。
168.729	175.891	亞當夏娃就被趕出去了,沒有辦法繼續與神同在,繼續與神同行。
175.891	188.573	而他們所生的兒子該隱更慘,該隱殺了他的弟弟亞伯之後,繼續被神放逐趕得更遠,所以就更不能與神同在。
188.573	206.459	該隱那時候跟這個耶和華求情說,我現在被你趕得往東邊更遠去了,我就不能見你的面了, 我很怕其他﹐亞當的﹐兒子們﹐或是他的後代們﹐會追殺我﹐因為我殺人。
206.459	217.146	所以我們看見說﹐該隱他就是﹐與神越隔越遠﹐不能與神同行﹐不能與神同在﹐甚至不能見神的面。
217.146	223.841	所以我們就可以看見﹐ 能不能與神同行,就是一個很重要的一條線索。
223.841	242.840	而到第五章的時候,我們可以看見,第五章從第一節開始一直往下,雖然我們看起來,這個亞當另外一個兒子賽特,還有他的後代以挪氏的子孫們,都活了好幾百歲,八百多歲、九百多歲,但他們的結局都是怎麼樣?
242.840	242.860	死。
243.609	247.216	每一個人都是活了幾歲就死了,活了幾歲就死了。
247.216	253.728	就算你覺得好像活了好幾百歲夠長,但結局還是死,還是得接受這個犯罪的結果。
254.940	288.954	所以我們在以諾身上就看到神留下了一個美麗的一個記號或伏筆以諾可以與神同行而且可以與神不僅在地上同行三百年而且神因為太喜歡他了因為他非常敬畏神很愛神神就讓他不會死沒死以諾的結局是沒有死直接被神接走了 所以他是一個不僅在地上與神同行三百年的人,他最後是永遠與神同行。
288.954	295.762	第二個,他在地上,他的結局沒有死,他是直接被神接走了。
295.762	344.059	所以以諾給我們一個很美的記號,其實神對人的心意, 還是希望人可以永遠與祂同行永遠與祂同在第二個神對人美好的心還是希望人不要死人不要繼續活在罪的懲罰跟結果裡面因為罪的公價就是死所以以諾是一個很美的記號祂永遠與神同行與神同在第二個死在祂生命中沒有全世祂永遠活著 那這讓我們很感恩,這個就是一個預告,代表說我們這一些信靠主耶穌十字架救恩的人,我們也可以靠著主耶穌基督,我們可以永遠與神同在。
344.059	356.429	我們就算在地上的肉體的生命有一天會死,但是我們的靈裡面的生命卻永遠不會死,我們永遠與神同在,永遠與神同行。
