start	end	text
19.036	23.738	弟兄姊妹平安，我們繼續按照每日言經十一的進度繼續來思想。
23.738	73.966	《創世紀》的第五章一到十七節《創世紀》總共有五十章我們要花兩個月的時間一起來讀《創世紀》由於它的篇幅很長求聖靈幫助我們能夠有恆心意念把它完成再來因為它很長很怕讀到中間前面就忘了 所以我們在每一個主日我們會增加創世紀的特別信息幫助大家做前面的複習並且加上這些生活的應用跟更深的神學的反思這些特別信息都會在我們淡江教會 國度影音的YouTube頻道上,我們會放上去,讓大家可以來溫故知心,並且思想更多跟我們生命真實有關的一些議題跟挑戰。
73.966	75.966	我們就來看第五章第一節。
75.966	77.907	亞當的後代記在下面。
78.643	85.885	當神造人的日子,是造者自己的樣式造的,並且造男造女。
85.885	91.506	在他們被造的日子,神賜福給他們,稱他們為人。
91.506	95.267	這邊再一次要講亞當的後代。
95.267	101.168	一開始先講說,亞當他跟神之間的關係是什麼?
101.168	103.489	有一個重要的連結點。
104.036	110.183	就是人是按著上帝的形象被创造的。
110.183	145.713	那我们在第一章的时候有分享过,所有的动物都跟人类一样, 接受了生養眾多的祝福和使命也接受了遍滿地面或是遍滿天公或是遍滿海洋的祝福跟使命包含動物包含人類也是一樣但只有人類接受第三條祝福跟使命就是要治理這地治理神所創造的萬物全地跟各樣的生物 那為什麼呢?
145.713	179.961	我們在第二章第七節也分析過並不是因為上帝在我們的鼻孔裡面吹了一口生氣使我們跟其他的動物不一樣因為在第七章我們即將看見所有的這些動物鼻孔裡面都有那一口氣 那再來,從創世紀第二章第七節,我們也跟各位分享過,並不是因為我們被神從鼻孔裡面吹了那一口氣,我們就成為有靈的活人。
179.961	194.927	有靈的活人,他的原文,Nefesh Hayah,這個字,神在創造每一個動物的時候,都稱他為Nefesh Hayah,就是會呼吸的活著的動物。
195.998	201.179	所以在2章7節裡面根本沒有靈那個字。
201.179	203.940	Ruach那個字是沒有的。
203.940	214.003	所以從2章7節我們找不到任何線索能夠去明白到底人跟其他的動物有什麼地方不一樣。
214.003	222.365	唯一的線索就是要回到1章26節人跟動物不一樣在於我們是按著神的形象被創造的。
223.285	251.037	所以呢我們在那時候也分享過這個人是按著神的形象被創造的跟兒子這個概念有關第五章這邊就要揭曉這個答案新約也更進一步讓我們把這個問題看得更清楚例如哥羅西書一章十五節還有其他很多新約的經文都有談到這個觀念 哥羅西書第一章第十五節。
251.037	254.259	愛子,就是神所愛的兒子。
254.259	262.963	愛子,就是那不能看見之神的像,或是就是那不能看見之神的形象。
262.963	265.564	原來,什麼是神的形象?
265.564	268.606	就是神所愛的兒子,耶穌基督。
269.701	300.311	其實我們都是按照耶穌基督而被造的也就是說神創造我們的時候是希望我們能夠成為祂的兒子們能夠來代表父親來治理管理祂所創造的這個世界這個是神從創世以來對我們的心意 所以我們可以看見在第五章這邊開始在講,亞當的家譜的時候,首先他要交代,到底家譜是怎麼一回事?
300.311	301.412	亞當的父親是誰?
302.312	306.436	他彷彿要告訴我們﹐亞當的父親就是上帝。
306.436	312.041	所以他是怎麼樣﹐是照著神的形象﹐亞當被創造的。
