start	end	text
18.882	63.788	弟兄姊妹平安，我們繼續按照每日延經十一的進度繼續來思想創世紀第九章的第八節到十七節由於創世紀有五十章非常的長所以我們要繼續有信心跟耐心的堅持下去我們用兩個月的時間把創世紀讀完 因為很怕大家讀到中間前面就忘了讀到後面中間也忘了所以我們每一個主日就會多增加一個創世紀的特別信息也會放在我們淡江教會國度影音的YouTube頻道上希望可以幫助大家更多結構性的掌握創世紀每一個部分的信息 好,我們就來看今天的經文,第九章第八節。
63.788	79.016	神小喻挪亞和祂的兒子說,我與你們和你們的後裔立約,並與你們這裡的一切活物,就是飛鳥、牲畜、走獸、繁蟲、方舟裡出來的活物,立約。
79.016	83.439	上帝要跟人以及動物來立約。
83.439	85.140	十一節,我與你們立約。
85.896	87.137	的內容是什麼呢?
87.137	96.043	就是凡有血肉的,不再被洪水滅絕,也不再有洪水毀壞地了。
96.043	118.002	我想從方舟裡面出來了,不僅是這個挪亞全家,也包含動物,他們在方舟裡面,過了一整年,他們出來之後,看見這個世界上,就是之前的同伴都不見了,然後呢,這個挪亞看見, 人類也都不見了。
118.002	121.565	當然是滿感謝神拯救他們的。
121.565	126.228	但是心中的驚恐跟害怕是非常巨大的。
126.228	129.910	而且神下這麼重的手毀滅這個世界。
129.910	136.654	神會不會再一次因為我們軟弱犯罪就再一次如此用洪水毀滅我們呢?
136.654	140.097	心中是很多懼怕的。
140.097	186.015	所以神就跟他們要立約 要跟他們保證他從今以後不會再用洪水來滅絕這個世界和生物也不會毀壞這地 這邊原文很有意思原文他是說我要建立建立就是把它立起來神要設立一個事情就是我要建立我與你們所立的約原文是我要建立我與你們所立的約後面那個所立的約的那個所立 希伯來文KAROT,這個字很有意思,這個字就是把它砍斷,把它切成兩半,砍斷。
186.015	192.042	這個約叫做切斷的約,或是砍斷的約。
192.042	194.706	這再次提醒我們以前是怎麼立約的。
195.367	201.713	利約的時候就是把這個動物,把它殺了,切成兩半。
201.713	208.639	切成兩半之後,把它的左邊的屍體,跟右邊的屍體,往兩邊稍微側一點。
208.639	226.278	利約雙方人,在古代的時候,京東世界,利約雙方人,就分別從那一頭跟這一頭, 走過來,然後他們會經過這個被切成兩半的動物的中間。
227.295	253.673	來立約也就是說誰不遵守這個約誰毀約就如同剛那個動物一樣被砍成兩半所以這是立約的意思所以上帝祂主動跟人立約這些聖經裡面所看見的約都是上帝主動與人立約其實神根本犯不著跟人立約因為 祂如果想做什麼,祂就一定會做。
253.673	257.014	祂心中如果不想做什麼,祂也一定不會做。
257.014	258.374	祂何必跟人立約?
258.374	267.517	其實立約的目的是為了人的益處,是為了人的信心,是為了人的需要,所以上帝主動來立約。
267.517	276.940	而且上帝說我跟祢立約,是這種carat 方式來立約,那誰不遵守約,誰就會死。
277.961	356.546	那通常不是通常基本上不會守約的都是人神一定會守約那神還降低自己的這個尊貴的身分來跟我們立約而且還甚至說發誓就說連我也會遵守這個約如果我毀約我永生上帝也被砍成兩半而死就代表神真的是很謙卑的一位神祂是為了要幫助我們 因為我們信心不夠祂為了幫助挪亞相信神真的不會再用洪水毀滅這個世界所以神就說我們來立一個這樣的一個立約真的是非常的感恩剛剛我們也談到上帝跟人所立的約 通常鎖不住約的都是人所以人都該死可是上帝真的很憐憫很憐憫人上帝面對不能守約的人的時候上帝選擇的方式是上帝替你們人而死所以神的兒子耶穌基督就道成肉身成為人替所有的人在這個舊約的事情上而死 然後用祂的血,跟我們立了一個新約,就是十字架救恩的新約。
356.546	362.389	所以,與我們立約的神,真的是又信實,又慈愛的上帝。
362.389	377.649	我們繼續往下看12節, 神說我與你們並你們這裡的各樣活物所立的永約永遠的約定是有記號的。
377.649	390.051	這個真的是神真的是更謙卑他說我跟你們所立的約有記號為證而且這個約是永遠的約定什麼樣的記號呢?
390.051	399.195	我把紅就是彩虹放在雲彩中 這就可作我與地立約的記號了。
399.195	402.817	因為神說祂不會讓洪水毀滅這個地。
402.817	409.180	我使雲彩遮蓋地的時候必有洪出現在雲彩中。
409.180	419.124	我便紀念我與你們和各樣有血肉的活物所立的約,水就再不泛濫毀壞一切有血肉的物了。
419.787	429.753	紅必陷在雲彩中,我看見,就要紀念我與地上各樣有血肉的火物所立的永遠。
429.753	450.722	上帝說只要祂看見彩虹的時候,祂就會紀念,這邊好幾次提了紀念,祂就會紀念祂跟人類所立的這個約定,不會再用洪水審判毀滅大地和上面的生物, 上一次神什麼時候紀念人呢?
450.722	493.188	就是在第八章的時候這個挪亞還有這些牲畜們還在方舟裡面 等候把這個水退去的時候那時候神就紀念挪亞和挪亞方舟裡的一切走獸生畜神就叫風吹大地水勢漸落開始了祂的拯救行動所以神每一次看見祂的記號的時候或是神看見人的悔改或是看見人的禱告 祂就紀念,紀念人的軟弱,也紀念自己與他們所立的約,就出來幫助,聯名拯救他們。
493.188	499.510	那彩虹很有意思,因為彩虹,它通常是跟下雨有關。
499.510	511.314	所以呢,這個挪亞跟這些動物們,出了方舟之後,只要遇到下雨,哇,那個洪水的那個,那個恐懼的後遺症就會出現。
511.314	513.555	哇,是不是神要毀滅我們?
513.555	537.209	所以呢,神就說, 這個下雨之後你就會看到彩虹你就要紀念我真的不會再用下雨用倒洪水來毀滅你們那彩虹這個字它另外一個意思就是弓箭的弓彩虹彎彎的嘛 很像弓箭的弓,所以代表說怎麼樣?
537.209	543.311	因為弓箭的弓就是上帝的武器,拿來做審判的武器的弓箭。
543.311	551.374	上帝不再用祂的弓箭來攻擊犯罪的人類,跟被玷污的大地。
551.374	556.015	上帝把祂的弓,不再使用它了,高高的把它掛在天空上。
556.783	597.109	代表上帝真的已經接受了挪亞的獻祭他已經聞到了新香之氣我們上次談過新香之氣的新香這個字就是從挪亞這個字延伸出來的挪亞的名字意思就是休息新香的意思就是心裡面平靜安詳所以上帝的怒氣已經止息了所以上帝把他的武器弓高高的掛在天空上 17節,神對諾亞說,這就是我與地上一切有血有肉之物立約的記號了。
597.109	599.573	這個是有名的彩虹的約定。
600.828	615.742	我們今天看見彩虹出現都很高興,就是哇,看見神給我立約的記號,常常想到就是說,哎呀,我有一個什麼心願,想要跟神許願,希望神可以垂聽我的禱告。
615.742	618.985	啊,彩虹出現了,這就是記號,記號。
618.985	624.290	其實當初彩虹出現的時候,作為記號跟你現在所想的那個記號是很不一樣的。
624.650	726.171	那是對於剛剛目睹神是一位公義審判的上帝毀滅了大地只留下了人類跟動物的餘種之後心裡面非常佔盡恐懼的人類跟動物上帝給他們一個立約的記號 跟我們今天好像心中有什麼願望希望神可以成就看見彩虹剛好出現就拍手說我的夢想一定會實現弟兄姊妹彩虹的記號不是這樣用的我們不要誤用每次看到彩虹我們要更加敬畏神看到彩虹更加珍惜神的憐憫也有很多人 他們看到一些書籍會說挪亞洪水故事是抄襲這個兩河流域一些古老的洪水傳說沒有錯兩河流域真的有這個古老的洪水傳說然後挪亞的洪水故事跟它之間有很多地方很類似但是有更多的地方是完全不一樣的 很多這些不相信聖經的人只看到部分的相似的地方卻故意不去看更多地方是不一樣的而且那個整個的故事的內容跟故事的目的完全不一樣所以弟兄姊妹我們要對神的話語有信心 我們在講到那個人類犯罪的時候,蛇引誘下蛙的時候,蛇祂所講的話,就是真真假假混在一起。
726.171	729.636	魔鬼常常對我們講話,是七分真,三分假。
730.759	787.021	真的部分聽起來還蠻多的有七分可是那個最關鍵的三分他刻意把它扭曲了所以說魔鬼的話真真假假很多時候世界上很多東西也是真真假假我們要對神有信心你怎麼知道是誰抄誰的你根本也不知道所以我們還是要對神的話語有信心我們一起來禱告主啊 讚美祢主讓我們 這個是敬畏你每次看到彩虹的時候我們就要紀念你是一位願意赦免人的罪你是願意給人悔改機會的上帝你是要讓人從犯罪害怕面對神的審判的恐懼裡面 直到耶穌基督已經成為我們慈悲忠信的大祭司了,就使我們能夠坦然無懼的來到上天的面前,靠著十字架的救恩,勇敢來到主的面前,重新與神和好。
787.602	798.008	那才是你給我們看見救恩記號最重要的目的,就是與神和好,重新走在神的正道上。
798.008	799.669	奉主耶穌的名禱告。
799.669	800.390	阿們。
800.390	801.831	願神賜福大家。
