start	end	text
18.899	24.283	對我們姊妹平安，我們繼續按照每日眼睛事宜的進度,繼續來思想,加拿大太書第二章。
24.283	58.390	第一節過了14年,我想指的應該就是他蒙昭之後,過了14年,時間可能是落在主後48年、49年之間, 這時候保羅已經完成了第一次宣教之旅,然後因為他回到安提亞教會之後,發現有一些假教師來攪擾他們,逼迫外邦人弟兄們也需要接受格裡跟摩西的律法,不然信耶穌也不能得救。
58.390	62.954	保羅剛完成外邦人宣教之旅回來,就遇到這樣的事,當然他不能接受。
63.575	300.050	所以安提拉教會就派他跟巴拿巴並且又帶著提多上耶路撒冷去要跟使徒們問個清楚因為這些人來搗亂了這些是從猶太地區可能也是耶路撒冷來的人所以第二節我是奉啟示上去的 也就是說他們要去跟使徒問個清楚不是只是一個血氣而是也是聖靈指示他們要去因為這關乎到這個跟外邦人傳福音的事情更關乎到到底什麼是福音到底現了耶穌基督十字架救恩大能的福音之後 到底還不要守那些摩西律法這個是關乎得救不得救的大事情關乎怎麼樣繼續跟別人傳福音的事情所以這個是他們說他們是奉啟示上去的然後把我在外邦人中所傳的福音對弟兄們承說 我們透過使徒行傳第15章看見他們從安提亞往南走沿路經過各個地方的教會不斷跟每個地方教會的人訴說他們上一次的宣教之旅帶領多少外邦人信了耶穌然後大家都覺得太棒太好了都為這個事情歡喜快樂我們發現這個保羅的這個宣傳的工作也是做得很好 所以他說這個沿路上就對很多人來傳講神的這樣的在外邦人當中的福音工作但是呢卻是背地裡對那有名望之人說的但是此行最終的目的背地裡還是私底下要去找那有名望之人要來把這件事情說明清楚並且從他們那邊得到一個明確的回覆 所謂的這個有名望之人他的原文你這樣來理解會比較清楚就是那些人指的就是那些需要被考量的那一群人需要被當作是怎麼樣怎麼樣的人的那些人就是Somebody重要分子 好那為什麼保羅他一定要跟那些重要份子要當面把這個福音到底什麼是福音這件事情談清楚他說這個唯恐我現在或是從前突然奔跑他說如果福音弄到最後信耶穌還不夠還得守這個猶太教一切律法 那我現在跟以前所傳的一切的福音以及所建立的教會所結的這些福音的果子都是枉然的都是白做工所以他一定要跟這些所謂的有名望的人講清楚第三節但與我同去的提多雖是希臘人提多是外邦人年輕人現在在跟隨保羅做宣教的工作我也沒有勉強他受割離 他們保羅並沒有因為先要帶一個希臘人外邦人的基督徒去耶路撒冷開會怕增加麻煩所以就事先先把這個提多受刑割離他說不用不用這樣做因為提多你你這個得不得救你是不是這個屬於神的人跟你有沒有刑割離完全沒有關係因為你 是外邦人根本不需要做這個事情。
300.050	332.991	第四節所以保羅就交代他說因為有偷著引進來的假弟兄他們要私下窺探我們在基督耶穌裡的自由要叫我們做奴僕他說那些說信了耶穌還不夠還要守摩西律法的人他們是偷渡進來的假弟兄 他們是偷偷被夾帶進來,溜進來教會的,溜進來基督的教會裡面的假弟兄,他們根本就不認識福音,他們是假弟兄。
332.991	353.355	然後這群人要私下窺探我們,就是要試探我們,在他們的壓力之下,我們是不是會放棄我們在基督耶穌裡的自由,然後呢,讓我們繼續做律法的奴僕, 祂讓我們逼迫我們。
353.355	360.640	讓我們繼續想要靠行摩西的律法來稱義。
360.640	365.003	那我們就會失去了我們在基督裡面的真自由。
365.003	368.505	基督已經在罪裡面釋放我們了。
368.505	371.247	也在律法的控告裡面釋放我們了。
371.647	378.811	所以我們不需要再靠著行律法而稱義,因為也沒有人能夠靠行律法稱義。
378.811	384.433	所以在基督裡,我們已經得到真正的自由,聖靈也在我們裡面。
384.433	401.539	他說我絕不讓那些假弟兄窺探、試探我,給我壓力, 而讓我放棄了在基督裡的真正自由繼續回去猶太教做靠守律法誠意的奴僕。
401.539	444.457	第五節我們就是一刻的功夫也沒有容讓要順服他們 所以代表保羅是沒有餘地也不讓步沒有一刻的功夫就是立刻反擊當那些人去安提拉教會鬧的時候保羅不客氣的立刻反擊而且沿路上到耶路撒冷沿路上只要這些假教師假弟兄窺探他們試探他們的時候保羅也沒有一刻的功夫他是立刻的反擊立刻的反駁 所以是為要教福音的真理,能夠仍然存在你們加拉太人的中間。
444.457	448.518	但很可惜啊,你們加拉太人已經中毒了。
448.518	454.020	傳福音給你們沒幾年,建立教會沒幾年,可能三年左右而已。
454.020	457.421	怎麼我前腳要走你們後腳,就背叛了福音啊。
458.012	474.300	就跟著這些猶太來的這些假弟兄也去考慮要不要去守割禮、守律法、守結齊 認為只靠耶穌基督十字架救恩,可能得救只有半套。
474.300	484.066	我堅持到底,對抗他們的目的,就是要讓真理,很明確的,能夠存留在你們當中,而不讓你們信心動搖。
484.066	492.971	第六節,至於那些有名望的,不論他是何等人,都與我無幹,因為神不以外貌取人。
492.971	500.143	保羅說,我不會因為那些有名望的人, 彼得、雅各這些人。
500.143	508.147	我就在他們面前對於耶穌基督所啟示我的福音真理打半點折扣。
508.147	509.108	門都沒有。
509.108	511.329	我不管你是誰。
511.329	513.711	都不能更改這個福音的內容。
513.711	515.872	也不能混雜福音的內容。
515.872	519.674	第一章甚至說是連天使來也不能。
519.674	525.678	所以保羅說他們那個這個我不會以貌取人。
527.261	528.782	因為他們是誰誰誰。
528.782	531.705	因為神也是不以貌取人。
531.705	533.287	好,我們繼續往下看。
533.287	561.971	他說那些有名望的,並沒有家僧或什麼, 加徵這個字在第一章的第16節也出現過那邊叫商量就是保羅認識耶穌基督的啟示之後他沒有立刻去與屬血氣的人商量也就是說想要現在去透過基督徒來加徵 有關於這個啟示的完整性。
561.971	563.672	因為他已經明白了。
563.672	566.093	這個啟示的完整性已經完整了。
566.093	570.195	就是人只有靠耶穌基督十字架的救恩才能夠得救。
570.195	573.397	而不需要再靠人的腦袋。
573.397	575.819	或是我們祖先的遺傳。
575.819	579.141	律法的遺傳在家東家西加進去。
579.141	583.723	商量那個字的原文就是家天或是家貞。
