start	end	text
18.746	94.736	弟兄姊妹平安，我們繼續按照每日言經十一的進度繼續來思想小先知書哈蓋書的最後一集哈蓋書第二章第十節到最後哈蓋書總共由四次上帝對哈蓋的啟示來組成的那我們就要來看第三個跟第四個啟示第十節大利巫王第二年九月二十四日 這個大概是楊麗的十二月十號左右那基本上呢就是秋雨已經下完了所以應該已經憑著信心播種了接下來就要看上帝的恩典了上帝會不會讓我們離開一切的乾旱以至於在明年春天的時候有春雨降下那這樣就可以有豐收了 之前在第一章的時候哈該叫百姓去想一想這十五六年你們只忙著自己家裡的事把神的事把建造聖殿的事撇在一旁先知說你們自己好好回想一下這十五六年你們家因為這樣真的日子就過得比較好嗎?
94.736	106.690	其實沒有你們家都過得很辛苦很辛苦以至於你們過了一個雙輸的人生 神的事,聖殿的建造也荒廢了。
106.690	110.853	你們自己的家,個人的生命也都過得非常的貧窮。
111.715	113.356	這叫雙書。
113.356	118.921	因此呢,上帝鼓勵百姓,回過頭來,過雙贏的人生。
118.921	128.849	在第二章的上半段,上帝應許,會再次震動萬國,讓萬國的珍寶,來支持供應,聖殿的重建。
128.849	190.547	而在第二章的下半段,這邊談到,上帝也要來祝福,我們每一個憑著信心回應神的人, 去服侍上帝去參與神所託付我們的聖功的弟兄姊妹那神是不是會信實的來成就祂的應許因為祂應許我們顧念祂的家祂也會顧念我們的家所以呢秋雨已經下過種子也已播種明年是否會有好的收成而由別於過去這十五、六年的欠收呢 這時候耶和華的話領導先知哈蓋說,萬君之耶和華如此說,你要向祭司問律法說,若有人用衣巾兜著聖肉,那這衣巾接下來又挨著餅或湯或酒或油或別的食物,那些別的食物便算為聖嗎?
190.547	193.008	祭司說,不算為聖。
193.008	193.568	什麼意思呢?
195.026	203.012	現祭,我們遵從神的教導去現祭。
203.012	206.395	現祭說這個肉就是分別為聖的肉。
206.395	214.961	而我們用我們的平凡的衣襟,或是不潔淨的衣襟,去兜著這個聖肉。
216.015	236.812	然後把剩肉吃完之後我們這個曾經觸碰過剩肉的平凡的意境或是不解禁的意境用這個意境再來 端湯﹐放肉﹐或是接觸油﹐酒﹐其他的食物。
236.812	253.995	我們這個衣襟﹐因為曾經接觸過聖物﹐聖肉﹐我們這個衣襟再來接觸﹐我們家自己其他的這些農作物﹐食物﹐那些食物﹐農作物﹐就能夠﹐也能夠因此變成神聖的嗎?
253.995	273.627	祭司說﹐當然不會﹐不算為聖﹐ 那哈該又說那若有人因為摸了死掉的屍體而沾染了污穢然後呢挨著這一些物的哪一樣這物算為污穢嗎?
273.627	276.908	祭司說必算污穢什麼意思呢?
