start	end	text
3.882	5.902	弟兄姊妹平安，我們一起來思想。
5.902	58.929	哥林多後書第十三章也是最後一章的全部第一節這是我第三次要到你們那裡去憑兩三個人的口做見證句句都要定準在從舊約的時候就是兩三個人做見證這是一個他們的一個習慣代表有公信力 那保羅說我一定會去你們那裡我從前說過如今不在你們那裡又說正如我第二次見你們的時候所說的一樣保羅上次這樣說這一次仍然要這樣說說什麼呢就是對那犯了罪的和其餘的人說 我若再来,必不宽容。
58.929	65.855	你们既然寻求基督在我里面说话的凭据,我必不宽容。
65.855	73.001	因为基督在你们身上不是软弱的,在你们里面是有大能的。
73.001	80.728	面对圣灵三番两次对我们的生命光照提醒,我们真的不要等闲事迟。
82.449	88.493	神是一直願意這個來使我們回轉歸向祂,一直給我們機會。
88.493	94.538	但是我們如果一直都不悔改,那主的管教是嚴厲的。
94.538	98.000	我們在主的面前要敬畏祂。
98.000	116.194	祂說,基督祂在我們身上,祂的大能大力,要來對付我們的罪惡,對付我們的軟弱悖逆, 那個時候基督不是軟弱的,基督是有能有力的,要我們好好來敬畏神。
116.194	122.199	祂因軟弱被釘在十字架上,卻因神的大能仍然活著。
122.199	130.866	而我們也是這樣同祂軟弱,但因神向你們所顯的大能,也必與祂同活。
131.391	165.252	保羅提醒不要以為耶穌基督看起來是很軟弱的被釘死在十字架上不要忘記在祂裡面有復活的大能大力因此保羅也是告訴哥林多的弟兄姊妹們因神向你們所顯的大能也必與祂同活保羅說我們也要帶著主給我們的能力到你們那裡去 你們總要自己省察,有信心沒有,也要自己試驗。
165.252	172.257	豈不知你們若不是可棄絕的,就有耶穌基督在你們心裡嗎?
172.257	176.660	我卻盼望你們曉得,我們不是可棄絕的人。
177.329	191.980	我們求神叫你們一件惡事都不做,這不是要顯明我們是蒙悅納的,是要你們行事端正,任憑人看我們是被棄絕的吧。
191.980	235.244	保羅再次勉勵他們,要有真實的信心,要省察自己,要好好的面對自己,是不是真心的順服在耶穌基督十字架的真理裡面, 而不是繼續信了主了可是人生裡面還在追求的人生裡面還在自高自大的人生裡面還在拼命貼別人標籤的都是那些信主以前世界給你的影響或是以前你還沒有信主的時候你想要達到的人生的境界、標準、好物 這些東西不要在教會裡面繼續讓它興風作浪了。
235.244	240.727	我們要有一個真實的信心是耶穌基督十字架救恩的道理。
240.727	252.372	追求那一些我們想要的但如果那一些不是神要給我們的那這種的努力追求不是信心耶 那是一個錯誤的信心。
252.372	255.537	它所帶來的不是基督裡的真自由。
255.537	259.604	是用世界上的各種的東西捆綁我們自己。
259.604	260.946	捆綁別人。
260.946	262.468	捆綁教會。
262.468	264.411	捆綁耶穌基督十字架的福音。
265.691	275.654	因此保羅說,就是說,你們一件惡事都不要做,不是為了要顯明我們是蒙悅納的,而是要你們行事端正。
275.654	287.578	這邊講說,你們要用一個真實的信心來去見證,你是這個不被棄絕的。
288.404	292.207	不被棄絕這個字是經不起考驗的。
292.207	303.395	也就是說你到底是不是在主耶穌基督再來的時候你是一個被神認為是經得起考驗還是經不起考驗的人。
303.395	320.887	就是說你是不是一個堅守福音真理而能夠在你這個瓦器裡面有寶貝作為大能大力使你四面受敵使你遇到許多的挑戰你仍然堅持 在主裡面做新造的人。
320.887	324.788	那你是否是一個經得起考驗的人。
324.788	330.610	第八節我們凡事不能抵擋真理只能輔助真理。
330.610	376.851	這個輔助這樣的翻譯會讓我們誤解好像真理有點弱需要我們去幫忙他推廣 其實祂的輔助原文是為了真理為著真理保羅說我們凡事不要去做跟真理不符合的事情我們凡事都要為真理而行為真理而活出來第九節即使我們軟弱你們剛強我們也歡喜並且我們所求的就是你們做完全人所以我不在你們那裡的時候 把這話寫給你們,好叫我見你們的時候,不用照主所給我的權柄嚴嚴的待你們。
376.851	382.018	這權柄原是為造就人,並不是為敗壞人。
382.018	386.443	神給使徒權柄,這個權柄是為了要造就人。
387.244	428.328	但是也不能因為保羅他要造就人用基督的溫柔和平來勸人回轉歸向主就認為這個神的權柄是不需要去敬畏的是可以看待祂是可有可無的保羅說這個權柄是希望用在造就人上面而不是希望用在敗壞人上面保羅一直非常看重自己的職份 十一節,還有末了的話,願弟兄們都喜樂,要做完全人,要受安慰,要同心合一,要彼此和睦。
428.328	432.870	如此仁愛和平的神,必常與你們同在。
432.870	438.773	你們親嘴問安,彼此勿要聖節,眾聖徒都問你們安。
438.773	446.078	願主耶穌基督的恩惠,神的慈愛,聖靈的感動, 常與你們同在。
446.078	453.265	保羅最後問安,願三位一體上帝的恩惠平安,常與他們同在。
