start	end	text
4.121	6.302	弟兄姊妹平安，我們一起來思想。
6.302	11.123	哥林多前書第十四章的十八節到最後。
11.123	31.874	我感謝神,我說方言比你們眾人還多,但在教會中寧可用悟性,悟性就是腦袋懂的東西,用悟性說五句教導人的話, 強如說萬句，別人都聽不懂的方言。
31.874	44.299	保羅不是貶低方言保羅是說我不僅要求自己的益處我更求這個恩賜是對別人有幫助有益處的。
44.299	85.162	弟兄們所以在心智上不要做小孩子 然而在惡事上要小心我們要做嬰孩在心智上要做大人特別是在講說要去求那個能夠造就別人的恩賜因為哥林多人有些有方言的人他就自以為那個是天使的語言覺得自己已經在 最高境界的已經好像自己已經身在靈界裡面了自高自大所以聚會的時候就只顧著拼命說方言也不管其他的人的感受或是其他的人由因為我這樣子得方言恩賜而被造就嗎?
85.162	104.339	他們不管這些的所以保羅就引用21節律法上記著說這是指的以賽亞書28章主說我要用外邦人的舌頭 和外邦人的嘴唇向這百姓說話,雖然如此,他們還是不聽從我。
105.043	117.189	保羅引用以賽亞書28章那邊先知,透過以色列人聽得懂的話來勸誡他們悔改,他們還是不聽。
117.189	127.594	所以神就透過先知說,既然聽得懂的話你們不聽,那我就讓你們國破家亡,被擄到亞宿。
128.234	136.821	以後呢,你們既然不愛聽,聽不懂的話,我就讓亞素人用聽不懂的話對你們說話。
136.821	139.222	可是呢,你們還是不信。
140.555	148.139	那二十二節,這樣看來,說方言不是為信的人作證據,乃是為不信的人。
148.139	153.942	作先知講道不是為不信的人作證據,乃是為信的人。
153.942	155.343	什麼意思呢?
155.343	164.068	對於那個悖逆不信的人,說他聽得懂的話,說他的悟性可以理解的話,他尚且不信。
165.452	200.450	更何況用他聽不懂的話對他說話他怎麼會信呢因此保羅就鼓勵在聚會的時候特別要來追求用這個先知講道或是說預言讓這個人的悟性可以理解然後23節所以全教會聚在一處的時候若都說方言 偶然有不通方言的﹐或是不信的人進來﹐豈不說你們癲狂了嗎?
200.450	220.242	但都作先知講道﹐偶然有不信的﹐或是不通方言的人進來﹐ 就被眾人勸醒,被眾人審明,他心裡的隱情顯露出來,就必將臉伏地,敬拜神,說,神真是在你們中間了。
