start	end	text
18.780	90.422	我約翰就是你們的弟兄和你們在耶穌的患難國度忍耐裡一同有份 為神的道並未給耶穌做的見證曾在那名叫拔摩的海島上當主日我被聖靈感動聽見在我後面有大聲音如吹號 你所看見的﹐當寫在書上﹐達與以弗索﹐士美拿﹐別加摩﹐推亞推喇﹐撒迪﹐菲拉鐵菲﹐勞底加﹐那七個教會。
93.848	130.662	第九節我約翰就是使徒約翰就是耶穌所愛的那個門徒約翰我約翰就是你們的弟兄和你們在耶穌的患難、國度、忍耐裡一同有份一同有份就是共同有份者共同擁有這樣的權利的人那耶穌的三件事情我們都與耶穌共同有份包含耶穌的患難耶穌為了誠實 見證上帝的救贖之恩,祂接受了很大的患難,之後被釘在十字架。
130.662	140.624	而我們也要把耶穌見證給我們的見證,要見證給其他人的時候,我們也會遭遇到像耶穌一樣的患難。
140.624	145.085	再來,國度的意思,這個指的是兩個意思。
145.085	148.006	第一個就是上帝統治的領域和範圍。
148.166	151.368	與上帝同作王的意思。
151.368	156.532	所以耶穌的國度代表我們現在是屬耶穌的國民。
156.532	158.414	我們是被耶穌所統治的。
158.414	162.136	弟兄姊妹你要讓你心中的寶座給主耶穌做。
162.136	165.379	祂才能夠治理你管理你統治你。
165.379	169.282	第二個國度的意思就是我們要與耶穌基督一同作王。
169.582	175.146	我們現在已經與耶穌基督在祂的神的國裡面一同作王。
175.146	181.490	耶穌基督第一次來的時候,死裡復活之後,祂就已經在地上建立祂的國度。
181.490	187.354	我們已經是祂的國民,我們也已經開始學習跟祂一同作王。
187.354	196.120	等到耶穌基督第二次再來的時候,祂的國就要完全的彰顯,整個世界要成為耶穌基督的國度。
196.120	207.237	而在那個時候, 首先從死裡復活得勝的聖徒,他們也要與耶穌基督一同作王,治理這個地球,這個世界。
207.237	219.280	所以看到一個對比,一個就是我們與耶穌的患難有份,但是我們同時也與耶穌的國度跟耶穌同作王有份。
220.162	222.808	這兩個就有一個張力了。
222.808	224.952	怎麼來面對這個張力呢?
224.952	227.678	最好的方式就是效法耶穌的忍耐。
228.336	231.058	也效法約翰的忍耐。
231.058	238.143	所以他才說,我是和你們在耶穌的患難、國度、忍耐裡一同有份。
238.143	247.589	我為了神的道,並為了給耶穌做的見證,曾在那名叫做巴摩的海島上。
247.589	253.053	代表說他是為了福音的緣故遭遇到患難。
253.053	259.458	很多人猜想他可能是被放逐到巴摩島, 或是暫時被拘禁在那裡。
259.458	263.962	但是不管是怎麼樣,祂就是為主受苦,在巴摩島。
263.962	266.664	有關巴摩島在哪一邊,我們待會兒看地圖。
266.664	271.367	第十節,當主日,我被聖靈感動。
271.367	287.856	主日,我想有很多解釋,我覺得最簡單的解釋就是,我們現在認知的這個主日, 當主日的時候祂敬拜主祂就被聖靈感動祂聽見在我的後面有大聲音多大的聲音呢?
287.856	289.656	像吹號角的聲音哇!
289.656	290.937	那真的很大喔!
290.937	307.450	通常聽到吹號角大概有兩個意思第一個就是要我們警醒第二個就是提醒我們末日來了末後的日子來了要警醒 然後呢這個聲音很大像吹號角的聲音這麼大那聲音說什麼呢?
307.450	315.933	說你所看見的當寫在書上答語就是寫信給 這七個教會。
315.933	318.095	我們來看一下這個地圖。
318.095	321.018	首先我們可以看見這個巴摩島。
321.018	327.185	他就在這個以弗所的這個西南的外海。
327.185	331.690	那時候約翰在巴摩島上,寫信給亞西亞神的七個教會。
332.090	349.437	它是有順序的,我們看一下這個地圖,它是順時鐘的方向,所以是給以弗所、士美拿、別加摩、推亞推拉、沙迪、費拉鐵飛、勞底加,最後會再回到以弗所。
349.437	355.900	所以可能這一封信就是順時鐘的,讓這七個教會共同傳閱。
356.340	364.807	然後再透過這個七個教會,讓更多的教會知道上帝透過約翰有一個這樣的啟示。
364.807	369.851	這個就是一個他要收信的內容和讀者。
370.606	388.734	好,我們繼續就來理解我怎麼記這七個教會因為我們接下來在第二章第三章會去記這七個教會我是這樣記就是以識別推薩非老就是起思路的目的是做什麼呢?
388.734	392.116	它是 做以識別。
392.116	393.316	要我們去分辨。
393.316	394.877	所以是以識別。
394.877	396.618	用以來識別。
396.618	397.738	識別什麼呢?
397.738	400.999	讓我們可以推開撒旦的工作。
400.999	402.020	然後呢?
402.020	405.181	而非老死在地獄裡面。
405.181	442.793	所以启示錄他的這個內容的目的就是用以 我轉過身來, 要看是誰發聲與我說話。
442.793	450.275	即轉過來﹐就看見七個金燈台。
450.275	458.698	燈台中間有一位好像人子﹐身穿長衣直垂到腳。
458.698	466.940	胸間束著金帶﹐他的頭與髮皆白﹐如白羊毛﹐如雪。
468.712	484.217	眼目如同火焰,腳好像在爐中鍛煉光明的銅,聲音如同重水的聲音。
484.217	494.441	他右手拿著七星,從他口中出來一把兩刃的利劍,面貌如同歷日放光。
499.258	506.025	十二節,我轉過身來,因為那鋼琴聽到後面有一個很大聲音對他說話。
506.025	508.948	要看是誰發聲與我說話。
508.948	513.573	即轉過來,我就看見七個金燈台。
513.573	516.396	待會兒會解釋這個燈台是什麼。
516.396	525.331	然後在這個七個金燈台中間有一位好像人子, 好向仁子的原文是向人類。
