start	end	text
18.746	26.211	我又看見另有一位天使飛在空中,有永遠的福音要傳給住在地上的人,就是各國各族各方各民。
46.186	69.862	他大聲說,應當敬畏神,將榮耀歸給他,因他施行審判的時候已經到了,應當敬拜那創造天地海和眾水泉源的。
69.862	88.097	又有第二位天使接著說, 叫萬民喝邪淫大怒之酒的巴比倫大城,傾倒了,傾倒了。
88.097	96.703	在這個十四章的一到五節,我們看見耶穌基督他顯現在地上的西安山,代表他仍然掌權作王。
97.381	156.277	因為在面對前面幾張假的三位一體就是龍、海獸、地獸猛烈的逼迫地上的聖徒很多聖徒在這個大患難當中很艱難的正在殉道或是受逼迫那這個時候耶穌就是在異象中在西安山上顯現給這些正在受苦中的聖徒讓他們看見 耶穌在喜安掌權作王而且也讓地上這些正在受苦中的聖徒聽見天上那些已經得勝的已經從大患難從熬煉出來現在在天上的那些得勝者正在唱得勝的新歌來鼓勵地上這些正在面對非常慘烈仇敵逼迫的這些聖徒 那這個第14章的第6節以後,我們就會思考一個問題。
156.277	160.799	那耶穌是這樣來鼓勵這些受逼迫的聖徒。
160.799	169.643	那耶穌要來如何對付那些可惡的崇拜這個假三位一體的這些地上的惡百姓。
169.643	174.085	他們在拼命的作惡,也在拼命的逼迫聖徒跟教會。
174.445	177.169	耶穌對他們的態度又是什麼呢?
177.169	179.271	這是我們現在要來思考的。
179.271	187.903	第六節,我又看見另有一位天使飛在空中,有永遠的福音要傳給地上的人。
188.609	192.330	就是各國、各族、各方、各民。
192.330	194.691	這個可能出乎你我的預料。
194.691	237.107	我們原本以為,耶穌要好好來替這些正在受苦的得勝者,出一口氣,好好的來懲罰地上這些 作惡的百姓崇拜瘦的百姓想不到耶穌祂是想要給這些可惡的人、罪人再一次的機會所以就拆派天使飛在空中然後有永遠的福音就是提醒他們永生 提醒他們在地上這些作惡,死了之後,都要面對上帝,要嘛就是得著永生,要嘛就是得著永死,進入地獄,流黃火湖。
237.107	242.889	所以這個有永遠的福音傳給住在地上的人, 那地上的人包含怎麼樣?
242.889	245.529	各國、各族、各民、各方的人。
245.529	248.490	而這些人正在逼迫聖徒。
248.490	254.052	這些人正在獸的帝國裡面,瘋狂的崇拜著獸。
254.052	262.154	那這個天使呢,他就大聲的說,代表這個永遠的福音,在地上的人都可以聽見。
263.114	310.105	真的耶穌在這個要倒下七碗最後的超自然的全球性的毀滅的審判災難之前祂仍然想要給地上的這些罪人惡人機會悔改所以祂讓全地的人都可以聽見天使大聲的說應當敬畏神 你們不能夠再這樣依靠假的三位一體的魔鬼以為這樣可以躲避神真正三位一體的上帝對你們的末日審判所以你們要敬畏神趕快悔改而不是來敬畏或是懼怕 祂的榮耀歸給真正的上帝,不是把它歸給底基督。
310.105	322.813	因為這位真正的上帝,祂是施行審判的時候已經到了,在把握機會,再不悔改,七晚一倒下來,世界就毀滅,就結束了。
322.813	332.900	所以要真的是把握這個悔改的機會,應當敬拜那創造天地海和眾水泉源的。
332.900	351.216	你們不要敬拜錯對象, 在之前在那個一到四號吹響的時候這個天、地、海跟眾水情緣都已經被神擊打了三分之一你們沒有忘記那個時候你們所遭遇的痛苦嗎?
351.216	354.339	難道你們都不會痛嗎?
354.339	356.501	不會知道要迴轉嗎?
356.501	362.166	所以你們應該要敬拜 創造天、地、海跟眾水全員的上帝。
362.166	373.415	如果再不悔改,下一次在七碗的時候的前面四碗,上帝要完全的審判天、地、海跟眾水全員。
373.415	383.783	而你們這些崇拜偶像的,這些地上的惡名,你們還一直認為天、地、海跟眾水全員是龍他在掌管的。
383.783	385.064	所以你們一定要悔改。
385.913	393.536	好,我們就看見耶穌是這樣拆派天使,苦口婆心的,來對地上的惡人傳福音。
393.536	408.822	第八節又有第二位天使緊接著說,叫萬民,就是地上的各國各民,各方各族萬民,喝邪淫,就是指又邪惡又淫亂, 又驕傲之大。
408.822	410.982	就是完全不把神放在眼中。
