start	end	text
18.763	45.441	弟兄姊妹平安，我們按照每日延經事宜的進度一起來思想四世紀第十六章第十五節到最後來看這個參孫故事最後的結局大麗拉就是參孫的女朋友她已經三次請這個參孫告訴她為什麼可以立大無窮的秘密在哪裡 但參孫為了保命,就三次騙他。
45.441	53.946	那他就怎麼樣,跟這個參孫一哭二鬧三上吊,就是逼參孫一定要告訴他秘密是什麼。
53.946	62.610	那參孫最大的問題,就是一個被眼目的情慾所綑綁的一個男人,所以看來他又要落入這個大力拉的圈套。
63.370	65.330	那大力拉為什麼要這樣做呢?
65.330	94.235	因為這個五個非力士人的領袖代表五個非力士城邦的代表然後用重金引誘大力拉來這個套出參孫的秘密每一個城市願意出一千一百色克勒的銀子那五個城市就是五千五百色克勒的銀子這個數目呢我們在下一章十七章會看到 有一個有錢人,叫做米迦。
94.235	101.861	他自己呢,也開了一間教會,找了一個立位人來當祭司,重金禮聘。
101.861	106.365	他給這個立位人一年的薪水是十色克勒。
106.365	121.756	也就是說,現在這個非律師的五個城邦的領袖, 是用550年的薪資來引誘大力拉套出參孫的秘密。
121.756	124.918	這是一個天文數字的巨款。
124.918	129.381	所以大力拉利益薰心,決定出賣她的男朋友。
130.998	137.500	那大力大就對參孫說,你既不與我同心,這句話講的真的還是厚臉皮喔。
137.500	143.583	大力大早就沒有跟參孫同心了,還罵參孫說你不與我同心。
143.583	146.344	怎麼說你愛我呢?
146.344	149.785	你這三次欺哄我,沒有告訴我。
149.785	152.686	你因何有這麼大的力氣?
152.686	155.547	大力大就天天用話語來催逼參孫。
156.869	161.492	甚至使得參孫他的心裡,煩悶得要死。
161.492	178.082	參孫就把心中所藏的秘密,就告訴了大力拉,對他說,從來人沒有用這個剃頭刀剃我的頭,因為我自出母胎,就歸神做拿希爾人。
178.082	184.206	這個參孫也好意思說了出口,拿希爾的意思就是分別為聖,歸給神。
185.145	190.007	這一生願意,過一個以神為中心的生活。
190.007	192.768	但參孫呢,都是過自我中心的生活。
192.768	198.210	他完全都沒有遵照拿西爾人的這些規條在過日子。
198.210	203.692	那,若剃了我的頭髮,因為拿西爾人規定不能剃頭髮。
203.692	206.813	若剃了我的頭髮,我的利器就離開我。
