start	end	text
18.609	98.004	各位姊妹平安，我們照《每日言經》事宜的進度一起來思想四世紀十八章十一節到最後來看但知派往北遷徙的故事我們在十八章的上半段已經談到這一章的記載是一個冒牌的得地為業的故事因為但知派放棄了原本上帝給他們應許之地的地方 反而是要另外往北遷徙去侵略別人的土地但是這個過程裡面的很多的細節的描述看起來好像約蘇亞當初得地為業的故事的記載但是呢動機跟本質卻是完全相反的因此呢這是一個冒牌的得地為業的故事這也給我們基督徒個人甚至教會很大的提醒 有時候我們會打著上帝的名號看起來非常有敬虔的口號跟外貌但是裡面的動機很可能是神所非常不喜悅的因此我們要引以為見這種冒牌的得地為業的行動跟口號千萬不要發生在我們身上如果聖靈有光照我們應該要悔改 我們就來看18章第11節。
98.004	104.469	於是但族當中有六百人各帶兵器從索拉和以什陶前往。
104.469	108.412	索拉跟以什陶其實這邊就是參孫的家鄉。
108.412	114.097	我們可以看一下這張有關於但支派北上侵略的地圖。
114.097	118.681	原本他們的土地是屬於一個東西向的一個扁平的土地。
119.121	125.405	但是因為旦氏派一直沒有辦法依靠神取得這一塊扁平土地的控制權。
125.405	132.751	所以他們後來乾脆放棄了神的應許之地,決定要北上去找到一個新的地方。
132.751	141.036	那十二節他們就先上到猶大的基列耶靈,他們先往東邊移動,然後從基列耶靈的後邊安營。
141.937	174.563	在這個舊約時代的前後左右並不是我們地圖的東南西北不要誤會是人要先面對東方太陽日出之地然後來分前後左右因此呢左就是北右就是南前就是東後就是西所以這個當初這個亞伯拉罕跟羅德的故事在創世紀那邊 羅德,亞伯拉罕說,你向左,我就向右。
174.563	177.705	結果羅德他既不選左,也不選右。
177.705	181.067	他選的是東邊,東邊就是向前。
181.067	186.690	亞伯拉罕說向左向右,其實指的是應許之地的北邊跟南邊。
187.090	192.032	讓羅德來挑,但是羅德他完全不想挑應許之地。
192.032	201.317	應許之地,以色列他是一個南北這個縱向的一個扁平的一條土地。
201.317	235.829	所以呢,亞伯拉罕原本希望 他和羅德共同來經營應許之地所以羅德如果你選這個左邊就是北邊那我卻去經營右邊就是南邊如果你要經營南邊我就經營北邊但很可惜的羅德不稀罕羅德看上的是約旦河以東肥沃的平原因此他就往東邊走了讓亞伯拉罕非常的傷心 好,我們看見他們就在激烈耶靈的這個西面這個地方來安營。
235.829	246.455	因此那個地方名字就叫做馬哈尼旦意思就是這個旦制派的營帳或旦制派的軍營駐紮之地。
246.455	249.136	直到今日這個地名仍然是這樣叫。
249.136	261.403	十三節他們從那裡就往北走到以法蓮山地去首先就來到之前曾經五個探子 去探過路的米家的住宅。
