start	end	text
18.882	22.683	弟兄姊妹平安，我們按照每日言經事宜的進度，一起來思想。
22.683	25.164	釋詩記第六章一到十節。
25.164	29.205	六章、七章、八章都要講积淀的故事。
29.205	32.166	积淀是馬拿西支派的士師。
32.166	33.927	我們看第六章第一節。
33.927	38.628	以色列人誘行耶和華眼中看為惡的事。
38.628	43.190	這個誘這個字在釋詩記不斷的發生。
43.190	46.471	釋詩記就是十二次的惡性循環。
47.551	49.013	打不派,罵不派。
49.013	54.362	然後呢,每次就是上帝任憑他們被仇敵欺壓,因為他們背棄神。
55.043	65.231	他們就跟神哀求,神就可能在這個十二次,所以可能就是在十二個支派裡面,輪流行起誓師來拯救他們。
65.231	73.257	然後等到這個誓師死了之後,他們又立刻去拜偶像,離開耶和華。
73.257	76.559	所以誘這個字,讓我們真的很心痛。
76.559	79.802	以色列人誘行耶和華眼中看為惡的事。
80.759	120.709	耶和華就把他們交在米甸人手裡,手代表這個力量,所以他們在米甸人力量之下就很慘了,交給他們七年,七代表完全束,然後米甸人就壓制以色列人,以色列人因為米甸人,就在山中挖穴、挖洞、建造營災, 這個米甸人呢他們是屬於這個東方的遊牧民族約旦河異東 他們常常來侵略以色列人。
120.709	130.295	在第五章我們可以看見,底伯拉好不容易帶領以色列許多支派,收復了耶穌平原的控制權。
130.295	135.319	他們所打敗的,是也住在耶穌平原裡面的迦南人。
135.319	150.368	而到第六章我們看見,當以色列人再一次背棄上帝的時候,上帝這一次就把耶穌平原交在 約旦河以東的外面的遊牧民族來侵略他們。
150.368	158.472	所以他們就常常需要躲到山上去挖穴挖洞代表他們躲在洞穴裡面生活。
158.472	163.735	或是說建造一些營寨躲在山上保護自己。
163.735	193.729	以色列人每逢撒種之後東方這邊的米甸人、亞馬利人還有其他的東方的遊牧民族 都上來攻打他們,對著他們安營,然後毀壞土產,直到西邊靠海的加薩,沒有給以色列人留下食物,還有牛、羊、驢, 也沒有留下。
193.729	216.200	我們可以看見這張地圖這張地圖讓我們看見約旦河東的這些從東邊來的遊牧民族他們是如何的肆虐整個約旦河以西所以首先約旦河以東兩個字派一定已經也很慘了 然後約旦河以西的其他的支派,受攻擊的範圍非常的大。
216.200	226.242	除了耶穌列平原,還有附近的這些山區之外,甚至一路都攻打到了西邊,甚至是西南邊的加薩。
226.242	231.123	所以你看這個肆虐的範圍之廣大,真的是非常的可怕。
231.123	238.388	真的很可惜,之前底伯拉才 帶領大家奪回了這個,耶穌列平的控制權。
238.388	242.411	但他們被逆審之後,神又再一次讓他們被敵人攻擊。
242.411	245.574	這次,受災殃的範圍更大了。
246.476	268.773	那每一次呢,以色列人他們在撒種之後,撒種就是大概在楊历的10月11月左右,也就是秋雨降下之後,秋雨降下,土地鬆軟,就可以播種,播這個大麥跟小麥的種子。
