start	end	text
18.865	72.117	弟兄姊妹平安，我們按照每日言經十一的進度一起來思想四世紀第四章一到十六節要再次感謝所有的弟兄姊妹前幾天我們有呼籲因為我們經費不足很怕不能繼續拍攝我們的影片但是這幾天真的是感受到弟兄姊妹暖暖的愛心 跟各位報告我們的經費已經充足了謝謝大家的奉獻所以可以請不用再為我們奉獻了您如果還有奉獻的感動可以為其他的教會或其他的福音機構奉獻特別是福音機構在疫情期間很多弟兄姊妹會忽略福音機構他們的需要如果您有奉獻的感動我也鼓勵您可以奉獻給我們節目的 夥伴單位,它叫做國際讀經會臺灣總會。
72.117	76.360	它是我們每日言經事義讀本的發行單位。
76.360	81.825	你也可以為他們奉獻支持,甚至和你的教會都可以購買。
82.381	89.366	他們的每日言經是一個讀本,配合我們的影片,一起來養成每日讀經的好習慣。
89.366	101.976	今天我們要來思想一位士師,她其實是一位女性,我覺得她很像是一個舊約版的女諸葛亮。
101.976	105.059	我們來看一下有關於底波拉的故事。
106.442	112.696	以戶死後以色列人又行耶和華眼中看為惡的事。
112.696	115.102	我們在詩詩記裡面常常看到又這個字。
115.947	148.996	每一次神興起一個事師來拯救以色列人等到這個事師他過世之後以色列人又行耶和華眼中看為惡的事這樣的循環總共有12次我們都知道12代表完整的數字12也代表12支派所以代表以色列這個惡性循環信仰的惡性循環從來沒有中斷過 好第二節所以耶和華就把他們賦予 父這個字其實原文就是賣。
148.996	151.476	把他們賣作奴隸。
151.476	152.597	給誰呢?
152.597	158.438	把他們賦予在下所做王的迦南人耶賓所中。
158.438	163.640	下所,他其實是一個迦南人的城市。
163.640	168.382	他位於這個拿弗他利支派的境內。
168.382	175.424	我們之前談到,我們若不完全聽耶和華的話,就是會變成一個可怕的結果。
176.203	196.132	最後就會完全不聽耶和華的話從不完全聽話一直累積累積你習慣了就會變成完全不聽耶和華的話當初神要以色列人除滅 或是把迦南人全部趕出去應許之地。
196.132	225.589	以色列人呢可能害怕或覺得自己能力不夠不夠心靠神或是各種盤算各種理由或是嫌麻煩他們並沒有把很多的迦南人趕出去反而與他們立約 甚至最後跟他們通婚,兒女互相嫁娶,導致以色列的後代,他們就跟隨這些沒有被他們趕出去的迦南人,一起去敬拜偶像。
