start	end	text
18.968	23.029	弟兄姊妹平安，我們按照每日言經事宜的進度,一起來思想。
23.029	30.432	《釋詩記》第8章22節到最後,繼續來看基甸這位誓師,他故事的結局。
30.432	35.013	22節,以色列人對基甸說,你寄救我們脫離米甸人的手。
35.333	46.503	這是一個非常偉大的事情,因為彌奠人長期欺壓他們,祭奠這位勇士,上帝透過他成為誓師拯救了以色列人。
46.503	61.156	所以百姓說,願祢和祢的兒孫管理我們, 百姓希望積電做王,因為事實他是不能世襲傳給子孫的,只有王可以世襲傳給他的後代。
61.156	67.582	積電說,我不管理你們,我的兒子也不管理你們,唯有耶和華管理你們。
68.302	114.618	這個積電講這句話非常的正確因為別的國家都有王只有以色列沒有王因為以色列的王就是耶和華上帝所以積電他不敢僭越他也不敢做王他知道他擔任士師是出於耶和華的呼召但並不代表耶和華要他做王而且讓他的子孫也都按著血統就可以順理成章的做王 積電又對他們說,我有一件事情求你們,我不要做王,但是反過來,我有一件事情要拜託你們,請你們個人將所奪的耳環給我,原來仇敵是以食馬利人,都是戴金耳環的。
115.862	117.743	仇敵不是米甸人嗎?
117.743	140.637	其實我們可以發現在舊約裡面有時候這些米甸人、以實馬利人常常都會講這些東方的遊牧民族有時候混在一起講所以他希望這個以色列人把 打敗米店人所得來的金耳環,都可以交出來給積電。
140.637	141.537	積電要做什麼呢?
141.537	142.798	我們往下看。
142.798	152.324	他們說我們情願給你,就鋪開一件外衣,個人將所奪的耳環都丟在外衣上面。
152.324	162.892	積電所要出來的這些金耳環, 總共重量是1700色克的金子,大概19.5公斤的金子。
162.892	172.379	此外,還有米甸王所戴的月環、耳綴和所穿的紫色衣服,並駱駝脖子上的金鏈子。
172.379	179.105	百姓除了這個耳環交出來之外,他們還自願交出了更多的這些金銀財寶。
180.555	193.003	積電就以此製造了一個以弗德,設立在本城兒弗拉,就是屬於馬拉西制派的一個城市兒弗拉,就是積電的家鄉。
193.003	201.969	後來以色列人竟然就去拜那個以弗德,就行了邪淫,這就成了積電和他全家的網羅。
202.329	237.966	就是說這件事情就讓積電跟他的全家陷入於罪的網絡因為他這樣的一個行動引誘百姓最後是去敬拜這個偶像金子打造的以弗德 很多時候一開始可能利益良好但後來就變質摩西在曠野舉銅石讓仰望銅石那些被毒蛇所咬的百姓可以這個 康復,不會死掉。
237.966	241.046	結果後來百姓就去拜那個銅蛇。
241.046	256.591	這邊也是一樣,積殿打造了一個金以弗德,原本的用意可能是要來代表說,真正的王是耶和華,所以我們有事情,不是來求問我,而是來求問耶和華。
256.591	260.672	結果那個金子打造的以弗德,來代表神的同在。
261.032	268.035	但人都是很軟弱的,後來人就把這個以佛德當作偶像來敬拜他。
268.035	279.680	那同樣也是一樣,祭奠原本只是一個平凡的弟兄,神揀選他作為服侍大家,帶領大家得勝的一個器皿。
279.680	282.661	但是人呢,就是會有拜偶像的傾向。
282.961	288.944	人就會崇拜積電,就希望積電來做他們的王。
288.944	291.446	那就是把他們領袖偶像化。
291.446	298.390	今天我們也是要小心,千萬不要把你的牧者,或是一些屬靈的領袖偶像化。
298.390	311.057	這是害他,會讓他進入網羅,會讓他墮落,那也會讓這個教會,這個不討神的喜悅。
311.057	312.638	這個是我們引以為賤的事情。
314.053	322.196	我們就往下看第28節,這樣米甸人就被以色列人制服了,不敢再抬起頭來。
322.196	327.939	在積電還在的日子,國中太平四十年。
327.939	335.142	這是四世紀最後一次出現國中太平四十年,代表接下來的狀況是每況愈下。
335.742	358.272	約阿詩的兒子就是約阿詩就是這個祭奠的爸爸那他有一個綽號叫做耶路巴利就是讓這個巴利自己出來為自己辯護吧因為祭奠拆了巴利的壇 那巴力如果真的是神,就讓巴力自己出來,為他自己的權利,抗爭吧。
358.272	366.441	可是巴力是不會說話的偶像,所以他沒有能力出來為自己辯護,只能任憑積電把他的壇拆掉。
367.312	409.559	那這個積殿呢他就回去住在自己的家裡在住在自己的家鄉裡面那積殿呢有70個親生的兒子因為他有許多的妻子另外呢他還有一個妾住在市建那也給他生了一個兒子積殿給他起名字叫做雅比米勒我們可以看見積殿後來就是晚節不保 他雖然推辭了大家要他做王的請求,但是他自己除了很多妻子生了一堆孩子之外,這就已經很不討神喜悅了。
409.559	418.246	他另外還娶了,也不是娶,他有一個事件的妾,也幫他生了一個兒子。
418.246	428.361	積電就把他的兒子請名叫做雅比米勒, 雅比米勒就是我的父親是王。
428.361	431.265	所以這真的是非常的可惜。
431.265	434.269	這個祭奠明明說我不要做王。
434.269	435.671	我的子孫也不要做王。
436.305	479.640	但是他卻給他的兒子取名字叫做我的父親是王當然祭奠可以說我的父親指的是耶和華上帝所以耶和華上帝是我的父親他是真正的君王但是呢在有心人的心中甚至在祭奠自己軟弱的時候 這都能夠成為一個引誘就是呢這個表裡不一表面上說耶和華是我們的王但是呢是不是積電給他的兒子取名字叫做我的父親是王的時候就在暗示自己其實是一個王 那這也勾引了﹐雅比米勒有一個野心﹐讓他也想接續作王。
479.640	484.884	在第九章我們看見﹐雅比米勒果然﹐就變成一個壞蛋。
484.884	486.465	我們繼續往下看。
486.465	497.333	那約阿詩的兒子基電﹐年紀老邁而死﹐葬在雅比以謝族﹐就是他們是馬拉西派﹐裡面的雅比以謝這個族。
497.333	501.876	他們的城市是在兒弗拉﹐在他父親約阿詩的墳墓裡。
503.063	506.888	雞電死了以後,以色列人,你猜他會怎麼樣呢?
508.012	511.154	果然又落入惡性循環。
511.154	515.057	誓師記就是在講這十二次的惡性循環。
515.057	521.160	祭奠時候以色列人又去隨從諸巴力行邪淫。
521.160	526.404	又這個字在這個誓師記裡面常常出現。
526.404	531.347	代表是誓師一死百姓立刻又去拜偶像了。
531.347	534.689	而且是拜各種的巴力來行邪淫。
534.689	535.390	什麼是邪淫?
535.390	536.570	就代表對神不忠心。
537.671	540.814	我又敬拜耶和華,又敬拜偶像。
540.814	544.998	就是對神不忠心,好像淫婦一樣。
544.998	550.322	以巴利比利土為他們的神。
550.322	554.666	巴利的意思是主,主人的主。
554.666	559.749	比利土是利約, 所以巴利比利土是立約的主。
559.749	562.091	就代表說他們跟巴利立約。
562.091	564.532	他們應該是跟耶和華立約才對。
564.532	571.117	但他們在積電死了之後,他們很快又再次去跟巴利來立約。
571.117	574.379	所以他們就以巴利比利土為他們的神。
574.379	582.125	以色列人不紀念耶和華他們的神,就是拯救他們脫離四維州仇敵之首的。
582.892	611.133	然後他們不僅不紀念神三十五節也不照著耶路巴力就是積電曾經向他們所施的恩惠所以他們並沒有後代好好來對待積電祂的子孫們 所以看到這個以色列人忘恩負義,不僅是對神忘恩負義,也對曾經幫助他們的積澱和他的後代忘恩負義。
611.133	614.637	今天這個積澱的結局讓我們看得非常難過。
614.637	622.546	很多時候這個時事造英雄, 然後上臺靠機會下臺靠智慧。
622.546	638.247	很多時候我們有把握住神呼召使用我們的那個寶貴的時刻然後我們就來服侍神也成為大家的祝福但是呢常常又會晚節不保 以至於下臺,下得很難看。
638.247	641.770	甚至害了自己,也害了大家。
641.770	645.993	我們看見積電到晚期,就有點公器私用。
645.993	650.556	說是不做王,但是又好像有這種做王的氣派。
651.237	653.419	娶很多太太。
653.419	658.244	然後呢﹐給自己的兒子取名叫做﹐我的父親是王。
658.244	666.293	那又做了這個經以佛德﹐使百姓進入這個拜偶像的罪。
666.293	668.856	所以弟兄姊妹﹐我們要小心了。
668.856	673.099	很多時候我們就是要學習﹐ 要不要晚節不保。
673.099	677.441	願我們侍奉神這一生能夠忠心到底。
677.441	685.724	不要被成功、功名利祿、別人的稱讚沖昏了頭,如同百姓希望祭奠作王一樣。
685.724	689.285	就讓人飄飄欲仙,我們都以你為鑑。
689.285	692.446	也不要太倚靠人對你的掌聲。
692.446	695.608	我們看見以色列人,薄情寡義。
695.608	698.889	今天給你掌聲,明天就可能給你噓聲。
699.411	702.433	不要活在這些虛浮的榮耀裡面。
702.433	707.356	老老實實的活在對神忠心的服侍裡面。
707.356	709.297	與神立約才對。
709.297	710.858	我們一起禱告。
710.858	718.903	主求祢恩待我們永遠有一顆單純正直的心能夠表禮如一心口合一。
718.903	722.087	主幫助我們不僅 願神賜福大家。
