start	end	text
9.497	10.818	大家好,我是佳華。
10.818	11.998	大家好,我是Dolly。
11.998	14.379	很高興,很開心又來跟大家對話。
14.379	15.760	對,非常開心。
15.760	18.321	佳華你最近,我想問你最近有空嗎?
18.321	19.081	是什麼事?
19.081	20.022	就聊聊啊。
20.022	21.842	我要知道你要找我幹嘛,對不對?
21.842	27.285	如果你要找我的事情,可能不是我那麼優先順序的,我就當然沒空。
27.285	32.247	那我們來分享一下,沒空別人或被沒空的經驗要不要?
32.247	34.028	你常沒空別人嗎?
34.028	36.289	小心喔,因為看的人可能也有我們教會的弟兄姊妹。
37.551	42.814	好,我分享沒空別人的想法。
42.814	43.635	想法比較好。
43.635	46.177	若有沒空的純屬巧合。
46.177	48.638	絕對不是針對你們。
48.638	50.780	的確會有沒空。
50.780	58.064	沒空別人的方式可能就是,我沒帶手機,我回去看一下我行事曆,我再回你。
58.064	60.206	那你怎麼沒空別人呢?
60.708	64.249	其實我也要澄清一下,有的時候是真的沒帶手機。
64.249	65.690	對對對,是真的,是真的。
65.690	69.891	不是有的時候,其實大部分時候是真的,真的沒帶手機。
69.891	74.713	那可是有些事情的確你乍聽之下,你真的不知道背後到底要花下多少時間。
74.713	77.854	我不知道這件事情跟我想做的事情是不是有關的。
77.854	82.216	比如說今天來錄影啊,如果只是來錄搞笑的,那我們就不是那種綜藝咖。
82.216	84.597	那當然就沒空,但如果要談對話當然有空。
84.957	87.498	你有背霉控的經驗嗎?
87.498	88.858	你應該比較少人...有!
88.858	89.518	有!
89.518	91.358	比較少人...你讀不回啊!
91.358	92.599	或是死聲大海啊!
92.599	93.619	喔真的喔?
93.619	94.359	對。
94.359	96.539	我覺得我蠻常背你霉控的。
96.539	97.780	真的嗎?
97.780	98.340	這可以看嗎?
98.340	98.900	沒了。
98.900	100.500	你是怎麼背我霉控的?
100.500	102.841	就是...忽視啊。
102.841	107.101	我有一種感覺好像跟我對話是浪費時間。
107.101	109.522	其實...是這一集的主題。
109.522	109.542	好。
112.210	113.331	真的。
113.331	116.735	我一下子講不出話來。
116.735	117.216	好。
117.216	117.997	對不起。
117.997	131.673	我只是在想像當我們在拒絕跟別人對話的時候是不是被我們拒絕的人也會有這種跟我對話就是浪費時間嗎?
131.673	131.773	沒錯。
132.142	134.903	而且貝爾還牽扯到一種權力結構。
134.903	144.486	就是說如果我今天跟一個我很景仰的人,他可能只是很不經意的忘記回我,我可能會覺得很受傷。
144.486	149.468	可是我今天是跟一個好朋友,他不經意的沒回我,我可能會有另外的解讀。
149.468	157.111	所以我覺得其實這種被沒控其實很複雜,它不只是關於優先順序,也包含一個權力關係。
157.111	160.812	我覺得最糟糕的一件事情就是很多時候我們不承認權力關係的存在。
161.459	163.922	我會說,我們都是平等的,我們都很好。
163.922	172.635	有一次我在教神學院的時候,教一門課,那我在教課的時候就跟大家講說,我們這堂課大家都是平等的,大家都可以倡所欲言。
172.635	176.640	後來有個學生就舉手,他就說,老師,我們不是平等的。
177.261	179.743	因為你決定我們的分區。
179.743	181.905	那我覺得那一刻我意識到一件事情。
181.905	185.648	其實任何一個場合其實都不是權力平等的。
185.648	191.492	而這些權力結構存在的確就讓我們產生人和人之間很微妙的關係跟互動。
191.492	197.337	那你剛才也提到一個很重要的就是說,很多人今天也會說我們沒時間對話了。
197.337	200.039	情勢已經那麼急迫了。
200.039	204.183	沒時間再好好論述,沒時間好好傾聽,沒時間好好做這個那個。
204.183	206.384	我們就是要衝了,就是要做了。
207.125	209.826	那但是到底什麼是沒控?
209.826	213.626	每一次可能被沒控或是沒控別人的時候。
213.626	214.067	不一定都是我。
214.067	215.967	對不一定都是他。
215.967	217.467	我兒子也會沒控我。
217.467	221.648	特別在現在大家那麼強調CP值效益。
221.648	226.669	我跟這個人的對話有沒有影響我其他的效益?
226.669	229.990	或是我跟這個人的對話到底是為了什麼?
229.990	233.291	這當中我覺得有個關鍵是我有沒有把這個對象當人?
234.411	285.304	因為當我談到效益當我談到CP值好像把每個人都標上他是某一種工具某一種產能的部分我也曾經掙扎是不是每個來約我的我也都能有空的確服飾很滿 但當我想到這個肢體這個對象他就是一個上帝所創造的人他就是跟我一樣都是上帝的孩子的時候那一刻讓我願意放下在我的優先順位表不再用我的自己所認定的重要不重要而是他就是一個需要對話的人我就不再把他看作浪費我的時間其實妳講到一個很關鍵的東西就是我們如何去看待彼此 以及我們在什麼樣的框架下去看彼此的關係。
285.304	287.846	我們大概都成長在升學環境。
287.846	290.108	從小到大我們都學習競爭。
290.108	290.969	對。
290.969	295.213	那一方面是我們用很公立的角度來看我們跟人的關係。
295.213	297.195	這個同學能不能教我英文數學。
297.722	300.145	但另外一方面,我們又帶著一種競爭。
300.145	309.518	當我在跟他對話的時候,舉例來講,其實我發現有的時候,孩子跟我年紀差不多的爸爸媽媽,有時候對話,對完話是蠻痛苦的。
309.518	310.740	為什麼?
310.740	314.265	因為一聊就說,他補這個,孩子補這個,孩子補那個。
314.565	316.707	然後我才發現說,原來我那麼多東西不知道。
316.707	318.128	競爭的東西就浮出來了。
318.128	322.493	對,然後我也在覺得說,那我這樣是不是對不起我的孩子,我的孩子輸在起跑點。
322.493	327.918	雖然觀念都知道說,不是那樣子的,但是我覺得那種焦慮,是很真實的。
327.918	330.641	甚至我們好像在對話,但其實是在比較。
330.981	331.601	對。
331.601	334.623	我無形當中在告訴你,我做了什麼事情還不錯。
334.623	336.124	我的孩子現在成就怎麼樣?
336.124	337.946	還好,還好,都還好。
337.946	340.848	就是上了那個前瞻之院了。
340.848	343.329	其實我都沒有教他,我都沒有教他。
343.329	346.371	他就是感謝主,他就是這樣成長的。
346.371	353.376	那當然啦,如果你的孩子也是這樣子,我這樣講,你可能覺得說,對呀,對呀,我們都是這樣,兩個人就聊得很開心。
353.376	359.080	可是如果有一方,其實不是那樣的話,那某種程度也會被解讀成炫耀。
359.480	365.884	雖然講的人未必是想要炫耀,但也有可能是他自己都不知道他想炫耀。
365.884	373.690	那你剛提到一個打人當人看,其實在基督教神學有一個很特別的詞,我覺得跟這個觀念很像,叫衛格。
374.326	376.348	是一種味藥。
376.348	378.150	那味格是?
378.150	379.812	味格是那個一味兩味的味。
379.812	380.392	你哪味的味?
380.392	381.373	你哪味?
381.373	383.255	格是格調的格。
