start	end	text
9.701	11.322	大家好,我是家華。
11.322	12.463	我是Tim。
12.463	15.324	Tim,你是Dolly的兒子。
15.324	17.686	你媽媽跟我說要保重跟你對話。
17.686	26.931	哦,還好,可能因為我是藝術大學的學生,所以我會在這幾集的節目當中扮演負責新生代年輕人聲音的角色。
26.971	30.613	你這樣會不會被這些讀藝術的人認為你是內鬼啊,跑來這邊。
30.613	31.774	如果我是間諜。
31.774	33.035	對啊,無間道。
33.035	35.236	應該還好,應該還好。
35.236	38.919	我講一個我們之前學到的一個事情。
38.919	41.320	就在我們故事創作裡面。
41.320	43.462	我們會用到一個手法。
43.462	46.844	先問問看你最近看過什麼電影好了。
46.844	49.605	我最近看過什麼電影。
49.605	50.126	王者天下。
50.486	51.627	王者天下是什麼?
51.627	55.549	日本拍的一個,他們在講秦朝的一個故事。
55.549	64.954	因為我們在電影裡面,我們會被煽動一些情緒,或者是一些張力,是因為可能我們發現了一些主角不知道的事情。
64.954	66.075	星際大戰最新的這一集。
66.135	69.979	就例如說,主角可能有一個壞人要去追他。
69.979	73.102	然後主角不知道,可是觀眾知道。
73.102	75.565	那這個時候我們就覺得很緊張。
75.565	77.487	你懂那個感覺嗎?
77.487	79.128	因為主角知道的事情比較少。
79.128	81.731	然後我們知道的比較多。
81.731	84.794	那這個在我們的領域會叫他差異直襲。
85.555	86.575	這樣,差異什麼?
86.575	87.216	智希?
87.216	89.677	差異,然後知道的知,熟悉的希。
89.677	91.537	哦,知希,差異知希。
91.537	96.179	就是,我們知道的事情比主角多。
96.179	98.240	或者主角知道的事情比我們多。
98.240	99.841	那有時候我們知道一樣多。
99.841	102.122	例如什麼災難片什麼的。
102.122	104.262	我們就是一起發現那個海嘯。
104.262	105.903	這就是知道一樣多。
105.903	107.884	那什麼時候主角會知道的比我們多?
107.884	110.625	就是像名偵探柯南。
110.625	112.246	他說他已經知道,可我們什麼都不知道。
113.046	114.368	那為什麼我要講這個?
114.368	133.553	因為其實事實是沒有改變的嘛就是誰是兇手是沒有改變的可是因為我們不知道所以對我們來說這個事實不太一樣那我覺得這個跟我們今天要討論的東西很有相關就跟自我膨脹很有相關 對,因為其實我們好像都活在一個所謂同溫成林。
133.553	136.435	某種程度來講,這是有主觀和客觀因素。
136.435	139.597	主觀就是,沒有人喜歡自己是錯的嘛。
139.597	151.947	而且我們有一種認知機制,就是說,當我收到新的資訊跟這些東西不符合的時候,我大概就會要嘛去忽略它,要嘛去合理化它,甚至用陰謀論的方式,啊!
151.947	152.987	這是陰謀論。
152.987	157.351	香港這個前陣子發生很大的事情,那我就聽到兩種不同的觀點。
157.671	162.252	有一些人跟我說你看這些人竟然把紅綠燈都破壞了。
162.252	163.133	報名。
163.133	166.114	以至於你講的喔。
166.114	168.174	讓大家都不方便。
168.174	173.876	可是也有另外一些人跟我講說為什麼他們要破壞因為裡面可能藏有監視器攝像鏡。
