start	end	text
28.695	31.418	小辣椰酥雞陪你聊信仰。
31.418	36.144	大家好,很開心今天又再一次在線上跟大家見面。
36.144	41.431	那今天我們要談的一個題目叫做我們不一樣,然後哪裡不一樣。
41.431	44.955	好,我們首先來介紹我們今天所有的來賓。
44.955	48.219	我們來歡迎唯一的男士,黃永悅,請介紹。
48.626	51.028	大家好,我是黃永約。
51.028	55.712	我現在升大學一年級,就讀臺灣科技大學資訊管理學系。
55.712	58.034	哈囉大家好,我是黃品玲。
58.034	63.379	然後現在是輔仁大學心理系,然後大四這樣。
63.379	65.841	哈囉,我是Elise。
65.841	69.985	我現在沒有在上學,我在找工作。
69.985	74.248	好的,需要外國人會講中文又會講英文的,快點找他。
77.381	104.176	親愛的上帝,我們為著所有在螢幕前面的每一個人向祢先上禱告,求祢祝福每一個在螢幕前的朋友,在今天的我們的聊天的過程當中,然後自己也可以有不同的想法,不同的啟發,然後也祝福朋友們可以有不同的想法,然後甚至可以想要更多的認識這位上帝。
104.176	105.957	感謝祢,奉祀我們祷告阿們。
106.237	109.519	阿們,阿們。
109.519	116.643	我不曉得現場的來賓聽到基督教,看到教會的時候都是怎麼覺得教會的。
116.643	119.285	我是自己踏進教會去的。
119.285	123.408	所以對我來說,教會其實是蠻陌生的。
123.408	130.372	但是我發現為什麼我會踏進教會,以及我會留在教會一個關鍵點。
130.372	135.295	我記得我第一次去教會的時候,我就被一種氛圍吸引。
143.643	147.466	我真的是自己去的,就是探索,我想去教會學英文。
147.466	167.039	然後去了教會的時候,我發現他們那一群年輕人有一種,我以前成長,他進教會的時候18歲,我就發現在我18年的經驗裡面,好像他們的關係跟那個愛的那種氛圍,那種溫暖的感覺,是我以前沒有經歷過的。
167.466	172.868	所以從這裡我就開始很想要了解基督教到底在講什麼。
172.868	177.550	也是因為這樣子我就開始了認識了教會裡面虛虛說的朋友。
177.550	182.711	我才間接的慢慢的來認識聖經講道的上帝就是愛這個主題。
182.711	190.554	所以我不曉得對你們來說你們到底什麼使你們覺得你自己要堅持當一個基督徒。
190.554	192.395	基督教信仰對你們來說是什麼?
193.063	198.906	那我們先來邀請一個特別的就是外國人在臺灣把中文講得這麼好。
198.906	203.028	什麼時你一直想要在教會裡你可以跟大家分享一下嗎?
203.028	214.882	教會真的最吸引我的就是教會也有一種感覺就是你踏入教會就是會有一種很溫馨的感覺然後真的就是一種愛 可是這種愛真的很不一樣。
214.882	218.226	當我想要試著去了解這種愛。
218.226	220.167	我有帶一個自己的期待。
220.167	223.551	然後我對愛的想法是愛是一種感覺。
223.551	227.875	你去感受的你是可以你愛一個人的時候你是感受的到。
227.875	243.609	可是有一段陣子我在教會我在家裡我在跟朋友還有家人的互動關係上 我在愛的方面有一個掙扎,然後我會想,我期待的這個愛是一種感覺,可是我一直感覺不到這份愛。
243.609	257.340	然後我就問上帝,然後說上帝為什麼我就是一直沒有感覺,我可以怎麼去感覺到這份愛,或是了解你的愛,為什麼教會的愛這麼特別,為什麼聖經所說的愛這麼特別。
257.841	272.952	然後當我在尋求上一輩子的時候,我就覺得祂跟我說,你想的愛是一種感覺,可是愛並不只是一個感覺,它是一個行動,它是一個你每次必須去選擇的一種行動。
272.952	277.355	然後這就是耶穌帶給我們的愛,祂是選擇去愛我們的。
277.858	280.979	所以這份愛才會這麼偉大。
280.979	281.959	對。
281.959	291.581	所以我就因為了解愛﹐不只是一個感覺﹐是一個行動﹐我就才有辦法去用上帝的愛去愛別人﹐去愛我的家人﹐去愛我的朋友。
291.581	292.782	哇,是。
292.782	301.184	所以我也看到Alice﹐從我認識你到現在﹐發現你就是用行動在愛許多的小朋友﹐弟弟小的弟弟、妹妹。
301.184	309.806	那跟他們在一起的時候﹐你也感受到那個施比獸跟維永福在愛的感受裡面﹐ 也就對愛更加的加強了。
309.806	314.107	好,那我想了解一下,就是愛是一個行動。
314.107	319.948	我不曉得,有些時候會不會覺得,其實愛不下去啊?
319.948	326.990	就是在教會裡面,我們當然都體會到神是愛,可是說真的,真的都這麼美好嗎?
326.990	328.410	你們能不能跟大家分享一下?
328.660	338.988	我吧,就是我青少年時期的時候,然後那時候我跟我爸媽超不好的,就很叛逆,我超叛逆的。
338.988	346.655	然後我覺得我好像從父母那邊後來慢慢的感受到神的愛。
346.655	356.903	就是我媽後來回過頭來的時候,她跟我講說那段時間,她其實就是很多時候都很想揍我,或很想要放棄我。
359.514	362.598	她說她沒有放棄你。
362.598	374.551	她說她很多次都跪在床前跟神說,她真的不知道怎麼樣去愛我,可以幫助我。
374.551	377.615	她真的覺得很痛苦,希望神可以幫助她。
377.875	388.682	透過這樣子一次又一次禱告,她好像自己也從神那邊支取了力量,然後去愛我,然後去陪伴我,那段不太乖的時間。
388.682	401.651	然後我覺得也是透過就是我媽媽的行動,就是她剛剛Alice講的,就是愛不是一種,不單單只是一種感受,是一種行動跟甚至一種選擇,就是你要不要選擇去愛啊,你要不要選擇去行動。
401.971	435.204	然後就是透過媽媽爸爸的那個行動讓我深深的感覺到對他們沒有放棄我不會因為我這樣子然後他們就不要繼續對我好或是對我愛這樣當好像知道他們是這樣子愛我的時候我就重新經歷到一份好像父母的愛甚至到神的愛也是那麼樣的神就是不放棄的愛那種感覺 而且很主動,在我還沒有準備好,在我還沒有辦法回應的時候,我就感覺,還有父母就已經繼續愛我了。
435.204	444.212	我可以再問多一點吧,就是我們都有青少年的時期,我覺得, 都會有一些青澀,所謂的叛逆。
444.212	456.263	那你要不要跟,比如說你青少年的時候,你現在大一點,你要不要跟弟弟妹妹也稍微分享,那麼青澀到父母那麼愛你的人都覺得愛不下去,你內心裡面那時候真的在渴求的是什麼?
456.323	458.965	唉唷這是一個很難的問題。
458.965	460.686	我覺得是接納。
460.686	463.428	我在那時候自己很怕唸書。
463.428	466.070	然後為什麼會一直很想要逃出家。
466.070	467.831	就是尋求一個歸屬吧。
467.831	469.072	就是不管逃到哪裡。
469.072	469.953	逃到朋友那邊。
469.953	471.594	然後逃到教堂。
471.594	472.875	就是想要一個接納感。
472.875	475.297	就是覺得好像在家裡怎麼樣都不對。
475.297	477.758	然後做什麼都會被唸啊。
477.758	479.059	然後什麼什麼的。
479.059	483.242	好像父母不是因為我做了什麼才真的愛我。
483.242	490.470	而是 我即便不做什麼他也愛我的那個感覺我有沒有得到?
490.470	507.198	就是無條件的接納一個不管自己在掙扎當中或許不太可愛可是我希望你們能夠接納我能夠愛我但我同時也知道就是很難 所以當我長大的時候,回過頭的時候,我是很感恩的。
507.198	512.802	其實父母做了很難的事情。
512.802	518.086	所以我們體會到有人對我們這麼的接納跟不放棄。
518.086	522.750	然後其實自己在掙扎當中,其實很希望說有人了解我們的感受。
523.166	528.270	那在過程當中有時候﹐自己也不太愛自己﹐更何況別人怎麼懂得愛我們呢?
528.270	535.556	但是我們看見是﹐在教會的神的愛裡面﹐好像多了一些這種接納﹐透過父母接納我們。
535.556	541.521	那我看見的是﹐在永約的家庭裡面﹐也很深的接納。
541.521	546.705	那你要不要﹐對﹐如何變得這麼帥﹐有自信的關鍵?
546.705	547.746	跟我們聊一下。
547.746	549.947	我覺得今天這個主題﹐我們不一樣。
550.828	553.310	我想講的是,神跟我很不一樣。
553.310	558.012	很多不一樣的地方都讓我很震驚,然後很被祂吸引。
558.012	565.997	像剛剛很常講的,神的愛都是主動的,然後也沒有條件,也不會有待任何選擇。
565.997	573.242	就不會因為你長得比較帥,唱歌比較好聽,或者是有什麼條件,祂才多愛你一點。
573.242	580.143	祂愛我們每個人,然後也都 給我們每個人機會﹐可以來回應祂﹐成為祂的兒女。
580.143	588.165	我覺得﹐後面那一點很重要﹐就是祂沒有強迫你﹐祂沒有硬要你說﹐你一定要來回應我的護照﹐回應我的愛。
588.165	610.542	所以我覺得﹐這個很誇張﹐因為我不知道大家有沒有下過象棋﹐我二三年級的時候﹐很喜歡下象棋﹐就是在班上﹐然後會常常下﹐但是有時候就沒有人跟我下﹐所以我就只好﹐左手跟右手自己下﹐ 我每次左手跟右手下都是右手贏。
610.542	615.166	因為我是右撇子,我也不知道為什麼右手就特別想贏。
615.166	619.790	所以我覺得我們人都是沒辦法做到絕對的公平、公正。
619.790	623.093	但是我覺得神就是可以。
623.093	631.080	對,我覺得在踴躍在面對大考、面對挑戰壓力的時候,很深的一種安全感在你的心裡面。
631.510	636.212	然後也很清楚感受到﹐上帝主動的﹐托住你﹐愛你。
