start	end	text
4.275	5.955	弟兄姊妹平安，我們一起來思想。
5.955	7.896	《尼西米記》第一章。
7.896	11.616	《尼西米記》是屬於舊約歷史書。
11.616	17.017	舊約聖經是這樣,創出立名聲,它叫做摩西五經。
17.017	23.959	然後接下來呢,書士德薩薩王王代代拉尼斯。
23.959	26.179	這十二卷叫歷史書。
26.179	29.740	《尼西米》就是屬於十二卷歷史書當中的一卷。
30.589	57.878	那尼西米記的作者是尼西米尼西米的意思呢是這個耶和華的安慰那這個祂的時代呢是在祖前445年的時候祂回到耶路撒冷然後重新帶領百姓建造耶路撒冷的城牆 那個時代是波斯帝國統治的時候。
57.878	61.640	然後那時候的皇帝是雅達薛熙王一世。
61.640	65.502	雅達薛熙王一世統治波斯帝國41年。
65.502	68.443	歷史很長。
68.443	72.185	在中國的年代大概是春秋戰國的時代。
72.185	77.048	大概是孔子剛過世之後差不多20年左右。
77.048	79.369	那我們就來看尼西米基第一章的第一節。
80.725	85.429	哈加利亞的兒子尼西米的言語如下。
85.429	88.151	尼西米的父親叫做哈加利亞。
88.151	92.095	他的意思是耶和華是隱藏。
92.095	96.959	非常能夠生動的描寫那一段的時間。
96.959	100.763	在尼西米的父親的時代,好像耶和華是隱藏的。
101.323	155.681	看不到這個猶太人他們在祖前538年在索羅巴伯的帶領之下他們回到了這個從貝魯之地回到了耶路撒冷 好不容易在祖前五百一十六年也就是二十幾年之後終於把聖殿重新建造起來但是聖殿建造起來之後呢隔了好長一段時間耶路撒冷的城牆一直沒有辦法被建造起來因此耶路撒冷的百姓就常常被附近的這些外族所侵略、所欺壓基本上我們記憶一個年代是這樣子 耶路撒冷呢,他在祖前586年的時候,被巴比倫的尼布賈尼撒王所毀滅。
155.681	161.644	但是呢,經過了70年之後,聖殿重新被建立起來。
161.644	168.029	因為到70年之後,是波斯, 帝國取代了巴比倫帝國。
168.029	172.954	巴比倫帝國是一個短命的王國,只有八十幾年的歷史。
172.954	185.266	那波斯帝國上臺之後,他就採取宗教寬容政策,就釋放一些這些以前巴比倫從世界各地俘入來的百姓,放他們回去。
185.606	191.332	也鼓勵他們重新建造自己的信仰、宗教系統。
