start	end	text
19.053	82.376	弟兄姊妹平安，我們繼續按照每日言經事義的進度繼續來思想希伯來書第三章的第七節到最後希伯來書他的架構常常是來表達一段基督的超越性例如說第一章就表達了基督超越先知基督超越天使然後接下來他就會插一段警告和提醒 那第三章這邊講到一開始講到基督超越摩西所以接下來他一定會插入一段警告免得我們就是滅亡因為他會講就是說在舊約的時候神透過還不如基督來的高也不如基督所帶來的這個啟示完整的時代人違背了這個神在舊約時候的 吩咐跟啟示,這個尚且都要被定罪,都要滅亡。
82.376	91.705	更何況現在基督道成若生,完成了救恩,復活升天,現在坐在父神的右邊,同管萬有。
91.705	95.289	然後成就了這麼偉大的救恩,這麼清楚的救恩。
95.289	106.027	我們如果還糟蹋這個救恩,拒絕這個救恩, 那我們肯定一定會遭遇遭受到神最大的憤怒。
106.027	107.627	審判而滅亡。
107.627	110.409	所以真的是不得不被提醒。
110.409	112.990	那我們現在來看一下這邊作者的提醒。
112.990	115.531	第七節,聖靈有話說。
115.531	119.773	接下來他就引用詩篇95篇7到11節。
119.773	129.217	你們今日若聽他的話,就不可硬著心,像在曠野惹他發怒,試探他的時候一樣。
130.742	160.224	這段話裡面有幾個重點我們要留意第一個作者強調今日你要把握今日把握現在你聽到神對你所說的救恩把握現在你所接受到的提醒你的話語你要把握你要正確的回應 神給你的信息,包含耶穌基督給你的福音救恩,以及包含聖靈現在給你的光照跟糾正。
160.224	165.048	所以你們今日若聽祂的話,就不可硬著心。
165.048	172.394	基本上硬著心,這在這個摩西五經裡面,主要是在指法老硬著心。
172.394	177.638	法老十次心剛硬,所以最後難逃上帝嚴厲的審判。
178.439	211.038	所以你們不可像法老一樣硬著心在曠野的時候不斷的惹神發怒而且不斷的試探神第九節在那裡就是在曠野的時候你們的祖宗試我探我並且觀看我的作為有四十年之久所以我厭煩那世代的人說他們心裡時常迷糊竟不曉得我的作為這邊談到就是說 摩西向神的全家敬忠。
211.038	213.082	在第三章的上半段。
213.082	216.889	摩西诚然向神的全家敬忠。
216.889	218.532	耶稣也向父神敬忠。
219.616	251.555	但是耶穌祂會得著的榮耀會遠遠超過摩西因為摩西他不過是受造的人而耶穌基督祂是神的兒子祂是創造摩西的創造主祂也是救贖摩西的救贖主摩西是神家裡面的仆人但是神的兒子耶穌基督卻是治理這個家的主人 所以他們還是有差別的。
