start	end	text
16.340	24.928	信仰使命團我們的創辦人他1956年,禱告的時候他看到一個意象,他看到世界的地圖。
24.928	27.430	那這個地圖好像有很多浪。
27.430	30.272	那這些浪,這些wave,就變成年輕人。
30.272	35.897	說這些年輕人他們是從各國到各國,從每一個地方到每一個地方。
35.897	40.781	所以他說他覺得神給他這個感動,他要拆派年輕人成為宣教士。
41.954	46.615	1982年有一個短圈隊,他們是從美國。
46.615	50.397	他們知道其實臺灣那個時候基督徒的比例很低。
50.397	53.978	就想給他們一個感動,所以要來到這個地方。
53.978	61.720	我們在臺灣的工作主要我們有三個大領域,傳福音、訓練和詞彙。
78.234	80.477	Rose,她是一個美國人。
80.477	84.382	她好像從小就是對華人有一個負擔。
84.382	88.828	所以她來到臺灣學語言,然後去彰化這個地方。
88.828	91.331	因為她知道那個地方的基督徒很少。
91.800	98.623	我覺得在彰化最困難最難的就是他們比較習慣用臺語。
98.623	105.507	那外國人學臺語有比較難一點,所以我們沒辦法跟阿公阿嬤真的傳福音。
105.507	111.930	後來我學到一點的臺語,因為每天他們都會跟我說臺語,所以一定學到一點點。
112.790	117.154	在那麼鄉下的地方,我會看他們每天去拜拜。
117.154	122.139	所以我覺得,哇,他們真的不認識上帝的平安。
122.139	125.703	我最大的感動,就是上帝真的愛臺灣人。
127.039	134.307	我們所有的外國同工,這個共同點是希望看到華人能夠信主,臺灣人能夠認識神。
134.307	143.196	但是另外一個是我們也相信神祂要興起臺灣人,我們相信神祂要使用華人來成為全世界的祝福。
147.108	154.373	在每一個世代當中,我覺得都應該要有基督徒來做宣教這件事情。
154.373	162.418	然後我們都有責任跟義務要把這個福音這個好消息傳到世界的地基。
162.418	168.883	我覺得臺灣人我們也有這樣子的使命是能夠出去把福音廣傳到神要我們廣傳的地方。
171.138	181.781	臺灣也可以出來宣教,所以我們可以去很多地方,然後帶出跨文化,然後讓大家知道說,宣教是勇於常識,順服神,然後就可以一起在宣教這個使命當中。
187.602	192.365	金門的事工可以說這個是神真的有回應我們的禱告。
192.365	193.286	禱告很久了。
193.286	198.050	因為我們很開心的看到外國宣教士來到臺灣。
198.050	203.353	但是更開心的是看到臺灣人被刑期成為宣教士。
203.353	207.897	所以在金門有一個團隊,他們全部都是臺灣人。
207.897	212.240	然後他們有意向來得找金門人。
212.240	215.002	因為那個地方的基督徒也是很少。
216.869	218.749	因為這邊常住人口是六萬。
218.749	221.230	但是基督徒就是四、五百個人。
221.230	223.110	就是低於1%。
223.110	225.411	教會這邊沒有很多。
225.411	231.332	在我們來之前﹐大家都告訴我們這個地方﹐是一個屬靈徵戰很強﹐是一個印土。
231.332	234.453	這裡的傳統信仰很濃。
234.453	240.154	所以我們來到金門幾次之後﹐我就覺得這個地方是真的很需要福音﹐很需要我們來這邊服侍。
240.811	250.120	親愛的主耶穌,我們在這邊告告,主啊,我們要奉你主耶穌基督的聖靈來宣告,這個地方是你的居所。
250.120	260.729	你要我們的聖靈要常常的住在這裡, 神給我一個感動就是,要來服侍金門的人。
260.729	268.235	我覺得我可以做的就是,想要用敬拜的方式,然後用原住民的熱情來感染金門。
268.235	275.642	我覺得我的期待是說,讓青少青年的這個年紀的階段,他們就可以來認識神的話語。
275.642	281.747	然後看見說,信仰不是只是一個單純信仰而已,而是真的是一個生活。
281.747	284.069	渴望看見金門是真的被復興。
284.770	289.535	撒布、艾維娜他們也是一個剛結婚的一對夫妻。
289.535	296.441	但是他們也是因為神給他們這個感動,他們願意離開他們的家人,去另外一個地方服侍神。
304.753	311.082	他們也有另外一個意象,他們也是想成為對岸大陸的一個祝福。
311.082	321.376	禱告的時候就有看見一個意象,就是它基本它是一個像蝴蝶,然後對岸那邊的人,然後就是很想要過來,因為這邊就是可能很吸引他們,有像天堂的感覺。
321.596	324.437	這個地方的地理位置非常的特別。
324.437	326.398	它就是在福建省裡面。
326.398	332.301	我們去到屋頂,我們就可以看到那個對岸的燈光啊,或者是它晚上的夜景。
332.301	336.062	我們會常常提醒自己,就是那裡才是我們的應許之地。
336.062	339.144	我們來了以後發現,其實莊稼真的成熟了。
339.804	344.209	我們看見就是教會開始合作,開始合一連結。
344.209	348.675	然後看見有許許多多的人,真的對這個土地開始有負擔。
348.675	351.578	所以我們發現這地方其實已經在動起來了。
358.148	363.953	我們相信,將來神祂會繼續興起更多的人,就可以像他們一樣。
363.953	369.117	耶穌祂自己在約翰福音15章,祂說,離了我,你什麼都不能做。
369.117	370.578	所以我們很需要禱告。
370.578	377.364	我們傳福音,我們所有的訓練,所有的課程,我們所做的事情,我們都需要神的恩膏。
377.364	381.367	我們每一個同工,我們每一個地方,每一個地點,都是憑著信心生活。
381.988	384.409	沒有任何人有收薪水。
384.409	393.692	所以如果有人有感動,想支持一個宣教士,或者想支持一個士工,很歡迎,很歡迎。
393.692	397.433	我們要看到更多的臺灣人能夠認識神。
397.433	402.074	在這個的同時,也希望可以看到更多的臺灣人說,我願意。
402.074	402.754	Yes,我願意。
402.754	408.156	我願意服侍神,我願意順服神,去完成這個大使命。
420.811	422.463	Answer the call.Go for God.
