start	end	text
18.439	24.362	臺灣姐妹平安，我們一起來思想彼得前書第三章的第十三節到十七節。
24.362	29.104	你們若是熱心行善，有誰害你們呢?
29.104	34.546	你們就是為義受苦，也是有福的。
34.546	58.286	其實在第二章的時候彼得就勸勉每一位弟兄姊妹在第二章十三節他說你們要為了主的緣故所以要順服人的一切制度 那十五節祂就說,因為神的旨意,原來就是要你們在這一切人的制度上行善。
58.286	66.209	這樣就可以堵住那一些糊塗無知,不信主的人,因為他們常常毀謗你們。
66.749	68.709	作惡。
68.709	107.872	所以就可以因為你們願意在這個人的一切制度上有好品性能夠行善就可以堵住那一些在人的制度上毀謗你們說你們是作惡的人他們的口這是很寶貴的其實在第三章彼得也勸明我們例如說面對不信主的丈夫不是你的言語 所以你們若是熱心行善,在一切的制度裡面盡好本分,有美好的見證,有好的品性,有誰能害你們呢?
124.309	129.651	就沒有人可以誣賴你們,或是用各種藉口逼迫你們的信仰。
130.828	140.232	但是我們也知道一件事情,這些設立制度的人,他們常常就是違反這些制度的掌權者。
140.232	155.518	他們會因為我們堅持神所教導我們的真理,雖然我們在一切的人的制度上,我們真的循規蹈矩,但是他們仍然會因為我們信仰的緣故,我們跟他不一樣,我們堅持神教我們的真理。
155.998	159.461	甚至不願意跟他們一起去作惡。
159.461	162.823	他們反而會對我們有逼迫。
162.823	169.249	因此第十四節,你們就是為義受苦,也是有福的。
169.249	177.936	原文的一開始加了一個但是,也就是說十三節說,你們若是熱心行善,有誰害你們呢?
177.936	184.401	十四節,但是,就算你們熱心行善,還是有人要害你們。
185.009	188.497	那你們就是為義受苦。
188.497	191.183	那這也是有福的。
191.183	192.627	這是彼得他的論點。
193.473	227.756	我們一方面要求我們自己在這個世界上做光做眼有好榜樣好品性、好行為叫那些毀謗我們的人沒有藉口可以誣賴我們但是呢就算我們這樣做了他們還是排擠我們、欺負我們或是霸凌我們彼得說沒關係那這樣你們就是為義受苦你們是為了主的緣故不僅是持守真理 也認真的來遵行,做一個公民的責任。
227.756	230.997	那還受到逼迫,那你們就是為義受苦。
230.997	232.138	這也是怎麼樣?
232.138	233.158	有福的。
233.158	239.620	因為上帝願納、稱讚,你們在祂面前,持守真理的表現。
239.620	246.682	接下來彼得呢,他就引用了以賽亞書第8章12節13節的經文。
246.682	260.912	他是用這個74億本的以賽亞書第8章12節, 不要怕人的威嚇,也不要驚慌,只要心裡尊主基督為聖。
260.912	266.157	我們可以看一下我們熟悉的舊約的這一段。
266.698	308.716	以色列書第8章12、13節因為彼得他這邊所引用的其實是譯本就是希伯來文舊約聖經的希臘文譯本在翻譯的時候會有一點點意思上有一點潤世調整所以會跟我們讀的舊約會有一點不一樣但意思是差不多的以色列書第8章12、13節他說這百姓說同謀背叛你們不要說同謀背叛不要跟他們同流合污他們所怕的 也就是說,以賽亞書那邊勸勉神的百姓,要怕所當怕的。
308.716	319.501	你要怕對對象,你不要怕人,也不要怕人的惡謀。
319.501	322.643	你要真正要怕的、要敬畏的是,你不要得罪神。
323.353	333.938	所以這邊就是說,寧可不得罪神,以至於惡人的威嚇驚嚇你。
333.938	338.941	但是你只要知道,你不得罪神,尊主為大。
338.941	342.563	彼得在這邊把尊耶和華為聖改成怎麼樣?
342.563	344.164	先禮尊主基督為聖。
344.804	351.149	所以就是我們的良心要對得起神,我們要對神負責。
351.149	355.413	神才是我們真正最該最該最該敬畏的那一位。
355.413	360.397	我們常常怕這個世界上的人事物,怕東怕西,就是不怕神。
361.271	363.872	這真是完全本末倒置。
363.872	370.255	經文繼續說,有人問你們心中盼望的緣由,就要常做準備。
370.255	383.100	也就是說,如果有人真的說,奇怪你們這些基督徒,你們真的很敬畏你們的主基督,你們尊神為聖,以至於你們堅持不做違背你們真理的事。
383.660	398.196	雖然你們在很多的世界上的事真的是循規蹈矩可是因為你們為了信仰的緣故你們常常無故的就是被排擠甚至被欺負和受逼迫所以有人就會問說你們為什麼願意這樣呢?
398.196	402.121	你們心中到底是有什麼樣的一個盼望呢?
402.121	407.224	以至於你們 雖然遇到這樣的事,竟然還可以有喜樂。
407.224	408.885	是怎麼一回事呢?
408.885	412.087	所以你們就要為此常做準備。
412.087	416.569	因為真的有人會問你們,為什麼你們如此的不同?
416.569	421.172	那這時候就要以溫柔敬畏的心來回答個人。
421.732	443.313	原文這邊又加上了一個但是但是要以溫柔敬畏的心回答個人也就是說有人問你為什麼要這樣堅持信仰你要常做預備回答別人但是你回答的態度 要正確,不是很驕傲,或是很狂妄。
443.313	449.675	他說,但是要以溫柔,對人溫和柔順。
449.675	453.716	很溫柔,不是帶著驕傲來回答。
453.716	454.636	然後第二個怎麼樣?
454.636	459.078	要以敬畏神的心,就是把歸榮耀給神。
459.718	461.218	敬畏神的心。
461.218	466.420	告訴別人為什麼你寧可被排擠、被逼迫、被傷害。
466.420	471.162	你仍然要持守真理,因為你心裡面敬畏神。
471.162	474.603	也要告訴他們說,大家要怕所當怕的。
475.794	491.261	16節,就存著無愧的良心,叫你們在合適上被毀謗,就在合適上可以叫那誣賴你們在基督裡有好品性的人自絕羞愧。
491.261	493.542	這就是彼得他的結論。
493.542	509.220	所以要存著這個無愧的良心,一方面在人一切的制度上,只要他不是違背真理的,你就做好榜樣,有好品性, 不要讓人找到你的把柄,誣賴你犯罪、作惡。
509.220	525.965	第二個就是,當你有這樣的一個堅持,有這樣的好的品性、好的見證榜樣的時候,人家看見你因此而受逼迫、受害,還要堅持你的原則,就會來問你,你為什麼會這樣?
525.965	528.786	你就要回答,他因為你敬畏神。
529.326	537.153	那這樣的話呢,會叫我們在什麼事情上被人家無理由的 無理的來毀謗。
537.153	547.100	當別人這樣子來詢問我們的時候,我們就在和事上,可以叫那些誣賴你們在基督裡有好品性的人,自覺怎麼樣?
547.100	547.300	羞愧。
547.300	564.892	所以弟兄姊妹,不是我們故意要用我們的信仰去使人羞愧,而是當他們明明是一個逼迫我們的人,不瞭解我們的人,誤解我們的人,甚至傷害我們的人,他們發現我們不以這個世界上的標準以惡報惡。
565.572	574.089	反而是溫柔忍耐,為背起自己的十字架,陪他人多走一里路,來受苦。
574.089	578.437	他們會問你的, 彼得不斷提醒我們一件事情,受苦有兩種。
600.316	605.999	一種是行善而受苦,一種是行惡而受苦。
605.999	614.724	行惡受苦就是在人的一切制度上,你不僅沒有因為你是基督徒,你比別人有更好的品性表現。
614.724	622.969	你反而跟別人一樣去犯罪、邪惡、嫉妒、說別人的閒言閒語、做壞事。
622.969	629.655	甚至有時候基督徒, 祂做的比不信主的人還要更糟糕。
629.655	632.939	那這個你就會行惡而受苦。
632.939	635.721	你會受到兩種苦。
635.721	637.163	甚至是三種苦。
637.163	639.706	一種是你犯這個罪。
639.706	641.567	你本身會產生的苦果。
642.108	648.671	第二個,你犯這個罪,你會面對法律的制裁,或道德律的制裁。
648.671	652.412	第三個是,你會面對上帝的審判。
652.412	658.134	但是如果你受苦不是因為行惡,而是因為行善受苦。
658.134	662.096	對人來講,你是行善而受苦。
662.096	667.018	對神來講,你是為義而受苦。
667.018	671.450	彼得說,這樣的受苦, 才是有意義的。
671.450	677.595	而為自己作惡所受的苦,那種苦,對你生命沒有任何的建造。
677.595	681.238	但是為義而受苦,反而要被神稱讚。
681.238	686.562	所以呢,我們要去分辨,到底我們常常受苦,是受哪一種苦呢?
686.562	688.263	我們一起來禱告。
688.263	698.672	主,我們讚美祢,願我們就是常常的知道自己是神在這個世界上的代表人,是神光明的兒女。
699.172	706.879	主,願我們不論在面對人,面對神,我們都有見證,有榜樣。
706.879	711.864	我們的良心對得起人,對得起社會上一切的制度。
711.864	718.850	我們的良心更是因敬畏神而在主的面前行義,堅持真理的教導。
719.531	729.262	主,就算我們因此而受苦,我們也被覺甘甜,因為知道我們對得起神,我們必得著神的稱讚。
729.262	738.984	有一天,別人也會好奇,想來瞭解我們,到底為什麼願意這樣來承擔, 願意這樣背起自己的十字架的時候。
738.984	740.784	我們就預備好我們自己。
740.784	743.765	用柔順敬畏神的心。
743.765	745.145	來回答祂們。
745.145	747.005	並把榮耀歸給神。
747.005	748.706	奉主耶穌的名祷告。
748.706	749.566	阿們。
749.566	750.806	願神賜福大家。
