start	end	text
18.626	23.168	各位姊妹平安，我們一起來思想,彼得前書第三章一到七節。
23.168	28.251	第一節,你們做妻子的,要順服自己的丈夫。
28.251	35.255	在原文它的開頭是同樣的,你們做妻子的,要順服自己的丈夫。
35.255	37.356	為什麼講同樣的呢?
37.356	42.919	因為在第二章的下半段,整個的彼得勸勉的主題都在講順服。
45.026	105.083	我們面對執政者、面對主人在合理、合情的時候我們就順服上帝這樣的安排來順服他們的權柄但如果他們是不合情、不合理的對待我們甚至是逼迫我們的時候彼得勸勉弟兄姊妹要效法耶穌基督的榜樣在二章的23節彼得說基督祂被罵不還口 因此第三章一開始彼得繼續勸勉所以同樣的你們做妻子的也要順服自己的丈夫這樣若有不信從道理指的就是不信從救恩道理的丈夫他們雖然不聽道 原文沒有,他們雖然不聽到。
105.083	108.706	這是中文為了讓意思更順暢一點加進去的。
108.706	118.494	所以,妻子若有不信從道理的丈夫,也可以因為妻子的品性被感化過來。
118.494	123.498	品性指的是妻子的言行舉止。
123.498	129.363	這一小段的原文,其實翻譯上可以再把它翻得更好。
130.009	146.702	它是說﹐若有不信從道理的丈夫﹐可以藉著妻子的行事為人﹐而非藉著道理﹐或是說藉著言語﹐而讓你的丈夫得到益處。
146.702	154.128	很多時候﹐我們為了讓自己的丈夫妻子﹐能夠趕快信主﹐所以我們就急了。
154.991	166.756	言語行為也讓不信主的家人感受不到生命的改變和生命的見證,這就無法使他們得到真正的益處。
166.756	176.901	所以彼得說,他們雖然現在不信主,但是藉著你們的好行為,而非藉著你的道理或言語。
177.944	190.513	甚至是藉著你現在所傳的福音,他們暫時還不信,但卻可以因著你的行事為人,生命的改變,他們會得到益處。
190.513	192.354	什麼叫得到益處呢?
192.354	198.879	他們會看見你真正生命有改變,他就會想說,神好像真的可以改變人的生命。
199.889	206.794	他就會去思考,那自己是不是也要來尋求神的帶領跟幫助。
206.794	210.697	這樣他就能夠得到真正生命的益處。
210.697	219.974	第二節,這正是因為看見你們有貞潔的品性, 貞潔的品性,原文就是純潔的行事為人。
219.974	225.115	良心對得起神,良心對得起人。
225.115	240.258	而且順服神在夫妻之間的次序,或是夫妻之間相處模式,神對這個事情是有教導的,是有看法的。
240.258	248.241	所以正是因為丈夫看見你有一個貞潔的品性和敬畏的心, 他們就會得著益處。
248.241	301.532	第三節,所以彼得勸他們,你們不要以外面的變頭髮,就是把頭髮綁漂亮的辮子,然後戴金飾,穿金戴銀,還有穿美麗的衣服為裝飾,不要以這些外面的打扮, 來作為裝飾來服侍你的丈夫或取悅你的丈夫當然不是叫我們基督徒父女都要弄得髒兮兮很邋遢讓丈夫討厭當然不是這個意思第四節彼得說反而是要以裡面存著長久溫柔安靜的心為裝飾來服侍丈夫那這也是在神面前被神看為是極寶貴的 第四節這邊,其實它的希臘文是非常優美,而且是非常深邃的。
301.532	304.173	我們來看它原文的直譯。
304.173	325.059	它的意思是說,我們不要以外面這些來作為裝飾,來服侍我們的丈夫,而是要以隱藏在心的裡面的人,而是要以隱藏在溫柔安靜的靈裡面的不朽,來作為裝飾。
326.067	332.013	那這才能夠真正的服侍到你的丈夫,也能夠服侍到上帝。
332.013	340.563	這在神面前是看為極寶貴,有價值的,而不是那些穿金戴銀,打扮得漂漂亮亮。
340.563	349.728	第五節,因為古時仰賴神的聖潔婦人, 正是以此為裝飾,順服自己的丈夫。
349.728	353.149	第六節,彼得就要舉例子了。
353.149	359.670	就如撒拉是聽從亞伯拉罕,稱他的丈夫為主。
359.670	363.931	這個是在《創世紀》第18章12節。
363.931	373.773	那時候神告訴亞伯拉罕,你雖然已經很老了,但是明年這個時候,你的妻子撒拉要為你生一個兒子。
374.684	378.588	然後,祂就是你真正的繼承人。
378.588	392.181	撒拉也聽見了,但是他心裡想說,我都這麼老了,月經也停了,我祖也已經老邁,所以他稱他的丈夫亞伯拉罕為他的祖。
392.181	394.163	所以他想說,這怎麼可能呢?
395.247	402.131	可是呢,他的丈夫亞伯拉罕,卻真的相信神所應許的一定會成就。
402.131	405.733	所以呢,他就一定要付出行動。
405.733	409.095	所以他就需要跟他的妻子撒拉行房。
409.095	415.419	那他的妻子就要順服、順從他丈夫的要求。
415.419	420.822	對不對,雖然他可能不一定很相信這件事一定會成就。
420.822	426.338	但是他的丈夫相信, 那祂就是順福,祂就配合。
426.338	430.138	所以後來就真的一年後,祂就生了以撒。
430.138	431.979	這就是一個很好例子。
431.979	446.321	當然有時候,這個丈夫,如果他不是像剛剛這樣子,合情合理,甚至是很有信心的,以討神喜悅的方式來對待妻子,那妻子還要不要順福呢?
446.321	454.617	妻子如果要選擇順福,不是以惡報惡,以牙還牙, 那妻子會受苦喔?
454.617	457.718	那就回到第二章下半段的主題。
457.718	468.501	彼得勸我們,那就像基督一樣的受苦,把一切的事情交託給那按公義審判人的上帝來出手吧。
468.501	483.223	我們知道到後來,到《創世紀》20章的時候,這位原本很有信心的丈夫亞伯拉罕, 忽然變得很軟弱,彷彿變得自己是那位不信從道理的丈夫了。
483.223	487.767	他因為害怕雅比米勒王,看見自己的太太。
487.767	495.573	我們不知道為什麼莎拉已經89歲了,還看起來這麼的有吸引力。
495.573	503.987	所以這個老公, 亞伯拉罕很害怕,國王會殺了他,把他的妻子搶走。
503.987	511.609	所以他能拜託薩拉說,你就在外面稱呼我為哥哥,我叫你做妹妹就好了。
511.609	516.550	不要叫我丈夫,免得他們把我殺了,來把你搶走。
516.550	522.492	後來雅比米勒王想說,既然他是你的妹妹,那就嫁給我吧。
522.492	523.672	就把他奪走了。
524.497	531.983	所以這個莎拉呢,她面對這位那個時候看起來是不信從道理的丈夫。
531.983	532.944	她選擇怎麼樣?
532.944	536.968	她選擇因信從主。
536.968	541.652	因為她相信她真的會懷一個孩子叫以撒。
541.652	544.054	她因為信從主。
544.054	546.996	雖然環境這麼惡劣,她被別的男人搶走了。
546.996	551.861	她就把自己的事情交給這位公義審判人的上帝。
551.861	552.161	結果呢?
552.739	557.240	祂的丈夫無能,不能拯救祂,但祂的上帝卻拯救了祂。
557.240	569.603	神出手了,把祂這個完整無缺的,也沒有被亞比米勒玷污的情形之下,把祂救回來了,送回到亞伯拉罕的身邊。
569.603	576.364	所以祂說,你們若行善,不因恐嚇而害怕,便是撒拉的女兒了。
576.364	577.624	什麼叫行善?
577.624	580.125	就是順服主,順服主的安排。
581.084	589.015	就算你遭到錯誤的對待,你就把你的事情交給神,讓神為你出手。
589.015	598.107	那你們若行善,原本是就不被任何恐嚇、驚嚇,便是撒拉的女兒了。
599.155	604.157	你說沙拉那時候,被亞比米勒抓走,會不會恐嚇驚嚇?
604.157	605.817	會呀。
605.817	610.559	她也可以說,不是不是,我是她妻子,我不是她妹妹。
610.559	616.061	這樣她就不會被抓走,可是可能會換來她的丈夫被殺。
616.061	620.302	她有種種考量,但她選擇就是把這個事交給神。
620.302	624.784	所以即便她面對的環境這麼可怕,她仍然怎麼樣?
624.784	627.105	不被任何恐嚇驚嚇。
628.114	630.435	最後神出手拯救他。
630.435	635.338	我們如果願意這樣效法,便是撒拉的女兒了。
635.338	636.678	我們繼續往下看。
636.678	643.162	你們做丈夫的,也要按情理和妻子同住。
643.162	648.725	其實這邊也要按,這個原文就是同樣的。
648.725	650.666	所以都要講順服。
650.666	656.989	妻子同樣的,你要效法基督,順服上帝安排給你的丈夫。
