start	end	text
2.671	5.433	我們看第二句,祂講什麼起來讀。
5.433	7.394	第十節,預備,來。
7.394	15.400	願祢的國降臨,願祢的旨意行在地上,如同行在天上。
15.400	21.364	來到父親的面前,最重要的事情,是你的事情還是父親的事情。
21.364	30.150	我跟各位分享,當你真的來到父親的面前的時候,基本上,你的事情已經變成父親的事情了。
32.671	39.335	因為一切你們所需用的﹐你們的父﹐早已知道。
39.335	42.017	你沒說﹐他也知道啦。
42.017	42.638	你懂意思嗎?
42.638	45.880	你沒講﹐他都看在眼﹐他都知道。
45.880	51.263	我們只是說﹐來到父的面前的時候﹐把我們自己的這些事情的主權怎麼樣?
51.263	52.124	交給父神。
52.124	54.625	所以我們的事變成怎麼樣?
54.625	55.906	神的事情了。
55.906	57.828	變成我爸爸的事情了。
57.828	60.389	變成我的爸爸要帶著我一起處理的事情。
60.389	60.810	這個懂嗎?
61.749	64.311	所以來到婦人面前很重要。
64.311	66.332	聰明的人這個要學起來。
66.332	69.254	你要讓你的事情成為你父親的事情。
69.254	72.016	你要把這事情的主導權交出來。
72.016	73.737	你不要自己在那邊弄。
73.737	75.779	是,你真的搞得很糟。
75.779	76.760	沒錯!
76.760	78.761	你不要再自己處理了。
78.761	81.623	你交出來,把主導權交出來。
81.623	83.724	交給父親。
83.724	86.486	讓父親帶你去處理。
86.486	89.228	這個事情就從你的事情變成什麼事情?
89.228	90.689	父親的事情。
90.689	93.661	所以這個東西, 不要急著禱告。
93.661	96.143	這個東西放後面一點。
96.143	97.805	那現在到底要幹嘛?
97.805	100.367	跟父親泡茶喝咖啡嗎?
100.367	100.707	沒有。
100.707	104.030	就代表你不夠認識你的父親。
104.030	107.833	你父親他整個他最重要的一件事情。
107.833	109.794	這是很奇妙的交換。
109.794	115.539	當你把你的事情變成你父親的事情的時候,同時間你父親的事情就變成你的事情了。
118.046	125.028	如果我們當中有人明白這句話他將完全改變你的人生。
125.028	137.712	這麼多年來我真的覺得很感恩的一件事情就是我不斷的讓我的事情變成父親的事情而同時又讓父親的事情變成我的事情。
137.712	141.353	這個是一件非常奇妙的事情。
141.353	146.095	當我們讓父親的事情變我們事情的時候父親會讓我們明白他的事情是什麼。
146.800	150.082	他的事情最重要就是一件而已。
150.082	153.064	真的,整個說起來,他最重要就是一件事情。
153.064	157.907	就是他的國要降臨。
157.907	161.369	對父親來講,這就是父親最重要的一件事情。
161.369	164.251	他的國要降臨在這個地上。
165.469	175.834	所以才說,願祢的國降臨,願祢的旨意行在地上,如同行在天上。
175.834	180.516	弟兄姊妹,神的國到底是什麼東西?
180.516	183.617	有沒有人知道什麼是神的國?
183.617	193.802	國這個字其實Basilea這個字更好的翻譯就是說王權,就是神的統治,神的治理。
195.094	202.715	神啊,願祢的治理臨到這個世界,臨到我的家中,臨到我的身體。
202.715	216.698	神啊,願祢王的權柄,王的治理,王的權柄能力,臨到我的身體,臨到我的家中,臨到我的公司,臨到我的教會,臨到我的國家社會。
216.698	223.819	這個是耶穌告訴我們說,來到父面前的時候,要最在意的事情是有關於神的國的事情。
225.691	226.751	我們要禱告一件事情。
226.751	230.573	主啊,願你的國降臨。
230.573	233.654	看你這首感動是說降臨在哪裡。
233.654	235.554	你懂意思嗎?
235.554	236.635	降臨在哪裡。
236.635	242.977	然後呢,讓你在天上的旨意,能夠運行在怎麼樣?
242.977	246.038	地上暢行無阻。
246.038	250.480	讓你這個國王的王權,完全可以怎麼樣?
250.480	252.300	彰顯出來。
252.300	254.541	這個就是我們每天要禱告的事情。
255.469	258.933	這可能完全改變你對禱告的印象。
258.933	288.723	因為只有在這個時候, 你才明白一件事情就是原來你生活中大部分應該要去禱告跟關心和實踐的事情是有關於神的國的事情神的國在地上彰顯的事情神的國在地上運行的事情你自然就會看見福音的大能我們上次講過認識什麼是福音有三件事情第一個就是進入福音的管道 第二個是認識福音的本質。
288.723	290.725	第三個是彰顯福音的大能。
290.725	291.746	阿們。
291.746	293.208	進入福音管道包含什麼?
293.208	294.349	因信稱義。
294.349	296.891	耶穌基督十字架上的救恩。
296.891	299.153	這使我們能夠怎麼樣?
299.153	300.895	有一條路可以進去。
300.895	302.616	你沒有這個你就進不去。
302.616	305.579	因此我們說這是進入福音的管道。
306.544	310.526	可是我們常常把進入福音的管道,就當作是福音的全部。
310.526	311.486	不是的。
311.486	313.947	它只是進入福音的管道。
