start	end	text
18.387	23.299	弟兄姊妹平安，我們繼續按照每日嚴經事宜的進度一起來思想。
23.299	25.304	薩摩爾記上第17章的1到37節。
27.363	40.411	非利士人召聚他們的軍旅,要來征戰,聚集在屬猶大的梭哥,安營在梭哥和雅西家中間的以弗大明。
40.411	45.554	為什麼非利士人又可以來攻打侵略以色列人呢?
45.554	48.016	因為掃羅已經被神棄絕了。
48.831	75.387	這個又沒有領袖了這個國家又陷入混亂了所以神就任憑菲律師人來攻打他們好像又回到世事記的那種循環裡面 那說戈呢,以及剛所談到的這些地名,就在今天所謂的以拉谷這個地區,大概在大衛的家鄉伯利恆以西,大概22公里。
75.387	83.933	那他的地形比較屬於就是,以色列人是屬於住在山地地區,非利士人是比較屬於住在沿海平原。
84.616	165.442	那以拉谷他所在的那一種地形叫做是非拉也就是屬於丘陵地形在山地跟平原當中的丘陵地形那就是傳統上以色列人跟非力士人的邊界地區第二節,掃羅和以色列人也聚集在以拉谷安營以拉谷原文的意思是橡樹的山谷那個橡樹的山谷 然後百列隊伍要與非利士人打仗非利士人站在這邊山上而以色列人站在那邊山上當中有這個谷就是一個溪谷但這個溪谷呢如果是乾旱期它就沒有水就變成一個比較低窪的地方 從菲律賜營中出來一個討戰的人就是出來校正的勇士古代打仗都是這樣兩方先出來一個勇士然後互相校正然後就開始對決這樣子他的名字叫做戈利亞是加特人加特就是這個屬於菲律賜五個城邦聯盟裡面的一個城邦那他是算是非常靠近以色列邊界的一個城邦 身高有六軸零一虎口。
165.442	169.463	換算神今天的單位大概將近三公尺高。
169.463	173.684	所以是非常可怕高大的巨人。
173.684	177.385	頭戴的銅盔身穿鎧甲。
177.385	181.906	然後這個鎧甲的重量有五千射克勒。
181.906	184.026	大概是五十七公斤。
184.026	186.307	接下來講他這些軍事裝備。
186.307	189.107	都是非常的在那時候是非常的先進。
189.107	190.868	而且是都是很重。
192.056	205.312	那祂的腿上有銅的護膝,兩個肩膀之中,後面背負著銅的這個戟,也是一種銅戟,也是一種武器。
205.312	232.407	然後祂的槍桿粗,很粗喔,如這個織布的積軸, 那光是這個鐵槍的那個頭重600色克的大概7公斤並且有一個拿盾牌的人在他前面行走作為也是一種保護戈利亞的一種防禦措施代表他的配備 以當時候來講,完全是最好的科技。
232.407	235.930	以色列人裡面,連像樣的武器都沒有。
235.930	244.177	因為良好的製鐵的科技、技術,是掌握在非利士人手中。
244.177	250.203	戈利亞就對著以色列的軍隊站立,呼叫說:「你們出來百列隊伍做什麼呢?
250.203	253.550	」 我不就是非力士人嗎?
253.550	255.951	你們不是掃羅的仆人嗎?
255.951	261.033	可以從你們中間拣選一個人來,使他下到我這裡來。
261.033	268.656	他說,你們不是出來擺陣,你們出來擺陣要跟我們對打,又不先派一個勇士跟我來對陣。
268.656	271.017	你們擺陣是在擺什麼陣?
271.937	279.582	所以祂是說,祂若能與我戰鬥,將我殺死,我們就做你們的仆人。
279.582	285.807	我若勝了祂,將祂殺死,你們就做我們的仆人,服侍我們。
285.807	294.833	那非利士人又說,我今日向以色列人的軍隊罵陣,你們叫一個人出來與我戰鬥。
294.833	299.325	第11節 以色列人這邊的反應是什麼?
299.325	306.818	騷羅和以色列眾人聽見非利士人的這些話,就驚慌,極其害怕。
306.818	309.563	就覺得根本打不過,所以就非常的害怕。
311.084	333.871	最重要也是因為這個耶和華的靈已經離開了這個扫羅所以基本上沒有神的同在根本就是感覺就是沒有勇氣也會必敗無疑這時候第12節大衛是猶大伯利恆的以法他人耶西的兒子 耶穌有八個兒子。
333.871	336.993	當掃羅的時候,耶穌已經老邁。
336.993	347.381	那耶穌祂的三個大兒子,就是祂的兒子當中的前三位,也跟隨著掃羅一起來出征,到這個以拉谷。
347.381	350.684	這次算是這個有點像這個全民總動員。
351.681	359.971	這出征的三個兒子,長子名叫以利亞,次子名叫亞比拿達,三子名叫沙馬。
