start	end	text
18.541	27.886	各位姊妹平安，我們按照每日年經事宜的進度,來到《薩摩爾記》上的最後一章,《薩摩爾記》上第31章。
27.886	33.049	今天我們要看見扫羅他最後悲慘的結局。
33.049	43.535	非利士人與以色列人征戰,以色列人在非利士人面前逃跑,在基利坡有被殺撲倒的。
43.535	53.077	因為神已經離開了扫羅, 因此沒有上帝為他們征戰,以色列人必然是大敗無疑。
53.077	60.904	因此呢,敵軍就衝入了在這個基利坡三角下的以色列的軍營。
60.904	64.907	因此呢,他們就在那邊,很多人被殺死。
64.907	74.555	第二節,非利士人就緊追著扫羅和他的兒子們,就殺了扫羅的兒子約納丹、雅比拿達、麥基蘇雅。
75.742	83.565	事派甚大,掃羅被弓箭手追上,射傷甚重。
83.565	91.549	果然應驗了之前薩默爾的預言,說你和你的兒子們都會陣亡。
91.549	98.012	所以第二節我們看見,大衛最好的朋友王子雲拿丹率先陣亡。
98.848	105.834	而掃羅王不斷被追殺,最後被弓箭手追上,射中了,傷勢很嚴重。
105.834	118.086	第四節,因此掃羅就吩咐拿他兵器的人說,你拔出刀來將我刺死,免得那些未受割離的人來刺我、連入我。
118.626	140.936	扫羅知道他傷重,已經逃不動了,因此他很害怕被非利士人俘虜,就要求在他身旁幫他拿兵器的少年人戰事,幫他了結掉,免得被這些未受隔離之人,代表是他們不敬畏耶和華的人,連入。
140.936	143.577	但拿兵器的人甚懼怕,不肯刺他。
144.497	172.910	因為沒有人敢殺耶和華的受膏者以色列人裡面他們都知道少羅不管他這個狀況是好是壞畢竟他還是耶和華的受膏者所以拿兵器的少年人不敢動手殺保羅所以少羅就自己伏在刀上死了 拿兵器的人見掃羅已死,也伏在刀上死了。
172.910	180.901	這樣,掃羅和他三個兒子與拿他兵器的人以及跟隨他的人都一同死亡。
182.193	184.874	這就是掃羅他的悲慘的結局。
184.874	210.059	掃羅他一開始是一個非常謙卑敬畏神的人,但後來慢慢的,他因為害怕百姓不把他放在眼裡,因此他就三番兩次的用他自己的小智慧小聰明,要來籠絡百姓的人心,認為這樣才可以鞏固他作為一個國王的王位。
210.759	221.383	薩摩爾就三番兩次責備他,你應該是要遵守耶和華的命令,因為是耶和華高你做王,你離了耶和華,你什麼也不是。
221.383	229.327	但是撒羅他聽不進去,因此就與薩摩爾與上帝見形見緣。
229.327	234.769	第七節,住平原那邊,並約旦河西的以色列人。
235.998	246.225	見以色列軍兵大敗逃跑,扫羅和他的兒子都死了,也就棄城逃跑,菲律斯人便來住在其中。
246.225	258.513	這場戰役是發生在耶穌平原,因此整個耶穌平原失守之後,在約旦河以西的以色列人通通逃跑了。
258.933	263.484	當然有很多就往約旦河以東逃過去了。
263.484	268.055	所以費利士人就佔據了整個費利士,耶穌列平原。
269.394	280.924	第八節次日,菲律師人就來剝那被殺之人的衣服,就是要收羅這些戰利品。
