start	end	text
18.490	23.594	弟兄姊妹平安，我們繼續按照每日嚴經事宜的進度,繼續來思想。
23.594	37.185	薩摩爾記下第十七章十五節到最後,也請各位來訂閱我們的YouTube頻道,作為對於我們的服侍一個最大的鼓勵跟肯定。
37.185	65.832	十七章十五節,護塞這個時候就對祭司沙都和亞比亞他說, 雅西多福為亞沙龍和以色列長老所定的計謀是如此如此,我所定的計謀是如此如此,現在你們要急速打發人去,趕快告訴大衛說,今夜不可住在曠野的渡口,務必今天晚上就要過河,免得王河跟隨他的人都被吞滅。
67.807	74.912	互篩他非常知道,亞希多福的計謀真的是好的不得了。
74.912	85.162	但是上帝幫助互篩,憑著他山村不爛之舌,以及利用大家對大衛以前 威望的敬畏。
85.162	89.383	知道大衛也不是一個束手待擒的人。
89.383	102.548	因此呢,就是拖延了壓薩隆他們的時間,讓亞希多福的計謀,就是連夜追上大衛的這個計謀,不被壓薩隆他們採用。
102.548	117.797	因此呢,護塞他得逞之後,趕快通知一樣作為大衛安排的內應的兩個大祭司,薩多跟亞比亞他, 然後告訴他們說,狀況現在是這樣,我好不容易拖延了亞希多福的計謀。
117.797	120.981	所以也不知道亞沙隆他們會不會又反悔了。
120.981	131.751	所以趕快派人告訴大衛他們,今天晚上務必要渡過約旦河,到約旦河以東,不可以停留在約旦河以西。
131.751	133.473	讓亞沙隆他們死了這條心。
134.514	143.539	17節約拿丹和亞西馬斯,他們兩個人就是一個是薩都的兒子,一個是亞比亞他的兒子。
143.539	151.163	他們就在城外西南的尹羅節那裡等候城裡面的狀況。
151.163	156.526	這些人都是大衛故意留在耶路撒冷作為內應的人。
156.526	161.849	他們在那邊等看看城裡面有沒有什麼消息傳出來,不敢進城,恐怕被人看見。
162.790	190.282	這個時候就有一個使女出來將這話告訴他們就是他們的父親們派一個使女出來把這個亞賽的計謀以及亞賽催促大衛趕快渡河的事情告訴這兩個兒子這兩個兒子他們就趕快去報信給大衛王 然而這時候也有一個童子看見他們就去告訴亞撒龍。
190.282	202.065	所以你看其實在這個耶路撒冷城內跟耶路撒冷城外都有雙方的探子在那邊互相收集對方的軍事情報。
202.065	214.570	所以當有使女從城裡面出來 告訴這兩位大祭司的兒子該怎麼做的時候,同時也被壓沙龍所安排的探子發現了這個事情。
214.570	234.639	所以這個童子就趕快回報壓沙龍, 然後呢,這兩個大祭司的兒子呢,他們接到命令之後,就急忙往東北方,三公里的地方的八戶林那邊,一直往前趕路,要去告訴大衛。
234.639	241.563	所以急忙跑到八戶林某人的家裡的時候,那壓薩隆派來的追兵已經追上他們兩個人。
242.329	264.801	而他們就到某個人的家中,那個人家中的院子裡有一口井,他們就下到那個井裡面,而那個家裡面的婦人幫助他們,用蓋子蓋上井口,又在上面鋪上睡脈,掩藏那個井,所以事情就沒有洩漏。
264.801	270.744	20節,壓沙龍的仆人來到那個人的家,問婦人說:「亞西馬斯和約拿丹在哪裡呢?
270.744	274.764	」 婦人說,他們過了河了。
274.764	280.151	仆人就在那邊找他們,卻找不著,就回耶路撒冷去了。
280.151	295.774	因此呢,亞薩隆派來的人找到這兩個人,而且根據這個婦人的假情報,亞薩隆那邊就真的認為, 大衛他們都應該都已經都接到消息了,應該連夜都過河了。
