start	end	text
18.643	23.406	弟兄姊妹平安，我們繼續按照每日言經事宜的進度,繼續來思想。
23.406	32.813	薩默爾記下第21章,也請各位來訂閱我們的YouTube頻道,作為對我們最大的鼓勵和支持。
32.813	133.612	第一節,大魏年間有饑荒一連三年,大魏就求問耶和華, 通常撒母耳記下第21章以後被稱為後記就是主要的故事都講了差不多了所以後面是幾個附加的一些記錄21章這邊提到一件事情我們不太知道是在大衛作王的什麼時候發生的他說有一連三年發生饑荒天不下雨所以這個沒有辦法好好的有收成 那大衛就覺得這個不單純就來求問耶和華耶和華主動回答他說這饑荒是因扫羅和他流人血之家殺死畸變人原來這畸變人不是以色列人乃是亞摩利人中所剩的以色列人曾向他們啟示不殺滅他們 這是記載在約蘇亞記第9章的第3節到第27節那時候約蘇亞他們進入迦南地之後畸變人還有那附近幾個城市的人他們就用詭計來欺騙約蘇亞使他們跟他立約說不殺他們約蘇亞就信守承諾就說好那真的就永遠不殺你們可是你們在我們當中要來服侍我們 這個是記載在約書亞記裡面,代表這個是神也認可的事情。
133.612	141.161	但是呢,掃羅王卻為以色列人和猶大人大發熱心,想要殺滅他們。
141.161	144.265	所以我們要注意,有時候大發熱心不一定是好事。
145.503	181.134	上帝明明答應不殺畸變人也不把他們趕出以色列人以外但掃羅卻自己大發熱心他想要進行一個種族政策所以要把畸變人趕出以色列以外所以就要殺滅他們那就進行了不人道的屠殺大魏王就召了他們來 問他們說我當為你們就指把畸變人召過來問他們說我當為你們畸變人怎樣行呢?
181.134	183.275	可用什麼來贖這罪呢?
183.275	232.679	就是贖扫羅他不遵守以前約書亞跟畸變人所立的約擅自為神大發熱心而這種熱心不是神要他去做的所以我們要留意不要擅自大發熱心有時候你的大發熱心可能是違背真理 所以那個大衛問畸變人說那怎麼樣做才可以贖這個罪呢使你們為耶和華的產業祝福呢耶和華的產業者就是以色列百姓使你們畸變人不再怨恨我們以色列人而可以為我們祝福讓這個神的審判跟咒詛可以離開我們畸變人回答說我們和扫羅與他家的事並不關乎經營 也不要因我們的緣故殺一個以色列人。
232.679	237.961	即便人說我們跟掃羅家的這個恩恩怨怨怎麼解決呢?
237.961	244.984	不是用金銀,或是說你們殺以色列人來賠罪。
244.984	249.446	代表說我們即便人不敢要求什麼啦。
249.446	253.828	你們是掌權的嘛,你們怎麼帶我們,我們怎敢反抗呢?
254.718	259.522	大衛卻說,你們怎麼樣說,我就為你們怎樣行。
259.522	271.832	大衛再次表達他的誠意,因為他知道即便人的冤屈,在耶和華面前沒有申冤的話,咒詛就會一直停留在以色列人身上。
272.773	281.080	在古代,通常這種流人血的罪,它最直接的申冤,就是殺人償命。
281.080	286.184	所以大衛再次說,你們怎麼說,我們就怎麼做。
287.466	299.534	那他們就鼓起勇氣對大魏王說,那從前謀害我們,要滅我們,使我們不得再住在以色列境內的人,就是扫羅。
299.534	301.236	但扫羅現在已經死了。
301.236	313.224	所以第六節說,現在願將祂的子孫七個人交給我們,我們好在耶和華面前,將他們懸掛在耶和華,拣選扫羅的基比亞。
314.394	349.752	那即便人就鼓起勇氣說好既然大衛你開口了我們就說了我們也不多要求什麼那律法說血債血還嘛 我們就要把從前謀害我們消滅我們的掃羅他的後一以前就是有這種血債血還或是報血仇這種習慣我們要把他的子孫七個人交給我們七就代表完全的數字就是用七個人來代表整個掃羅家族 我們會在耶和華的面前殺了他們。
349.752	353.316	把他們懸掛在扫羅的家鄉基比亞。
353.316	359.061	他們七個人就代表扫羅全族,替他們死這樣子。
359.061	362.385	王說我必交給你們。
362.385	364.527	我們現在當然覺得說這七個人很衰啊。
365.077	368.298	他祖先犯罪,關他什麼事?
368.298	378.422	但在以前的時代,這是一個當時代的人,他們普遍接受的一種報血仇的一種做法。
378.422	392.887	因此第七節,王因為曾與扫羅的兒子約拿丹指著,耶和華啟示結盟,就愛惜扫羅的孫子,約拿丹的兒子米妃頗色,不交出來。
393.899	397.049	那大衛網就心裡面就傷腦筋了。
397.049	400.239	到底要從掃羅的後代裡面交出哪七個人呢?
400.998	472.903	所以如果大衛仍然對約拿丹的兒子米菲波瑟在大衛逃難的時候竟然沒有來跟從他這件事情若還耿耿於懷的話第一個被交出去的就是米菲波瑟但他已經饒恕了米菲波瑟而且他仍然紀念他跟約拿丹所立的盟約所以他不會去殺約拿丹的兒子那他要交出誰來呢那他就把 艾亞的女兒利斯巴給扫羅所生的兩個兒子 亞摩尼米菲波瑟這是另外一個同名同姓的人也叫米菲波瑟所以首先就是這個利斯巴他為扫羅所生的兩個兒子被交出來這個利斯巴在《薩摩爾記》下第三章第七節有出現過那時候扫羅跟約拿丹死了以後那這個亞尼爾亞尼爾算是這個約拿丹的堂兄弟 他就掌控了北方的政權。
472.903	475.146	掌控了少羅王朝。
475.146	478.170	這個真正的掌權者就是他。
478.170	481.495	有一個傀儡的國王做王。
482.534	486.575	但是他不把傀儡國王放在眼中。
486.575	490.456	他就竟然跟利斯巴同訪。
490.456	494.538	這就引起了扫羅他的兒子的抗議。
494.538	499.559	可是雅尼爾因為這件事情就跟扫羅的兒子翻臉。
499.559	504.781	甚至去跟大衛說,我看南北都全部交給你好了。
504.781	505.661	你來做王好了。
506.203	512.809	他希望藉此能夠在未來大魏的新王朝裡面一樣有重大的影響力。
512.809	517.594	所以這個利斯巴就是跟亞利爾同訪的。
518.968	526.513	但他有可能也是被迫跟亞尼爾同訪,因為形勢比人強,我們不太知道到底發生什麼事。
526.513	536.380	但是現在交出這個扫羅的後代,大衛第一個想的就是,曾經引起這個糾紛的利斯巴,他給扫羅所生的兩個兒子交出來好了。
536.380	546.448	第二個就是扫羅的女兒米甲的姊姊,米荷拉人巴西來兒子,雅德烈所生的五個兒子。
547.534	551.995	那這個時候呢,大衛就決定交出這七個人來。
551.995	558.457	那為什麼另外要交出的是這個米荷拉所生的兒子?
558.457	561.097	那我們就不得而知。
561.097	562.918	那是不是跟米甲有關?
562.918	564.518	我們也不太知道。
564.518	568.819	因為大衛後來跟米甲的關係,米甲是扫羅的女兒。
568.819	571.100	他跟米甲的關係很差。
571.100	574.180	但原本其實要嫁給大衛的不是米甲。
574.180	621.038	原本扫羅答應要嫁給大衛的是 米荷拉但是後來扫羅不守信用所以後來大衛第二次他真正娶到的是米荷拉的妹妹米甲所以有沒有可能因為這件事情讓大衛覺得受到羞辱所以最後決定是把米荷拉所生的孩子交出來他們算是扫羅的外孫 第九節就交在畸變人的手裡畸變人就把他們在耶和華面前懸掛在山上這七人就一同死亡被殺的時候正是收割的日子 就是動手割大麥的時候,大概就在3、4月左右。
621.038	630.265	不是說這時候百姓真的在收割,因為是饑荒,應該沒什麼好收割的,但只在交代是幾月份,大概在3、4月左右。
630.265	674.750	第十節,艾亞的女兒,這個利斯巴,就用麻布在磐石上搭了一個帳篷,從動手收割大麥的時候,一直到天降雨的, 這個利斯巴他在那邊守候七個人的屍體不容屍體被毀壞 我們可以看見,這個利斯巴在這個時候,他顯出了他對個人他作為一個母親的一種堅強跟勇敢。
674.750	680.455	或許他之前是迫於無奈而被亞尼爾所玷污。
682.090	690.474	但是現在他既然也鬥不過大衛,然後他只能讓兩個兒子死掉。
690.474	699.859	但他最少作為一個母親,他能夠做的就是,不讓他兒子的屍體,被天上的飛鳥或田野的走獸吃掉。
699.859	709.965	他同時也看守另外五個人的屍體,因為他覺得這些都是掃羅的後代,他們應該有一個尊嚴,不容他們被野獸吃掉。
710.725	720.492	他這邊都說到說,從動手割蛋麥的時候,他的看守屍體大概在三、四月左右,一直到天降雨的日子。
720.492	729.598	他可能有兩個意思,第一個就是,通常收割的時候三、四月,不是雨季的日子。
729.598	735.723	而如果這個時候,這七個人死了,神就突然讓天降下雨來。
736.459	773.652	那就代表一種可能性就是神認為畸變人的冤仇已經報了所以祂就讓雨降下來代表神願意把饑荒趕走這是一種可能性第二種可能性是 這個利斯巴從動手哥大麥的三四月一直看守這個師生日夜都看守直到雨季來臨那就是九月到十月左右那代表他看守師生 可能長達半年,我們不太知道是哪一種情形。
773.652	778.073	但這兩種情形都是令人非常動容的。
778.073	782.814	就是說,這個利斯巴表現的一個堅強的母愛。
782.814	788.095	他雖然以前可能鬥不過亞尼爾,現在也鬥不過大衛。
788.095	790.015	好像他的命運都任人宰割。
790.015	793.396	但他現在卻彰顯出一個堅強的母愛。
