start	end	text
18.660	23.484	弟兄姊妹平安，我們繼續按照每日嚴經事宜的進度繼續來思想。
23.484	34.293	薩摩爾記下第六章第一節大衛又聚集以色列中所有挑選過的人三萬大衛這次又是要去打仗嗎?
34.293	47.511	不是的 因為他已經把他們的敵人非利士人全部趕回去非利士人的老家收復了以色列人之前被佔領的土地所以這次是要做什麼呢?
47.511	58.619	第2節大衛起身率領跟隨他的眾人前往 要從巴拉猶大將神的約櫃運來,運來伊魯撒冷。
58.619	65.421	巴拉猶大這個城市應該就是之前薩默爾基上所說的基列耶嶺這個城市。
65.421	69.823	它距離伊魯撒冷大概15公里左右。
69.823	76.245	而這個約櫃就是坐在二基路伯上萬君之一和華留名的約櫃。
76.834	81.779	約貴上面有雕刻著二基路伯,就是兩個天使。
81.779	91.770	他們的翅膀張開,看起來很像是一個座位,彷彿是耶和華的同在的寶座的座位一樣。
91.770	103.478	所以約貴最重要要表達就是說, 你們如果願意遵守我的律法,因為約櫃裡面放的就是十戒的那兩塊石板。
103.478	109.521	所以你們若願意遵守我的律法,我就願意與你們同在。
109.521	117.726	第三節,他們將神的約櫃從崗上雅比拿達的家裡抬出來,放在新車上。
119.292	123.838	約貴到底在基列耶靈停留了多久?
123.838	130.507	不同的人有不同的看法,主要是受到到底掃羅做王多少年?
130.507	133.912	以及掃羅之前的薩姆爾做士師多少年?
134.991	143.644	因為約貴流落民間,是在薩摩爾的師父以利的時代被擄走的。
143.644	154.137	所以,掃羅做王多少年,薩摩爾做士士多少年,就會影響到現在 約貴已經在紀律頁嶺放了多少年?
154.137	158.942	我個人還是比較接受傳統的講法,就是掃羅做王40年。
158.942	164.527	然後薩默爾他其實做士師可能也超過40年以上。
164.527	171.354	所以我認為這個時候約貴已經流落民間非常長的時間。
171.354	172.135	我們繼續往下看。
173.541	184.406	那他們把約櫃放在新車上,然後亞比拿達的兩個兒子,一個叫烏薩,一個叫亞西約趕這新車。
184.406	192.730	其實在民宿記裡面,上帝有吩咐摩西說,約櫃不可以用車子來運載。
193.490	198.672	約貴只可以用立位人,他們親自用肩膀來扛臺。
198.672	205.434	那大衛在這邊,他要讓約貴坐新車來到耶路撒冷。
205.434	210.855	不知道是否是受到之前這個非利士人他們的做法的影響。
210.855	218.898	因為非利士人把約貴送還給以色列人的時候,就是讓約貴在一輛新車上面把他送回來的。
