start	end	text
19.070	26.654	弟兄姊妹平安，我們照美人經事的進度一起來思想《薩加利亞書》的第十一章首先我們來讀第一節到第三節。
26.654	38.980	《薩加利亞書》第十一章第八嫩啊,開開你的門,任火燒滅你的香柏樹。
38.980	45.644	松樹啊,應當哀嚎,因為香柏樹傾倒,加美的樹毀壞。
47.227	55.050	巴山的橡樹應當哀嚎,因為茂盛的樹林已經倒了。
55.050	62.172	聽,有牧人哀嚎的聲音,因他們榮華的草場毀壞了。
62.172	70.475	有少壯獅子咆哮的聲音,因約旦河旁的叢林荒廢了。
70.475	71.375	第一節,黎巴嫩呢?
72.227	82.655	開開你的門,任火來燒滅你的香柏樹,松樹應當哀嚎,因為香柏樹傾倒佳美的樹毀壞。
82.655	90.001	這邊不論是講香柏樹、松樹,這邊就是在講政權的權柄。
90.001	99.768	聖經裡面常常會用這些高大的樹木、花美的樹木,來代表這些驕傲的君王或政權。
99.768	106.223	很有意思,其實聖殿裡面, 聖殿是用石頭蓋起來的。
106.223	113.528	但石頭蓋好之後,在外面會鋪上木板。
113.528	116.930	木板的外面再貼上金箔。
116.930	120.833	那你知道在聖殿裡面,就是兩種木板的建材。
120.833	124.135	一個就是香柏木,一個就是松樹。
124.135	126.136	好,所以我們繼續往下看。
126.136	130.399	巴山的橡樹應當哀嚎,因為茂盛的樹林已經倒了。
131.203	135.225	相書也代表巴山高大的政權。
135.225	138.166	第三節,聽有牧人哀嚎的聲音。
138.166	145.170	牧人就代表這些政治的領袖,因他們榮華的朝廠毀壞了。
145.170	148.071	有哨狀獅子的咆哮聲音。
148.071	150.072	哨狀獅子代表他力氣很大。
150.072	151.533	為什麼他們咆哮呢?
151.533	153.894	因為約旦河旁的叢林荒廢了。
154.514	170.638	獅子失去了在約旦河旁那些茂密的樹林,對祂的遮蔽,祂就不能躲在這個草叢裡面,祂既無法去捕食獵物,祂甚至連隱藏自己、保護自己的能力都沒有。
170.638	179.420	所以一到三節代表各種驕傲的政權,真是在末日必被上帝一一來審判、傾倒。
179.420	181.981	我們繼續來讀第四節到第十一節。
184.121	189.103	耶和華﹐我的神如此說。
189.103	193.564	你﹐撒加利亞﹐要牧養這將在的群羊。
193.564	198.046	賣他們的宰了他們﹐以自己為無罪。
198.046	204.748	賣他們的說﹐耶和華是應當稱頌的﹐因我稱為父族。
204.748	209.330	牧養他們的﹐並不連續他們。
209.330	212.871	耶和華說﹐我不再連續這地的居民。
214.070	219.512	必將這名交給個人的靈社和他們王的手中。
219.512	222.394	他們必毀滅這地。
222.394	226.395	我也不就這名脫離他們的手。
226.395	234.439	於是,我牧養這江仔的群羊,就是群中最困苦的羊。
234.439	241.602	我拿著兩根壯,一根我稱為榮美,一根我稱為蓮索。
242.824	246.225	這樣﹐我牧養了群羊。
246.225	249.325	一月之內﹐我除滅三個牧人。
249.325	253.406	因為我的心厭煩他們﹐他們的心也憎嫌我。
253.406	265.349	我就說﹐我不牧養你們﹐要死的由他死﹐要喪亡的由他喪亡﹐餘生的由他們彼此相食。
266.937	275.944	我折斷那稱為榮美的帳目,表明我廢棄與萬民所立的約,當日就廢棄了。
275.944	281.688	這樣,那些仰望我的困苦羊,就知道所說的是燕和華的話。
283.336	291.202	第四節,耶和華我的神如此說,尼撒加利亞要牧羊這將宰的群羊。
291.202	300.109	牧羊一群將被人宰殺的羊,這是一件很痛苦的事情,代表百姓常常是非常的悖逆。
300.109	308.094	第五節,買他們,就是買這群將宰的羊, 羊群的這些人,他們會宰了他們。
308.094	312.575	而且他們宰了他們的時候,以自己為無罪。
312.575	322.178	就是說,當神認平祂悖逆的百姓,被其他的國家和政權攻打、擄走,把他們殺了。
322.178	329.340	這些其他的國家的政權,也會覺得自己沒什麼罪啊,很驕傲。
329.340	331.920	然後賣他們的,賣他們的是誰?
331.920	337.194	就是以色列的這些君王, 他們是壞牧人。
337.194	353.657	所以賣這些羊的,就是以色列的壞君王,他們也會說,哎呀,耶和華是應當稱頌的,因為我成為父族了,我透過賣我的羊,讓我自己變成有錢了,感謝上帝,哈利路亞。
353.657	362.099	代表說他是沒有顧念神的羊群,本來透過剝削自己的羊群,來得好處,就是壞牧人。
362.619	367.663	所以牧羊他們的,並不連續他們。
367.663	371.527	代表以色列的君王,不連續以色列人。
371.527	379.213	他就要講一件事情,那最後最後最後,誰才是會連續以色列的君王呢?
379.213	381.115	其實就是彌賽亞。
381.115	385.739	好,耶和華說,我不再連續這地的居民,因為他們都死不悔改。
385.739	389.382	我必將這民交給個人的領事,就是領國。
391.049	397.315	祂們必毀滅這地,我也不救這民脫離祂們的手。
397.315	404.881	這邊讓我們看見就是說,當百姓不斷的悖逆的時候,上帝是會不管他們的。
404.881	410.446	所以提醒貝魯歸回的這些百姓,不要只有人回來,心要回來。
410.446	416.371	弟兄姊妹這也是提醒我們,不要只有人來到主的面前, 敬拜神。
416.371	417.913	心也要來到主的面前。
