start	end	text
18.404	23.130	弟兄姊妹平安，我們繼續按照《美日臉經》事宜的進度繼續來思想。
23.130	25.774	《禮貸至上》第20章。
25.774	40.624	我們在上一章19章裡面談到,雅門人他們用重金禮聘, 北方的雅蘭人下來幫助他們,甚至是用到一千他連德的銀子,重達三十四公噸。
40.624	42.386	這是一個天文數字。
42.386	47.069	但是雅蘭跟雅門的聯軍,連連被大魏他們打敗。
47.069	52.852	我們繼續來看這場雅門的戰役,接下來會怎麼樣做一個結束。
52.852	76.703	二十章第一節,過了一年,到獵王出戰的時候, 這時候應該是雨季過後農忙已經暫時告一個段落所以這個亞門戰爭又繼續的開打約壓就是以色列這邊元帥率領軍兵毀壞亞門人的地 圍攻他們的首都拉巴。
76.703	79.506	雅門就是今天的約旦這個國家。
79.506	84.930	而首都拉巴就是今天的首都安曼。
84.930	89.454	我們也可以看見在薩摩爾紀的部分。
89.454	93.257	他有記載就在這個過渡期裡面。
93.257	98.762	大衛他就犯了這個巴士巴的一個奸淫事件。
98.762	102.900	後來就謀殺了 巴斯巴的丈夫赫人烏利亞。
102.900	107.081	但是我們看見歷代至上，這個段落是完全跳過了。
107.081	131.501	原因是因為歷代至上，他最主要寫作的目的，是要鼓勵貝魯歸回的猶大人，他們應該效法大位，他是如何做一個好君王的這個部分，來鼓勵他們 有大支派的領袖,要承擔起,繼續帶領貝魯貴為的百姓,來順服神,來討神的喜悅。
131.501	135.963	所以他就會把這個巴士巴的事情,就把它跳過去了。
135.963	139.604	那我們就來看這邊,20章這邊所說的。
139.604	145.267	那大衛仍住在耶路撒冷,就是在那個時候犯下的巴士巴的事件。
145.267	147.228	而約壓呢,他就攻打拉巴。
148.695	209.228	透過薩摩爾記我們知道約壓快要把喇叭打下來的時候他趕快叫大衛來因為他不想自己來獨佔這個功勞以免功高震主他就請大衛王來把最後的戰役做一個了結所以我們看見就是大衛 最後他就奪了雅門人之王所戴的金冠冕,還有其上的金子,重一他聯德,這個34公斤的金子,又牽著寶石,仍將這個冠冕戴在大衛的頭上, 大外城從這個城裡面,就是拉巴城裡面,就多了許多的財物,將城裡的人拉出來,放在鋸子下面,或鐵耙下面,或鐵斧頭下面,強迫他們用鋸,或是用打糧食的鐵器,或是鐵斧頭來做工。
209.228	214.069	大外沒有把他們殺了, 反而是讓他們來做工。
214.069	222.172	我們透過薩摩基有看見,就是大衛只把身高特別高的人殺掉,那大部分的人都留下來了。
222.172	227.514	大衛其實還是有紀念,這個老衙門王對他的恩典。
227.514	235.076	雖然後來新的衙門王,他不顧念這個老衙門王跟大衛王的交情,反而是羞辱了。
235.076	274.233	大衛本來要派來安慰新衙門王喪父之痛, 的這些史誠才結下這個梁子但大衛最後還是還算是恩待了這些亞門人沒有把他們趕盡殺絕大衛帶亞門各城的居民都是如此其後大衛和眾軍都回耶路撒冷去了班師回朝第四節後來以色列人在基瑟基瑟就是傳統上以色列跟非利士人的邊界再次與非利士人打仗 互殺人西比蓋殺了偉人,偉人就是巨人,身高比較高的加特人。
274.233	278.276	殺了偉人的一個兒子,西派。
278.276	280.998	菲律斯人就被制服了。
280.998	284.080	第五節,後來又與菲律斯人打仗。
284.080	290.345	埃爾的兒子伊勒哈南殺了加特人哥利亞的兄弟拉哈米。
291.391	309.740	這個人他當然也是一個巨人這人的槍桿特別的粗粗如織布的積軸第六節又繼續在加特幼有打仗那裡有一個聲量高大的人 手指頭跟腳指頭都是6根指頭,共有24個指頭。
309.740	314.427	他也是偉人的兒子,也是身材高大的巨人。
314.427	321.476	這個人向以色列人罵陣,大衛的哥哥,施米亞的兒子約拿丹,就殺了他。
321.937	328.202	這三個人都是加特﹐加特是屬於菲律斯城市的偉人﹐就是巨人的兒子。
328.202	335.287	我們不要忘記﹐以前大衛所打死的那個戈利亞﹐他也是加特那邊的一個巨人。
335.287	341.192	所以這三個人都是加特偉人的兒子﹐都死在大衛和他仆人的手下。
341.192	348.497	這讓我們看見﹐就是西邊的菲律斯人﹐跟東邊的亞門人﹐ 都被大衛評定了。
348.497	355.160	但是我們讀過薩默爾基的之道,中間其實是有一個非常不堪回首的一個插曲。
355.160	360.423	就是大衛他犯了這個,玷污了拔釋巴,然後又謀殺了別人的丈夫。
360.423	433.768	那當然後來,神就責備大衛, 大衛也認罪悔改就在大衛認罪悔改甚至他跟拔釋巴所生的第一個兒子也死了之後神重新恢復了他跟大衛的關係所以大衛才重新帶領軍隊在東邊跟西邊打了聖戰 所以弟兄姊妹如果我們曾經因為軟弱跌倒犯罪而失去了神的恩典的幫助我們不要因此就永遠趴在地上我們要效法大衛我們應該悔改起來尋求神的赦免起來尋求神的幫助來彌補我們所造成的虧損和傷害並且讓神重新帶領我們來得勝我們看見大衛他雖然失敗軟弱跌倒 但是神給他機會他就把握那個機會悔改神就願意重新使用他這給我們一個很好屬靈上的提醒我們一起來禱告主我們難免都會有軟弱跌倒的時候 主啊,這當然不是藉口,但是主,祢以恩慈憐憫待我們。
433.768	440.796	因此當我們趴在地上的時候,求聖靈幫助我們,扶持我們起來再次跟隨神。
440.796	450.224	神就要再一次聖靈我們,再一次給我們力量, 靠著祂,可以重新成為神願意使用的貴重器皿,恩待我們。
450.224	459.689	願每一個人信心都不退後,每一個人都從跌倒的地方爬起來,重新事奉神,做一個容神益人的人。
459.689	462.350	奉主耶穌的名祷告,阿們。
462.350	463.571	願神賜福大家,
