start	end	text
18.524	23.288	各位姊妹平安，我們繼續按照每日眼睛事宜的進度,繼續來思想。
23.288	55.531	歷代至上第二十四章,大衛在臨終之前,把王位傳給了他的兒子所羅門,交代他以後要建造聖殿,並且也召聚了這些各支派的領袖,特別是把立位支派的領袖都召聚過來,一方面吩咐他們要按照以前摩西所吩咐的律法,來遵行神的話語, 來獻祭，來侍奉神，來讚美神，帶領百姓來敬畏神。
55.531	87.254	二方面也幫他們事先再次做了這些這些侍奉上的輪班表以及大家各自負責什麼樣的服事大衛也都再一次提醒他們希望以後他們可以協助所羅門一起把聖殿蓋起來並且在完成建造之後的聖殿 也能夠按部就班的,能夠來把各樣敬拜、侍奉神的事工都能夠把它做得盡善盡美。
87.254	91.658	因此二十四章這邊就要談到有關於祭司的班次。
91.658	97.323	因為不可能所有的祭司,同一個時間點一起來服事。
97.323	99.946	這樣子是會塞不下那麼多祭司的。
100.486	111.228	也因此要幫他們做好安排,大家都有機會來服侍神,沒有一個人被撇棄在外,被剝奪侍奉的權利。
111.228	120.390	二十四章第一節,雅倫的子孫的班次記在下面,雅倫的兒子是拿達、雅比乎、以利、雅撒、以他馬。
120.390	125.511	而拿達跟雅比乎,死在他們父親之先,沒有留下兒子。
126.664	141.496	因為他們在就任祭祀那天的典禮上,他們就失智違背神的命令,獻上不是神要他們獻的反火,就是完全不把神當一回事。
141.496	146.720	所以他們就任祭祀當天,神就讓火把他們兩個當場燒死。
146.720	149.282	他們也沒有留下後代。
149.282	157.639	故此,老三以利亞撒,還有亞倫的老四, 以他馬就貢祭司的職份。
157.639	170.428	以利亞薩的子孫薩都以及以他馬的子孫亞西米勒同著大衛將他們的族弟兄分成班次。
170.428	177.721	以利亞薩子孫中為首的 比以他馬子孫中為首的更多。
177.721	201.209	分班如下,以利亞撒的子孫中有16個組長,而以他馬的子孫中有8個組長, 這代表說,亞倫的第三個兒子的後代,以及亞倫的第四個兒子的後代,到大魏的時代,他們的勢力的強大已經不平衡了。
201.209	209.337	而這個老三的以利亞撒的後代,擔任組長的有16個,而老四的以他馬的後代,擔任組長的只有8個。
210.913	242.791	所以第五節都致謙就是抽籤分立彼此一樣就加起來總共24個組長如何讓他們的這些家族的每個成員都有機會來擔任祭司來供職所以要抽籤來看這個24個班次要怎麼來輪流在聖所和神面前做首領的有以利亞撒的子孫也有以他馬的子孫 他們都有機會輪流來服侍神。
242.791	313.453	第六節,做書記的立位人,拿坦葉的兒子施瑪雅在王和首領與祭司撒都亞比亞他的兒子亞西米勒,並祭司立位人的族長面前,記錄他們的名字,在以利亞撒的子孫中取一族,在以他馬的子孫中取一族, 所以第七節致簽的時候就依序讓這24個組長他們分別屬於以利亞撒跟以他馬系統的然後來排出他們的侍奉的輪班表這個只是一個侍奉的輪班他沒有說排前面的比較重要或排後面的比較重要雖然抽籤的時候第一個抽出來的是耶和亞利 引起後來我們這些聖經研究者的注意,因為後來在祖前大概165年左右,有一個就是馬加比王朝,他們就是一個祭司家族,他們帶領百姓推翻了那時候的希臘帝國,對他們殘酷的統治。
314.292	349.823	讓猶太人大概有差不多將近一百年左右的時間恢復了獨立自主的地位後來才又再一次的被這個羅馬人統治 那這個瑪迦比家族呢他們的這個祖先就是抽籤抽出第一籤的這個耶和亞歷所以有人就說這個歷代誌一定是瑪迦比時代才寫的所以故意去凸顯說他們的祖先抽籤是抽第一個所以是最重要的 來代表馬加比王朝他們的神聖性。
349.823	351.965	其實不需要這樣聯想。
351.965	354.007	抽第一個沒有什麼特別重要。
354.007	355.888	就是服飾牌第一個而已。
355.888	357.709	跟大家是平等的。
357.709	360.051	第二是耶大亞等等。
360.051	361.893	到第18節。
361.893	364.655	第24是馬西亞。
364.655	370.459	我們看見24個班次的名單。
370.459	372.601	後來到了尼西米紀的時候。
373.387	431.837	尼西米記第十二章的時候只剩下二十二個班次代表裡面有一些家族他萎縮了或是他就跟別人合併了我們也可以來看見第十九節說這就是他們的班次要按照耶和華以色列的神藉他們的祖宗亞倫所吩咐的條例進入耶和華的殿辦理事務我們不要忘記這個時候大衛還沒有死他只是在交代一些遺言 聖殿還沒有蓋起來可是大衛要他們謹記以前在摩西時代神怎麼吩咐你們這些祭司怎麼服事就怎麼服事就算現在服事的一些工作內容不太一樣 包含說以立位人為例,他們不用再扛臺或是搬運這些會幕的東西,因為已經有聖殿了,所以再也不會移動來移動去了。
431.837	435.963	所以立位人他們的這個侍奉的內容,就會做很大的調整。
436.323	441.506	這個我們在之前幾章跟接下來也會再次談到。
441.506	451.153	而祭司也是一樣,他們現在要面對的是,未來要面對的是一個新的服侍的場地和建築物,叫做聖殿。
451.153	462.160	以前他們是在這個摩西的會墓那邊服侍,現在換地方了,而且不是帳篷那種會墓,是一個固定的宮殿,叫聖殿。
462.160	476.587	雖然這個場地還有這個服侍的場所不一樣, 但是他們服侍的心態,要跟以前一樣,就是遵守神的律法,把神的話語看得最重要,尊主為大。
476.587	487.691	再來呢,第二十節以後,交代了有一些立位人,大衛也特別去留意了,沒有剝奪他們侍奉神的權利。
487.691	498.724	二十節到第二十四節,主要談到哥霞他們的有一些後代,他說立位其餘的子孫如下, 岸然的子孫里有。
498.724	501.809	苏巴葉的子孫里有。
501.809	504.052	亚西迪亚等等等。
