start	end	text
18.422	119.981	弟兄姊妹平安，我們繼續按照《每日廉經事義》的進度繼續來思想《歷代至上》第21章也請各位多多來使用《每日廉經事義》這本非常好的靈修的手冊它是由許多信仰純正的華人的牧者跟神學家所共同撰寫的 可以幫助我們能夠來養成每日讀經的好習慣而我們的視頻也是根據它來作為一個進度做進一步原文神學還有牧養的一些補充的說明我們就來看第21章撒旦起來攻擊以色列人激動大衛數點他們 我們看到平行的經文就是在薩摩爾記下第24章但是這兩個地方會讓我們有點困惑因為在薩摩爾記下第24章那邊說是耶和華激動大衛起來數點百姓所以我們需要把歷代至上跟薩摩爾記下這兩個經文合起來一起思考它很可能的情況就是當然第一個是百姓犯罪所以如同薩摩爾記所說的耶和華就向百姓發怒 那這個歷代誌這邊就說是撒旦起來攻擊以色列人也就是說撒旦引誘以色列人犯罪以色列人犯罪就惹動耶和華的憤怒那重點來了重點是這國王的角色國王應該是要幫助百姓不要再犯罪但是呢大衛他也跟著軟弱 所以呢,這個薩默爾記說,這個神就激動大衛去攻擊以色列人。
119.981	121.142	什麼意思呢?
121.142	131.787	從歷代誌的角度就是,撒旦就激動了大衛,讓他裡面有一個不正確的動機跟態度,而來去數點百姓的人數。
131.787	143.592	我們透過歷代誌跟薩默爾記的這個經文來分析,很可能啦,就是神祝福以色列, 可是以色列的百姓就驕傲起來了。
143.592	150.436	所以撒旦就透過以色列百姓的罪惡就起來攻擊他們。
151.135	161.838	然後神也向以色列百姓發怒,而這個時候,大衛應該起來做一個最好的榜樣,帶領百姓謙卑悔改,可是大衛沒有。
161.838	172.241	大衛他更進一步的,要去誇耀這個國家在我的治理之下,人口何等的成長,然後版圖變得何等的大。
172.241	184.389	所以他竟然罪上加罪,要去誇耀自己的功勞, 然後去數點百姓人口現在有多少軍力現在有多強。
184.389	199.845	大衛就吩咐約壓和民衆的首領說你們去數點以色列人從最北邊的最南邊的別世巴一直數算到最北邊的但把十二支派的人數都 數算完畢。
199.845	200.966	我要知道人數。
200.966	203.989	我要知道我軍隊的軍力有多強大。
203.989	205.370	然後回來告訴我。
205.370	207.272	我好知道他們的數目。
207.272	209.795	第三節元帥約壓就說。
209.795	210.615	約壓就勸他說。
218.251	262.075	神如果祝福我們祂就會更祝福我們巴不得神繼續祝福我們以色列使我們的百姓比現在增加百倍軍力也比現在強百倍我主我王啊他們不都是你的仆人嗎我主為何吩咐行這事為何使以色列人陷在罪裡面呢 代表說這時候大衛已經是非常的盲目了他犯這種動機非常不對的罪而且連約壓都看得出來大衛不對約壓也不是什麼靈性很好的人但是連約壓都看得出來 這個時候不應該去數點人數。
262.075	268.096	這個時候不是大衛你去誇耀你的國家、你的軍隊有何等的強盛。
268.096	272.017	你這樣是會使以色列人陷在罪裡面。
272.017	279.199	連代表聯約壓都看得出來,現在耶和華正在攻擊、惱怒以色列人。
279.838	285.199	而這個魔鬼也正在攻擊以色列人,使他們繼續犯罪。
285.199	289.020	連約壓都看得出來,大王你這樣做是不明智的。
289.020	293.102	你應該帶領百姓離開這個罪惡,歸向神才對。
293.102	298.623	你怎麼增加了這個以色列這個國家驕傲的罪呢?
298.623	300.223	還要去贖點百姓呢?
300.223	305.785	我們如果在神面前蒙神悅納,祂豈不增加我們人口跟軍隊的百倍嗎?
306.596	323.107	但是王的命令勝過約鴨,約鴨就只好出去,走遍以色列地,回到耶路撒冷,將百姓的總數奏告給大衛, 以色列人拿刀的有110萬。
323.107	325.449	北方十字派有110萬。
325.449	329.212	南部的猶大人拿刀的有47萬。
329.212	334.316	這跟這個薩默爾記下24章的記載有一點點的差異。
334.316	338.759	薩默爾記下面告訴我們北方有80萬。
338.759	340.901	南方猶大支派有50萬。
340.901	343.583	那這個差距怎麼解釋呢?
343.583	345.525	很可能線索就在第六節。
346.988	361.988	唯有立位人和貝亞美人，沒有數在其中，因為約壓厭惡王的這道命令，而且神也不喜歡這數點百姓的事，便進一步繼續降災給以色列人。
363.166	380.894	所以這個數字上,喪木爾基跟歷代誌上的差異,很可能關鍵就是在於說,這個數字是因為利未人跟卑亞敏人,約壓沒有把他統計的數目報上來,所以產生這個差距。
380.894	385.396	那為什麼這個約壓他不統計利未人跟卑亞敏人呢?
385.396	395.528	可能約壓他認為,大衛做這個事,神一定是怒上加怒, 一定會降災。
395.528	400.172	整個以色列裡面最重要的,就是首都耶路撒冷。
400.172	406.576	大量的立位人、祭司,都聚集在耶路撒冷的聖殿這邊服侍神。
406.576	410.019	然後耶路撒冷這個城市,是屬於編亞敏支派的土地。
410.862	417.467	所以可能約壓他不想讓耶路撒冷扯進來這件事情。
417.467	423.992	所以他特別對立位人跟避難民的人數就沒有數點報上來。
423.992	427.835	這是約壓可能因為這樣他做了這個事情。
427.835	430.657	那神呢就很不喜悅啦。
430.657	434.119	大衛你沒有善盡一個君王的職責。
434.119	437.602	反而是讓整個國家罪上還要加罪。
437.602	439.964	所以呢就降災給以色列人。
440.947	461.514	第八節這時候大衛就終於清醒了知道自己做了糊塗愚蠢的事情他就禱告神說我行這事大有罪了 因爲他沒有善盡國王應盡的責任,反而是帶領百姓在驕傲當中罪上加罪,所以我行這事大有罪了。
461.514	467.097	現在求你除掉仆人的罪孽,因爲我所行的甚是愚昧。
467.097	473.240	因此弟兄姊妹,我們要留意聖靈的光照,也要留意我們周遭的人對我們的勸勉跟提醒。
474.292	503.166	大衛他不聽約壓的提醒一意孤行很多時候我們也是一意孤行一直消滅聖靈的感動一直不聽聖靈的光照也不聽旁邊這些屬靈同伴的提醒一意孤行我們本應當去使別人不要犯罪來親近神我們後來反而是加重別人犯罪帶領別人犯罪 讓我們更加落入神的管教裡。
503.166	510.232	第九節,耶和華就吩咐大衛的先見,先見就是先知,迦德,去對大衛說話。
510.232	521.941	你去告訴大衛說,耶和華如此說,我有三樣災,有三種審判,懲罰的災難,隨你選擇一樣,我好降災於你。
521.941	523.543	哇,神的管教要下來了。
524.206	539.898	於是迦德就來見大衛,對他說:「耶和華如此說,你可以隨意選擇,第一種就是十二節,或是三年的饑荒, 但是在《薩摩爾記》下24章是講7年的饑荒。
539.898	544.060	所以我們不太確定正確是3年還是7年。
544.060	551.825	可能《歷代誌》的作者跟《薩摩爾記》的作者,他們的記載的來源不一樣。
551.825	555.807	有一個是7年的版本,有一個是3年的版本。
555.807	588.805	第二種懲罰就是或敗在你敵人的面前, 被敵人的刀追殺三個月第三種或是在你的國中有耶和華的刀就是三日的瘟疫耶和華的使者在以色列的四境施行毀滅現在你要想一想我好回復那才我來的這三個災都是很可怕的災所以十三節大衛就對迦德說我甚為難 我根本不知道該選哪一個。
588.805	591.227	選哪一個都很慘。
591.227	592.828	我不知道怎麼選。
592.828	594.429	我甚為難。
594.429	597.091	我願落在耶和華的手裡。
597.091	599.653	因為他有豐盛的憐憫。
599.653	602.155	我不願意落在人的手裡。
602.155	604.096	大衛說我不選了。
604.096	605.717	我不要落在敵人手裡。
605.717	609.820	我甚至也不要落在我自己這個人所選擇的手裡。
610.503	612.124	我要落在耶和華的手裡。
612.124	613.704	就讓耶和華決定吧。
613.704	619.767	因為耶和華祂所下的決定,一定是最有恩慈憐憫的那一個決定。
619.767	621.828	因為祂知道祂有豐盛的憐憫。
621.828	628.990	祂的豐盛憐憫,是給予那些願意悔改的人。
628.990	635.013	14節,於是耶和華就選擇第三種,就降瘟疫給以色列人。
635.013	720.601	以色列人就死了七萬, 大衛萬萬想不到他當初一意孤行要去數點以色列各地的人口百姓戶口這些大數據現在竟然成為耶和華在十二支派裡面遍地施行審判的點名冊施行審判的大數據所以很快災難一下來瘟疫一下來就死了七萬人神差遣使者去滅耶路撒冷 代表說在各個地方瘟疫已經開始了而就要準備也要在耶路撒冷施行瘟疫的審判的時候就是這邊經文所說的神差遣祂的使者這滅命的使者準備也要對耶路撒冷下手這很可能也是當初約壓最不願意看見的事情 那時候約壓可能他認為他故意不數點利未人跟卑阿民的指派的人數就可以讓耶路撒冷逃過一劫但是神沒有要這樣做神一樣要審判耶路撒冷所以經文讓我們看見在這邊神差遣使者去滅耶路撒冷剛要下手要滅的時候 耶和華看見後悔,就不降這災了,就吩咐滅城的天使說,夠了,住手吧。
720.601	749.641	那時,耶和華的使者,站在耶布斯人阿爾南的河場那裡, 這邊告訴我們說神準備要給以色列的首都耶路撒冷最後的滅城的致命一擊很可能在耶路撒冷這件事情的審判會比其他地方的審判更為嚴重的時候忽然神就後悔不降這個災了而且吩咐滅城的天使說夠了可以了 住手吧!
749.641	778.475	而那時候這個滅命的使者已經站在這個耶路撒冷城裡面一個耶布斯人叫做阿爾南他在河場那裡阿爾南是一個希伯來名字而在《薩摩記》下24章記載的是一個迦南人的名字叫做亞老那 就有兩種推測,一種就是阿爾南跟亞老那是猶太人傳說,認為他們是兩兄弟。
778.475	789.959	但是基督教的學者比較認為是同一個人,一個是希伯來的名字,亞老那是迦南他原本耶布斯人的名字。
789.959	798.585	好,那我們看見什麼原因使這個神叫滅命的天使, 夠了就不施行毀滅的災呢?
798.585	800.987	十六節告訴我們原因在哪裡?
