start	end	text
18.507	26.612	弟兄姊妹平安，我們繼續按照每日言行事宜的進度繼續來思想歷代至上第十章。
26.612	41.738	歷代至上第十章跟接下來幾章的經文跟我們之前所讀過的薩摩爾記很多都是重疊甚至重複的 因此我們讀過了薩摩爾記,現在再來消化歷代誌,就比較輕鬆一點。
41.738	47.463	我們來看一下第十章要交代扫羅自殺的事情。
47.463	50.226	這是屬於他被神厭棄。
50.226	51.927	為什麼他被神厭棄呢?
51.927	53.408	經文裡面也會有所交代。
54.189	57.850	非利士人與以色列人征戰。
57.850	61.011	以色列人在非利士人面前逃跑。
61.011	64.532	在基利波山有被殺撲倒的。
64.532	68.473	基利波山就在耶穌列平原。
68.473	73.035	距離北邊的加利利海大概30公里左右。
73.035	85.040	而基利波山是以色列人跟非利士人兩軍在耶穌列平原對峙的時候的 以色列人的防守的陣地。
85.040	88.663	但如今防守的陣地被攻破,很多人被殺。
88.663	98.450	第二節,菲律斯人就緊追著掃羅和掃羅他的兒子,就殺了掃羅的兒子約拿丹、亞比拿達、麥基蘇亞。
98.450	105.235	這個約拿丹是大魏王他非常知心的屬靈的同伴。
105.235	107.517	這時候他也死在菲律斯人的手下。
108.097	113.684	菲律斯人他的士派盛大,大軍壓境,形勢凶險。
113.684	118.110	扫羅被弓箭手追上,射傷,傷勢甚重。
119.531	131.273	第四節,扫羅就吩咐拿他兵器的人說,你拔出刀來,將我刺死,免得那些未受割離的人,就是指的非利士人,他們來淋入我。
131.273	144.195	但是在扫羅他的隨從官,侍衛官,就是拿兵器的人,卻甚懼怕,不肯刺他,因為他不敢刺死耶和華的受膏者。
144.195	148.536	第五節,所以扫羅就自己伏在刀上自盡死了。
149.036	154.962	拿兵器的人看見少羅已死,他自己也伏在刀上致敬死了。
154.962	159.627	這樣,少羅和他三個兒子並他全家都一同死亡。
160.401	167.365	這次的戰敗對戰爭過後的局勢影響非常的大。
167.365	174.890	從此之後,整個以色列的故土,變成三國鼎立的一個局面。
174.890	185.789	在約旦河以西,以前被掃羅王朝所控制的許多土地,特別是北邊的耶穌列平原, 那邊已經完全被非利士人佔領。
185.789	194.780	所以掃羅家族的殘兵敗將就退避到約旦河以東,在那邊重整旗鼓。
194.780	201.988	而南邊則是大衛在猶大支派的南邊的西伯倫登基作王。
203.080	209.684	從此三分天下,後來在神的幫助之下,大衛才重新統一全國。
209.684	221.772	第七節,住平原的以色列人,見以色列的軍兵逃跑,而扫羅和他的兒子都死了,也就氣成逃跑,非利士人便來住在其中。
221.772	228.437	就是住在耶穌列平原這一帶,然後百姓們就往河東逃跑過去了。
228.437	240.895	第八節,次日,非利士人來到 這個戰場撥那被殺之人的衣服,看見掃羅和他的兒子撲倒在基利撥山。
240.895	248.500	所以前一天的戰役裡面,菲利士人並不知道掃羅王跟他的兒子們都戰死了。
248.500	254.464	是隔天去搜刮戰利品的時候才發現,掃羅跟王子們已經死了。
254.804	274.930	就剝了扫羅他的軍裝,割下扫羅他的首級,打發人到菲律賜的寺境,報信與他們的偶像和眾民,又將扫羅的軍裝放在他們神的廟裡面,又將扫羅他的首級定在大滾廟中。
274.930	287.896	扫羅的軍裝跟扫羅的首級頭顱就變成戰利品,到菲律賜的國境裡面四處遊街, 然後來宣揚非利士人得勝。
287.896	293.621	並且最後甚至把掃羅的軍裝放在他們偶像的廟裡面。
293.621	298.465	甚至把掃羅的首級定在大滾廟中。
298.465	299.927	大滾是他們的偶像。
299.927	308.875	所以掃羅沒有頭的屍體,則是被定在約旦河旁邊的博山城的城牆上面。
309.684	345.668	11節,基列亞比人聽見非利斯人向扫羅所行的一切事,他們中間所有的勇士就起身前去,將扫羅和他兒子的屍身送到亞比, 所以他們冒險過河,去把扫羅跟他兒子的屍身從泊山城牆上取了下來,再冒死運送到河東去,將他們的屍骨葬在雅筆的橡樹下,並且為他們舉哀禁食了七日。
345.668	353.116	這邊讓我們看見就是說,神他執行他的審判, 讓以色列人大敗。
353.116	355.337	讓掃羅他們陣亡。
355.337	358.679	但是這邊也記載了在第十一節。
358.679	361.901	積烈雅比人他們有恩必報。
361.901	365.983	因為以前在薩默爾記上第十一章的時候有記載。
365.983	372.627	以前這個雅門人去攻打積烈雅比人的時候。
372.627	376.249	很恐懼的積烈雅比人向掃羅求救。
376.249	379.391	掃羅就率領百姓成功的解救他們。
380.009	383.151	免於他們死於衙門人的手。
383.151	385.733	因此基列亞比人有恩必報。
385.733	394.739	當他們知道﹐扫羅跟他的兒子們都死於非命﹐就冒險過河﹐去把他們的屍體搶過來了。
394.739	398.441	把他埋葬了﹐並且為他們舉哀七日。
398.441	412.746	因此讓我們看見﹐第十章告訴我們﹐行惡的﹐神有仇必報﹐有罪必罰﹐但曾經行善的﹐ 那個部分,神也沒有抹滅或忘記。
412.746	422.591	因此神就感動基列亞比人,讓他們去把扫羅跟他兒子們的屍身,把他搶回來安葬。
422.591	438.279	13節,這樣扫羅死了,因為他干犯耶和華,沒有遵守耶和華的命,又因他求問驕鬼的婦人,沒有求問耶和華,所以耶和華使他被殺,把國歸於耶西的兒子大衛。
439.019	443.741	扫羅他是如何干犯耶和華﹐沒有遵守耶和華的命令呢?
443.741	445.002	他是三番兩次。
445.002	450.644	包含早期的時候﹐他不等候薩摩爾來﹐就勉強獻祭。
450.644	456.147	因為他害怕﹐再不獻祭﹐敵人要殺過來了。
456.147	461.930	百姓看我們沒有獻祭﹐就認為耶和華不會與我們同在﹐就會跑光光。
461.930	466.592	所以扫羅就等不到薩摩爾來﹐他自己就勉強獻祭。
466.852	501.232	這就是祂的安全感不在神的身上而在人的身上在百姓的身上後來神有吩咐祂帶領百姓去打敗亞馬利人並且把他們所俘虜的這些亞馬利人盡都殺死因為以前亞馬利人 在以色列人出埃及的時候從後面不斷的偷襲殺害他們那些擾弱殘兵所以世世代代神就吩咐要擊殺亞馬利人但是掃羅和以色列百姓卻怎麼樣?
501.232	516.625	不聽神的話神說把他們的人跟這些牲畜全部殺了可是百姓和掃羅王把那些亞馬利人那些肥美的牲畜都留下來了 然後藉口說這是在給耶和華獻祭的。
516.625	520.530	甚至連亞瑪利人的國王少羅也沒有殺他。
520.530	523.453	所以再一次他違背了王的命令。
523.453	529.099	最後因為他三番兩次犯罪,而且不斷的因為嫉妒的關係,追殺大衛。
529.099	532.763	所以聖靈早就離開他了,邪靈天天攪擾他。
533.473	546.765	而他沒有願意悔改來歸向神,反而是在跟非利士人大戰的前夕,跑去尹多爾找一個交軌的婦人求問。
546.765	550.888	那這就是罪上加罪,大錯特錯。
550.888	553.631	因此最後審判輪到他身上,使他被殺。
553.951	561.335	然後神把祂的拣選明確的落實在耶穌的兒子大衛的身上。
561.335	562.976	我們一起來禱告。
562.976	567.679	主我們今天再次回顧扫羅王他悲慘的一生。
567.679	571.381	曾經是那位謙卑在神面前的扫羅王。
571.381	608.228	但是因為他始終不願意把安全感 放在耶和華的身上他不相信神的拣選神必親自保護神必親自開路神必親自引領他反而把他的安全感放在百姓的身上把安全感放在王位的身上把安全感放在他的權柄身上因此他就不依靠神就被神棄絕求主憐憫我們讓我們這一生一世尊主偉大 主啊,祢才是真正的萬王之王。
608.228	613.694	願我們一生依靠祢,不做糊塗人,走信靠祢的道路。
613.694	615.576	奉主耶穌的名祷告。
615.576	616.337	阿們。
616.337	617.538	願神賜福大家。
