start	end	text
18.626	23.474	弟兄姊妹平安，我們繼續按照每日嚴經事宜的進度繼續來思想。
23.474	24.596	歷代志下第十二章。
26.169	36.615	第一節,羅伯安的國建立,他強盛的時候,就離棄耶和華的律法,以色列人也都隨從他。
36.615	39.977	哇,真的是走他爸爸晚年的道路。
39.977	47.242	他爸爸也是依靠神,神與他同在,就強盛,國衛兼顧。
47.242	55.687	但後來他的父親在晚年就離棄神,以至於後來國家就衰弱,甚至傳給兒子的時候,南北也分裂了。
56.459	83.329	但是我們可以看見很不幸的羅伯安跟他父親走一樣的道路這三年來他遵從耶和華的道結果神就使他弱小的國事變成強大所以他強盛的時候呢他就離棄耶和華的律法不再順服神的話 很快的祂的百姓也都隨從祂,一樣離棄神的話。
83.329	86.130	第二節,因此神就來管教他。
86.130	89.772	羅伯安王第五年,我們剛剛說他強盛了三年。
89.772	102.038	然後他在第五年的時候,神就興起埃及王釋薩上來,就是北上攻打耶路撒冷,因為王和民得罪了耶和華。
103.473	108.256	因此呢,神就來管教這個王跟百姓。
108.256	114.200	弟兄姊妹,如果神還肯管教我們,我們是有福氣的。
114.200	123.166	最怕神就像後來任憑埃及的法老,在這個出埃及記的時候,神後來是任憑埃及法老心剛硬。
123.985	125.346	那就完蛋了。
125.346	130.528	所以神還願意管教你我,代表神還把我們看為祂的兒子。
130.528	142.293	在新約聖經有說,我們被管教的時候,不要感到很絕望,反倒要感恩,因為神看我們是祂的兒子,才管教我們。
142.293	146.415	如果神不把我們當兒子,祂也不會管教我們。
146.415	172.228	我們繼續往下看, 這個埃及法老埃及王釋薩他就帶著戰車一千兩百輛馬兵六萬並且跟從他出埃及的還有其他的這個非洲的這些聯軍包含路比人蘇姬人這兩個都是北非的 民族詳細地點在哪邊,我們不是很確定。
172.228	176.431	另外有古時人,就是埃及南邊的蘇丹。
176.431	188.039	所以光是釋薩王,他的戰車就1200輛,馬兵有6萬,還不包含其他的北非聯軍。
188.039	192.802	所以他說,這個軍隊是多得不可勝數。
192.802	197.445	然後他就攻取了猶大的兼顧城,就來到耶路撒冷。
198.985	226.732	正當羅伯安自得意滿,他的城池被他修建得非常堅固,神就管教他,神就發動南部非洲的這些兵團,快速就把猶大的堅固城通通攻下了,讓這個驕傲的羅伯安跟驕傲的 南國的百姓灰頭土臉,大軍就來到伊路撒冷。
226.732	233.035	那時猶大的首領因為釋薩就都聚集在伊路撒冷。
233.035	244.061	有先知世瑪雅去見羅伯安和眾首領,對他們說,耶和華如此說,你們離棄了我,所以我使你們落在釋薩手裡。
245.009	249.511	這時候當他們通通不知道該怎麼辦的時候就聚集在耶路撒冷。
249.511	259.735	神就透過先知士馬亞對他們說話說這是出於我因為你們離棄我所以我就發動這個仕煞來攻打你們。
259.735	264.757	那我們就要看說他們對於神說話了他們的反應是什麼?
264.757	305.631	於是王和以色列的眾首領都自卑說耶和華是公義的 這讓我們看見當羅伯安願意再一次聽從神的話的時候我們就知道危機就要變成轉機了因為上次也是一樣上一次他本來要聚集他南部的部隊要北上去收復使徒可是神不允許派先知說話的那他們就順服在順服之後呢神就祝福他們使他們強盛了幾年 後來當然他們因為驕傲又離棄了神。
305.631	308.552	再一次他們願意來順服神。
308.552	311.674	他們說耶和華是公義的。
311.674	312.574	什麼意思?
312.574	316.396	耶和華這樣管教我們是有道理的。
316.396	317.857	我們心服口服。
317.857	319.338	我們認罪。
319.338	322.179	我們也願意接受耶和華的管教。
323.200	326.323	這樣的回應是不容易的。
326.323	333.229	他們有跟神抗議,或是說什麼,他們就說,神這樣子處罰我們是公義的,我們沒話講。
333.229	338.673	因此,王跟首領們都自卑,承認自己有罪。
338.673	341.436	這個很重要,我們往下看就知道了。
341.436	350.824	耶和華見他們自卑,耶和華的話就臨到世馬雅,說,他們既自卑,我必不滅絕他們。
351.510	405.316	首先, 百姓願意自卑而向神認罪悔改這就完全符合了在歷代之下第7章14節那邊所羅門王在獻殿的時候他就說了聖殿存在的意義在哪裡聖殿存在的意義就是世人難免都會犯罪軟弱跌倒 重點在於犯罪軟弱跌倒之後,被聖靈光照有沒有回轉過來,自卑,然後來到神的面前認罪,然後祈求神的赦免。
405.316	415.860	然後所羅門說,神啊,求祢在我們願意自卑悔改認罪的時候,求祢就挪去祢在我們身上給我們的懲罰跟災難。
416.596	421.142	因此這個時候他們就是照著這個所羅門的禱告所做的。
421.142	431.797	因此神也是信實的,神就說,我不會把他們滅絕,但是我還是要讓他們被釋撒,透過釋撒為來管教他們一下。
432.398	434.660	他們要給這個釋撒做僕人。
434.660	438.943	我要讓他們刻苦鳴心知道一件事情。
438.943	444.546	就是服侍我跟服侍釋撒、服侍外邦人有何分別?
444.546	446.208	讓你們自己去比較。
446.208	448.449	服侍誰比較好?
448.449	450.571	有時候神就是會這樣教育我們。
450.571	454.914	我們認罪悔改,我們最好不要跟神談條件。
454.914	460.217	我們應該像他們一樣說,耶和華這樣子管教我們是公義的。
460.217	460.878	我們沒話講。
461.613	463.476	那神請你開恩。
463.476	467.283	那你要怎麼樣﹐對待我們﹐我們都心悅誠服。
467.283	471.751	因為我們相信﹐落在你的手裡﹐比落在人的手裡﹐好多了。
471.751	472.533	因為你有恩慈憐憫。
473.780	478.383	那有時候神祂回應我們這樣的一個自卑的、認罪的悔改。
478.383	484.506	有時候神祂不一定會立刻把管教的痛苦,立刻全部挪走。
484.506	491.430	祂有時候會留下一部分,就會讓我們刻苦鳴心知道一件事情,免得以後再犯。
491.430	496.853	就是到底是服侍神,還是服侍偶像,服侍魔鬼。
497.193	500.116	服侍心中的罪惡,比較好。
500.116	508.823	他讓我們自己去,自己親自去體會,以至於我們就知道,我們應該好好來服侍神。
508.823	514.488	我們就往下看,第九節,於是埃及往仕薩,就上來攻取耶路撒冷。
514.488	574.854	真的把耶路撒冷佔據了, 但是他並沒有把耶路撒冷毀滅,也沒有奪走王的性命,他只奪了耶和華的聖殿以及王宮裡的寶物,盡都帶走,沒有把城滅了,也沒有把王和首領殺了,只是搶劫聖殿跟王宮的寶物一空,又奪去所羅門他曾經製造的金盾牌, 以至於後來羅伯安王他要製造銅盾牌來代替金盾牌交給守王宮門的護衛長看守王美逢進耶和華的殿護衛兵就拿了這個銅盾牌隨後仍將盾牌送回放在護衛房 神祂真的是管教我們,不是祂的目的,管教我們是祂的手段。
574.854	578.877	目的是要讓我們知錯悔改,以後不要再犯。
578.877	580.478	專心的侍奉神。
580.478	588.985	所以祂只是讓埃及人把金銀財寶奪走而已,然後讓他們對祂進貢。
588.985	591.406	祂沒有毀了一路撒冷,也沒有殺了羅伯安。
592.227	603.233	但是盧伯安他自己就製造了銅盾牌,來取代王公侍衛部隊被搶走的金盾牌。
