start	end	text
18.575	23.640	弟兄姊妹平安，我們繼續按照每日年輕事宜的進度繼續來思想。
23.640	47.343	歷代志下第27章約坦登基的時候年25歲他在耶路撒冷做王16年約坦他當王的時間是主前750年到735年 那總共16年的時間,但是前面10年基本上是跟他的父親烏西亞共同執政。
47.343	56.688	特別在他的父親後來因為不敬畏神,心高氣傲,長了大麻瘋之後,他就開始來總理國事。
56.688	61.071	他的母親名字叫做耶路撒,是薩都的女兒。
61.071	67.435	約坦行耶和華眼中看為正的事,效法他父親烏西亞一切所行的。
68.524	71.407	只是不入耶和華的殿。
71.407	77.612	代表說他有效法他父親烏西亞早年敬畏神的那些言行舉止。
77.612	90.343	但是他沒有效法他父親晚年心高氣傲、行事邪僻,以至於擅闖耶和華的聖殿裡面,強行要取代祭司來燒香。
90.964	93.246	這些他就沒有效法。
93.246	96.167	百姓還行邪僻的事。
96.167	109.636	這讓我們看見,他父親行事邪僻,影響到百姓,以至於在約談作王的時候,他沒有辦法完全矯正百姓這種行邪僻的心。
109.636	117.682	因此讓我們看見,其實建造一個大樓,時間非常的長,但是拆毀它卻非常的快。
117.682	133.640	烏西亞他之前敬畏神,但是他後來, 他就行事協僻,這個影響一直到他的兒子約坦當王的時候,百姓也仍然在行事協僻,因此讓我們引以為賤。
133.640	137.284	建造很辛苦,得來不易,但是摧毀它非常的快。
138.916	144.663	我們繼續來看約坦建立耶和華殿的上門。
144.663	151.831	代表說他在聖殿的地區繼續來修造建造。
151.831	155.875	在兒斐勒城上多有建造。
155.875	158.659	兒斐勒是在耶路撒冷城內的一個地區。
159.019	162.142	兒緋樂意思就是小山丘、小丘的意思。
162.142	163.683	地勢稍微高一點。
163.683	167.866	它就是在聖殿以南的地區,就叫兒緋樂。
167.866	176.974	又在猶大山地,就是屬於猶大支派的地方,猶大山地建造城邑,在樹林中建造營寨和高樓。
176.974	188.115	這邊讓我們看見雖然約坦 當國王的時間不是非常的長,但是他仍然盡心盡力的做他能夠做的,神也祝福他與他同在。
188.115	193.956	第五節,約坦和亞門人的王打仗,靠著神,他就勝了他們。
193.956	204.458	當年亞門人就進貢,一百他連德的貢銀,小賣一萬戈爾,大賣一萬戈爾,第二年第三年也是這樣。
205.128	211.650	代表說他靠著神的幫助,他也擊敗了亞門人,並且是亞門人來降服。
211.650	219.912	第六節,約坦在耶和華他神面前行正道,以見日見強聖。
219.912	229.015	非常感恩,因為他在神的面前走神的道路,神就賜福於他,使他慢慢的日見強聖。
229.889	238.415	我們很感恩沒有看見祂在日間強盛之後,就像祂的父祖輩一樣,就心高氣傲遠離神。
238.415	246.921	約坦祈禮的事和一切的徵戰,並祂的行為都寫在以色列和猶大獵王記上。
246.921	250.183	祂登基的時候,年25歲,在耶路撒冷坐亡16年。
250.183	254.626	約坦與祂獵主同睡,葬在大衛城裡。
255.520	258.869	他兒子亞哈斯接續他作王。
258.869	268.934	我們看今天有關約談的記載,其實篇幅非常的短, 看起來他也不是一個特別有明星光環的國王。
268.934	278.320	比起他的父親烏西亞,烏西亞是南北國分裂之後,南國最強大的一個國王。
278.320	283.383	約坦比起他的父親烏西亞,看起來是黯然失色。
283.383	291.188	比起他的祖父亞馬遜,亞馬遜那時候也是很強盛, 好像約坦也非常的暗淡。
291.188	301.155	再比起他的曾祖父約阿斯,約阿斯他成功扳倒了亞太利亞,重新復興了南國猶大的歷史。
301.155	312.143	因此約坦跟他的父祖輩,從約阿斯、亞馬謝到烏西亞比較起來,看起來不是什麼特別亮麗的一個國王。
312.824	334.993	但是有時候弟兄姊妹信仰真的是祂道路的選擇令我們值得深思雖然約談祂不像祂的父祖輩看起來這麼的亮麗這麼的耀眼 但他一生就是老老實實的,非常忠心的走在神的正道上。
334.993	339.675	他沒有像他的父祖輩,後來都心高氣傲。
339.675	345.837	他也沒有像他的祖父,跟他的曾祖父,後來都死於非命。
345.837	351.219	他也沒有像他的父祖輩,先勝後衰,在神的面前晚節不保。
352.039	379.461	代面我們這一生,不一定每個人都是能夠非常出類拔萃,做什麼豐功偉業,但是我們懇求神保守我們的心,深厚保守一切,寧可像約壇一樣,老老實實踏踏實實走神的道路,就算看起來不怎麼突出,但是這一生走神的正道,而且持守正道,直到見主面,我想這才是我們人生最令人羨慕的選擇,我們一起來禱告。
380.759	384.285	主啊,求祢保守我們的心,勝過保守一切。
384.285	388.132	求祢將約談的榜樣擺在我們的面前。
388.132	394.152	有時候我們喜歡與人比較,喜歡模仿別人, 甚至喜歡嫉妒別人。
394.152	397.093	但是主啊從約談的這個記載裡面。
397.093	400.193	我們學著生命的智慧。
400.193	402.794	就是我們盡心盡力走神的道路。
402.794	405.654	我們就算只有一千兩的恩賜才幹。
405.654	408.095	我們也好好的在主面前忠心。
408.095	412.496	就被神稱讚是忠心良善有見識的好僕人。
412.496	415.956	願我們這一生踏踏實實的走祢的道路。
415.956	417.797	寧可做一個約談。
417.797	419.797	不是那麼亮麗亮眼。
420.418	424.169	但是寧可我們在神的面前永不失腳。
424.169	425.813	奉主耶穌的名禱告。
425.813	426.656	阿們。
426.656	427.839	願神賜福大家。
