start	end	text
18.473	27.981	弟兄姊妹平安，我們繼續按照《每日言經事義》的進度,繼續來思想,《歷代志下》第33章的14節到20節。
27.981	54.918	此後,就是指這個馬拿西,這個南國惡名昭彰,最壞的國王,他在急難之中,他終於呼求他之前所厭棄的耶和華, 但是耶和華仍然垂聽他悔改的禱告,拯救他,並且讓他能夠從巴比倫被俘虜的地方,回到伊路撒冷,重新來做國王。
54.918	61.422	我們就來看,經過這件事情之後,馬拿西他對於上帝的態度有沒有來改變呢?
62.142	71.867	此後,馬拿西在大衛城外,從古內基遜西邊直到漁門口,建築城牆。
71.867	75.529	我們看見馬拿西回來之後,他就開始振作了。
75.529	84.914	首先他把這個遭到破壞的這個城牆,重新把它建築起來,環繞厄斐勒。
84.914	151.083	厄斐勒就是指在這個伊路撒冷聖殿以南, 這個稍微高起來的丘陵地也就是說他開始來兼顧大衛城外還有這個耶路撒冷城他們的城牆兼顧這個城牆之外也把這個牆築得甚高把他高度也提高又在猶大各個兼顧城裡面設立勇敢的軍長 我們看見他在內政在軍事方面他力圖振作十五節並且除掉外邦人的神像與耶和華殿中的偶像這些都是他之前悖逆神的時候他瘋狂的引進周圍所有國家的這些偶像神明甚至在耶和華的聖殿裡面 也放了他所雕刻的偶像,如今他都悔改,把他除去,又將他在耶和華殿的山上和耶路撒冷所築的各個壇都把他拆毀,拋在城外。
151.083	158.671	十六節他重修耶和華的祭壇在壇上, 獻平安祭、感謝祭。
158.671	160.613	不知道多久沒有獻祭了。
160.613	179.246	如今他悔改之後,重新整修祭壇,重新獻上他這個罪人蒙神的赦免之後,所獻上的平安祭、感謝祭,感謝神讓他能夠重新回來做國王,他心中充滿了感恩。
179.246	189.244	他也吩咐猶大人侍奉耶和華以色列的神, 百姓卻仍在秋壇上獻祭,只獻給耶和華他們的神。
189.991	218.272	我們可以看見馬拉西他想要來大大來改變他的百姓們對耶和華的態度但是我們看見影響力有限這個都怪他自己當初在伊路撒冷在猶大各地引入這麼多的偶像而且引誘他的百姓去隨從這些偶像現在要把他的百姓拉回來有點困難了 拉不是很回來。
218.272	243.039	所以他說,百姓他們不只只是在祭壇上,耶路撒冷聖殿的祭壇上來獻祭,他們也仍然在其他的秋壇上來獻祭給耶和華,代表說有調整,不像偶像獻祭,但是卻沒有專心的只在耶和華的聖殿的 這個同祭壇來獻祭。
243.039	246.161	代表這個迴轉是不完整的。
246.161	251.024	18節馬拉西祈禮的事和祷告他神的話。
251.024	255.747	並先見奉耶和華以色列神的名警戒他的言語。
256.067	258.948	都寫在以色列諸王記上。
258.948	260.969	就是寫在列王記上。
260.969	265.250	包含馬拿西他其餘許多的很壞的事情。
265.250	268.031	列王記裡面有更多詳細的記載。
268.031	276.054	我們可以看見歷代誌裡面針對南國的國王一些比較壞的事情記載的沒有那麼多也沒有那麼多的詳細。
276.374	297.486	不是要去隱瞞它的壞,而是更多的著重在鼓勵歷代製的讀者,就是這些貝魯歸回的以色列人,讓他們更多去記取有一些王他們的好的地方,也包含一些壞王後來悔改的事情,這些都會比較多琢磨。
298.387	303.230	好讓貝魯歸回的百姓,效法這些好的榜樣。
303.230	313.076	至於這些壞的部分,聖經也都不隱晦,在《列王記》上清清楚楚的具細靡遺都有記載。
313.076	323.493	甚至也包含說,這個馬拿西怎麼樣殘害, 許多奉耶和華的名來警戒他的這些先知們,怎麼樣被他殘害。
323.493	336.963	甚至連這個非常有名的先知以賽亞,據說也是在馬來西的任內,被馬來西活活地用鋸子,把他鋸成兩半,把他鋸死。
336.963	341.446	但是後來馬來西他就悔改了,神也接受他的悔改。
341.446	362.322	十九節他的禱告,與神怎樣應允他, 還有他為自卑以前的罪遷過犯,並且他在何處建築秋壇,他在何處設立亞瑟拉和雕刻的偶像,都寫在和賽的書上。
362.322	368.968	馬拿西與他的獵主同睡,葬在自己的公院裡,他的兒子雅門接續他作王。
369.428	393.363	我們透過歷代誌對馬拿西的記載,看見他壞的部分,聖經把它記載下來,作為給我們的警戒,也包含神對他的審判跟處罰,也提到他真的後來雖然悔改,但是他對百姓所造成的這些信仰上的誤導,已經不是可以完全拉的回來了。
394.360	397.042	這些壞的部分,聖經都有記載。
397.042	409.571	但是他這些自卑在神面前,認罪悔改,以至於神重新給他機會回來做國王的這一切的事情,這些好的部分,聖經也都把它記載。
409.571	415.095	其實我們這一生,我們好的部分,我們壞的部分,神都看得清清楚楚。
415.555	446.871	但是神更希望我們是能夠越來越好越來越能夠信靠神越來越能夠敬畏神我們透過這個南國最壞的國王南國有20個國王最壞的大概就是這個馬拿西這個國王當然那個篡位的亞塔利亞女王不算的話最糟糕的大概就是馬拿西 我們看見祂這一生有祂的這個壞的地方也有祂改過的地方神都把祂記得清清楚楚。
446.871	447.832	我們一起來禱告。
447.832	457.016	主我們看見連馬拿西這麼惡的王在祂願意悔改的時候 主啊,祢都願意給他機會。
457.016	461.038	主,我們還有什麼藉口,不來迴轉歸向祢呢?
461.038	472.586	願每一個在軟弱、過犯當中跌倒的人,都因為這樣的經文而再一次被主鼓勵,願意悔改來尋求真神。
472.586	477.369	主,幫助我們每一個人不是心硬,一直抵擋祢的光照。
477.369	482.912	願主在我們生命中彰顯祢自己, 赦免救恩的榮耀。
482.912	484.613	奉主耶穌的名祷告。
484.613	485.454	阿們。
485.454	486.794	願神賜福大家。
