start	end	text
18.507	22.809	弟兄姊妹平安，我們繼續按照每日年輕事宜的進度,繼續來思想。
22.809	25.491	歷代直下第8章的第12節到第16節。
25.491	42.841	所羅門在耶和華的祭壇上,就是在狼子前他所築的祭壇上,與耶和華獻繁祭,又遵著摩西的吩咐,在安息日、月朔,便一年三節。
42.841	43.841	哪三節呢?
43.841	46.263	就是除孝節,又叫做逾越節。
47.500	53.709	七七節,就是我們常知道的這個五旬節,還有祝彭節。
53.709	143.134	然後呢,按這三節,以及安息日月朔,祂都獻每日所當獻的祭, 這邊讓我們看見就是要交代因為在第八章的上半段有提到所羅門的全聖時期他是如何靠著神的同在祝福跟智慧能力能夠來處理許許多多複雜的事情 當然歷代誌這邊沒有交代所羅門晚年的失敗因為歷代誌最主要的目的是要來勉勵這些被辱歸回的以色列百姓應該來效法早年那些國王們他們忠心侍奉神的那些精神 所以他只提大衛忠心侍奉神的部分他也只提所羅門忠心侍奉神的部分而至於大家其實都早就知道的所羅門跟大衛他們的失敗的部分歷代志的作者就沒有提但是因為我們非常熟悉《列王記》所以我們之前在思想歷代志下第八章的上半段的時候我們就已經說明過 雖然這邊都只講祂的全聖時期,這是因為祂忠於神所立的約,然後祂持守祂的信仰,所以神就祝福祂,什麼事都可以處理得很好。
143.134	156.685	但是我們透過《列王集》也知道,這一些都處理很好的每一個部分,在祂遠離神之後,每一個部分都變成到處爆炸的地雷,我們真的是要引以為賤。
157.295	190.864	所以我們就更應該所以作者在這邊就告訴我們說第十二節到第十六節就告訴我們說所羅門是如何的不斷來持守這個摩西所吩咐的還有他父親大衛所吩咐的他都用心持守以至於神在他的全聖時期的時候神都一直與他同在所以我們剛剛看到的說十三節是說他在這個摩西的吩咐的部分他都是沒有怠慢而且發自內心的 來敬拜神，來遵行神的話語。
190.864	192.786	這是關於傳統的部分。
192.786	203.520	而十四節說,所羅門照著他父親大衛所定的例,派定祭司的班次,使他們各供幾室,祭司分成二十四個班次來服事。
204.053	213.140	又使立位人各盡其職,讚美耶和華,在祭司面前做每日所當做的。
213.140	218.684	立位人也是被分為24個班次來配搭祭司。
218.684	228.612	又派守門的,有一些立位人被派來做守門的,而這些守門的也按著班次來看守各門。
228.612	233.575	而這個部分是, 每一個禮拜輪班一次。
233.575	236.657	因為神人大位是這樣吩咐的。
236.657	239.258	為什麼這邊要稱呼是神人大位?
239.258	254.588	因為神感動跟啟示大位來調整祭司跟立位人一些侍奉的領域跟侍奉的輪班的規定。
255.725	265.374	我們就可以看見,神啟示摩西,頒布這些各種的律例。
265.374	268.457	這個部分,所羅門都有遵守。
268.457	297.282	而神後來又啟示了大衛, 讓他不需要再繼續拆搭帳篷拆搭會幕到處移動來移動去之後以後有一個固定的聖殿就不用再拆搭會幕移動了 既然是換了一個固定的聖殿,裡面的祭司跟立位人他們的服飾的形態,因應這個新的環境,就會有一些調整。
297.282	300.463	這是屬於比較更新的部分。
300.463	302.584	這個部分也是出於神的啟示。
302.584	314.308	也就是說,所羅門他遵守了摩西啟示的傳統,他也遵守了神啟示他父親做一些更新的部分的這些吩咐。
315.708	348.991	所以也給我們一個思想我們侍奉神有一些根本的原則根本的精神聖經明明有交代的有吩咐的我們就是忠心的去遵行而面對一些環境的變化以至於我們的服事的角度或是服事的方式敬拜的方式傳福音的方法有一些調整改變 這個是可以因著聖靈給我們的感動而去調整的。
348.991	360.280	這邊我們就看見所羅門他持守了摩西所吩咐的啟示的傳統,也遵行了他父親被聖靈感動,所以這邊稱呼是神人大位。
360.640	383.005	代表說是神吩咐大衛這樣子調整的這部分更新的部分所羅門也採用了非常靈活的來使用所以就這樣子所羅門都很忠心十五節王所吩咐眾祭司和立位人的無論是管府庫的或辦別的事的 他們都不違背。
383.005	392.996	所羅門建造耶和華的殿,從立根基直到成功的日子,供料具備,這樣耶和華的殿全然完畢。
392.996	484.670	這邊再次以聖殿為例, 就是說所羅門他建造耶和華的殿從一開始立根基到最後神祝福使得這些事工都非常的順利而且工料具備也代表說是從以前大魏時代就預備很多的這些材料也都預備的好好的所以事情都非常的圓滿服飾也非常的圓滿今天的經文就是在告訴我們一個很重要的重點就是說 我們就是忠於神的帶領,忠於神的帶領,包含所羅門他忠於摩西所吩咐的,也包含所羅門他忠於他父親被神感動的部分,不論是傳統還是更新的部分,所羅門都忠心的來遵行,以至於 如同這個第八章的第六節所說的所羅門心中所願意建造的神都使他恆同順利所羅門心中所願意心中所想要建造的包含這個商業軍事外交還有各方面這個國內的管理國外的這個發展陸運海運各方面只要是所羅門他心中 被聖靈感動,因為那時候祂是一個對的人,聖靈就引導祂,以至於祂心中想要怎麼做,出於聖靈的引導,祂就去做,神就與祂同在,就做得非常的順利,以至於怎麼樣?
