start	end	text
3.763	9.825	弟兄姊妹平安，我們一起來思想,民宿記第33章第40節到最後。
9.825	19.087	住在迦南的南地的迦南人,雅拉德王,聽說以色列人來了。
19.087	24.809	這邊是講到在迦南地的最南邊,叫做南地。
24.809	27.530	那時候在那邊盤踞的是雅拉德的王。
28.353	29.913	聽說以色列人來了。
29.913	32.174	我們在之前21章也看見。
32.174	36.215	因此呢以色列人就跟他們發生了戰鬥。
36.215	37.776	並且獲勝。
37.776	43.578	因此呢第40節以後就在講戰爭的得勝。
43.578	48.659	但是呢上帝沒有要他們繼續乘勝追擊。
48.659	52.120	從南邊一直往北邊打上去。
52.120	53.180	進入應許之地。
53.180	72.667	上帝帶領他們繞到約旦河以東 想要沿著約旦河的東邊一路北上,然後在河勢過了死海之後,再過河到西邊去,得地為業。
72.667	75.288	很可惜,以東人不願意借他們經過。
75.288	77.068	我們繼續往下看。
77.068	83.050	以色列人從荷爾山起行,安營在薩摩那。
83.050	86.151	從薩摩那起行,安營在普嫩。
86.817	94.058	從普嫩起行安營在阿伯阿伯是在死海的南邊代表什麼?
94.058	121.372	代表說他們原本想要借到這個約旦河以東這個以東的土地但是呢以東人不願意所以他們又只好撤退又往南走又來到死海的南邊然後往更東邊去繞道磨崖 以東摩押他們的後面的曠野往北走。
121.372	126.853	然後再找合適的地方穿越要過約旦河。
126.853	129.094	因此我們繼續往下看。
129.094	134.495	從阿伯啟行安營在以約亞巴林摩押的邊界。
134.495	138.336	這邊講的是摩押的後門在東邊的地方。
139.070	144.311	然後呢,從以約亞巴林起行,安營在迪本加德。
144.311	149.373	從迪本加德起行,安營在亞門迪比拉太陰。
149.373	156.274	再從這邊來到了尼泊山對面的亞巴林山那邊。
156.274	160.856	這邊已經走到了死海的東北角了。
160.856	163.476	往下看就可以看到死海。
163.476	166.097	那往前看可以看到應許之地。
167.039	182.102	48節從以巴林山起行,安盈在摩押平原,是在約旦河邊,在約旦河的東岸,在耶利哥的對面,隔著約旦河,西邊那邊是耶利哥。
182.102	191.463	他們在摩押平原沿著約旦河邊安盈,從伯耶斯墨子直到亞伯石亭。
191.463	194.504	這邊在民宿記25章有記載。
195.196	212.462	但在那邊他們就大大的犯罪,被米甸人跟摩押人的女子引誘去拜偶像,並且跟他們發生淫亂的關係,惹動神的憤怒,引發一場瘟疫,讓他們死了很多人。
212.462	245.365	第五十節,耶和華在摩押平原約旦河邊,耶利哥的對面就小喻摩西說, 你吩咐以色列人說,你們要過約旦河進迦南地的時候,就要從你們面前趕出那裡所有的居民,毀滅他們一切造成的石像和他們一切鑄成的偶像,代表石頭做的還有金屬所做的這些偶像,又要拆毀他們一切的丘潭。
245.365	245.745	為什麼呢?
247.005	253.109	你们要夺那地住在其中，因为我把那地赐给你们为业。
253.109	276.908	上帝之前是把这地赐给迦南人为业但迦南人大大玷污了神所赐给他们的地在那边拜偶像、行各样的罪恶因此神就兴起以色列人来取代他们把他们从神所赐的地赶出去 然後神就把這個地賜給以色列人。
276.908	280.589	53節,你們要奪那地,住在其中。
280.589	283.671	因我把那地賜給你們為業。
283.671	288.573	因此呢,以色列人不要忘記,這是神所賜給你們的。
288.573	295.236	上一手的這個領受土地的人,做得不好,得罪神。
295.236	296.876	神把他們趕走。
296.876	302.937	神給他們很長時間的 悔改的機會,長達四百年悔改的機會。
302.937	318.705	當初四百年前,神就跟亞伯拉罕說,迦南地要賞賜給你跟你的後裔,但是你們要四百年後才能夠領受,因為我還願意給這些迦南地的百姓,四百年悔改的機會。
318.705	325.329	很可惜,他們沒有把握,所以神要把他們完全趕出去,神所賜的土地。
325.329	333.979	五十四節,你們要按迦氏念究, 人多的,要把產業多分給他們。
333.979	337.740	人少的,要把產業少分給他們。
337.740	340.621	捏出何地,給何人,就要歸何人。
340.621	343.922	你們要按宗族的支派承受。
343.922	348.424	分土地,誰分得多,誰分得少,就看你們人口數。
348.424	352.125	這讓我們想起來,曠野時候吃馬拿也是一樣。
352.125	357.707	馬拿也是按照每一個帳篷的人口數的範量,來給予多和少。
358.524	359.705	代表怎麼樣?
359.705	391.809	代表神祂其實是公平的上帝祂所賜給每一個人都是一樣的份量一樣的瑪拿一樣土地面積的大小平均每一個人所收到的都是一樣然後呢祂說這個55節倘若你們不趕出那地的居民上帝要他們把這些加拿大人全部趕出去 那上帝怕他們沒有貫徹上帝的命令。
391.809	405.817	所以,你們如果沒有把他們趕出去所容留的居民,就必做你們眼中的刺,勒下的荊棘,也必在你們所住的地上擾害你們。
405.817	412.321	而且我素長有意怎樣待他們,也必照樣待你們。
412.321	421.291	神警告他們, 要把這些不配繼續住在神所賞賜的土地上的迦南人全部趕出去。
421.291	425.092	不然他們會引誘你們,跟他們一樣。
425.092	430.613	所以呢,我以前怎麼樣對待他們,把他們趕出去。
430.613	437.375	如果你們最後跟他們一樣的話,我也會照樣把你們趕出去。
