start	end	text
3.729	31.032	各位姊妹平安，我們按照每日連經事宜的進度一起來思想民宿記第三章在第一章跟第二章裡面分別描述了數典十二支派的人數以及描述他們在部隊要往前進去得地為業的行軍的途中 十二支派要怎麼樣站他們的戰鬥位置,如何安營。
31.032	44.856	那到第三章就要開始交代,那立位人,他們的人數,數點的結果,以及他們在行進的過程中,他們所要站的位置,和帳篷要怎麼安放。
44.856	55.209	基本上呢,最中央就是神的帳幕,裡面有神的約櫃,然後擴大的內圈, 就是由立位之派来包圍。
55.209	59.992	然后再往外的外圈,就是由十二支派来包圍。
59.992	61.792	我们就来看第三章。
61.792	66.675	第一节,耶和华在西乃山小遇摩西的日子。
66.675	69.156	亚伦和摩西的后代如下。
69.156	77.800	亚伦和摩西,他们是立位之派,哥辖族里面的一个家族。
77.800	81.762	亚伦的儿子,长子名叫拿达,老二叫做雅比户。
82.381	84.601	老三叫做以利亞撒。
84.601	86.762	老四叫做以他馬。
86.762	88.262	這是亞倫兒子的名字。
88.262	91.723	都是受膏的祭司。
91.723	98.064	他們在出埃及記29章還有立位記第8章分別都有提到他們受膏。
98.064	103.745	受膏的意思就是代表他們是上帝的仆人。
103.745	106.286	然後神把他們分別委聖出來。
106.286	109.706	要他們去完成神要給他們的任務。
109.706	120.485	因此就會用貴重的膏油 膠冠在他們的頭上,來代表他們是被上帝分別為聖,被高抹的受高者。
120.485	129.149	那這個他們是摩西叫他們承接聖職供祭司的職份。
129.149	134.191	摩西是亞倫的弟弟,所以也是這亞倫四個兒子的叔叔。
134.957	137.778	那摩西叫他們承接聖職。
137.778	144.680	承接聖職,他希伯來原文的字面意思就是,交付在他們手中。
144.680	156.103	也就是說,上帝把一個重大的使命,交付在這些仆人們的手中,好讓仆人們去完成上帝的托付。
156.103	159.284	那第四節,拿達雅比戶在西乃的曠野。
159.923	164.126	像耶和華現反火的時候,就死在耶和華面前了。
164.126	166.488	他們也沒有兒子。
166.488	176.194	他們是受膏者,但是受膏者如果犯罪,神是一樣嚴厲的審判、管教,甚至是處死。
176.194	180.798	那他們是在立位記第十章的時候記載他們怎麼死亡的。
180.798	211.594	因為在前一章第九章,他們看見他的父親亞倫就任大祭司的時候,亞倫他拿著他自己, 雅倫她拿自己的香爐,進到會幕裡面去,在這個至聖所前面的那個幔子,那個布蓮的面前有一個金香壇,然後在那邊燒香,然後點火,取火燒香,讓那個新香之氣能夠傳到耶和華的面前。
211.594	255.738	那當他們從會幕裡面出來的時候, 就有一個非常奇妙的景象竟然從會幕裡面有火就是很難以想像有火就噴出來然後噴到這個會幕以外的同祭壇上面然後就火就整個大大的燒旺起來所有的以色列會眾看到都非常驚訝因為知道神與他們大大同在所有人都很開心然後福福敬拜耶和華那亞倫的兩個兒子呢 他們看見祂的父親,這個神彰顯這麼大的榮耀,與祂的父親同在,很可能兩個人就心就癢癢的,就也想要來模仿一下。
255.738	270.640	可是神並沒有叫他們這樣做,他們卻想要跟祂父親做一樣的動作, 所以當這兩兄弟進到會幕裡面去,要做一樣動作的時候,耶和華直接在會幕裡面,就用火把他們燒死。
270.640	281.564	這也是提醒我們,有時候我們這些服侍的後輩,看見這些服侍的前輩們,神這樣重用他們,而把榮耀加添給他們。
281.564	292.405	我們這些後輩們,有時候不要貪圖那種舞台上虛浮的榮耀,就想要用一些不討神喜悅的虛浮, 浮誇的方式。
292.405	298.308	然后迅速取得赞美、掌声和舞台的这些灯光。
298.308	302.431	那我们就看见那老大老二死的时候他们也没有儿子。
302.431	312.297	所以呢老三老四以利、亚撒跟以他玛就在他们父亲亚伦的面前接替这个祭司的职份。
312.297	315.999	第五节耶和华就小谕摩西说你使立位之派进前来。
315.999	319.621	站在祭司亚伦的面前好服侍他。
320.333	326.496	替他，他就是亞倫和會眾，在會幕前，守所吩咐的。
326.496	327.177	做什麼呢?
327.177	329.178	辦理帳幕的事。
329.178	339.824	立位之派的這些立位人，特別被分別維生出來，協助祭司，來完成在會幕一切所要做的工作。
339.824	347.388	第八節,又要看守會幕的器具，並守所吩咐以色列人的，來辦理帳幕的事。
347.995	351.378	你要將立位人給亞倫和他的兒子。
351.378	364.808	就是立位人是要分別出來這個協助或是聽命於祭司就是大祭司亞倫跟他的兩個兒子祭司的話的命令。
364.808	378.777	因為他們是從以色列人中選出來給他的 你要嘱咐亚伦和他的儿子﹐谨守自己祭司的职任﹐而近前来的外人必被致死。
378.777	396.586	也就是说十二支派的人是不能随随便便就进到哀敬耶和华的会幕这边就代表说他就是对神随随便便 然後呢這個是會被處死的。
396.586	398.387	那利未人自己也是。
398.387	401.690	如果利未人你不是祭司。
401.690	403.712	你是不能進會幕裡面的。
