start	end	text
3.609	5.090	弟兄姊妹平安，我們一起來思想。
5.090	8.911	民宿記35章9節到最後。
8.911	20.817	第九節,耶和華小域摩西說,你吩咐以色列人說,你們過約旦河,見了迦南地,就要分出幾座城,為你們做陶城。
20.817	32.262	我們從35章的上半段講解的時候就知道,根據約蘇亞記的記載,約旦河以西有三座陶城,約旦河以東有三座陶城。
33.080	36.842	使誤殺人的可以逃到那裡。
36.842	47.408	這些城可以做逃避報仇人的城,使誤殺人的不至於死,等他站在會眾面前聽審判。
47.408	54.571	以前的法律就是殺人者償命,以牙還牙,以眼還眼。
54.571	60.755	因此如果你殺了我們這個家族一個人,我們全家族人都可以去殺你。
61.476	94.919	但是其實對神來講這要分是故意謀殺還是不小心才發生意外而讓另外一個人死那上帝看重的是動機祂看的不是只有外面因此上帝要讓那些誤殺人的可以逃到逃城讓他們不至於被仇家追殺然後呢他們 的案子需要在會眾面前聽審判,來判斷你是故意殺人,還是你是不小心殺人。
94.919	106.368	十三節,你們所分出來的城要做六座陶城,在約旦河東要分三座,迦南地也要分三座城。
106.368	111.093	這六座城要給以色列人和他們中間的外人並寄居的作為陶城。
112.039	130.294	很感謝神,包含那些跟著以色列百姓一起出埃及的那些外人跟寄居者,他們也能夠在上帝的恩典的遮蓋下使用逃城來作為誤殺人的時候可以去的避難所。
130.294	134.778	第16節就開始來分辨什麼叫故意殺人?
134.778	136.640	什麼叫做非故意殺人?
137.654	146.460	倘若有人用鐵器打人,以致打死,他就是故意殺人,故意殺人的必被致死。
146.460	153.024	若是用可以打死人的石頭打死的人,他就是故意殺人,他也要被致死。
153.024	160.710	十八節,如果是用可以打死人的木器打死人,他也是故意殺人,必被致死。
160.710	169.665	所以用這些凶器, 包含鐵器,可以把人打死的石頭跟木頭,那他就是屬於故意殺人。
169.665	174.626	報血仇的必親自殺那故意殺人的,一遇見就殺他。
174.626	190.409	人若因怨恨把人推倒,或是埋伏往人身上任務,以至於死,或是因仇恨用手打死人,以至於死,那人必被自死,因為他是故意殺人的。
190.947	194.449	報血仇的余意見﹐就可以殺他。
194.449	214.040	這邊講到是怎麼樣﹐因為各種的怨恨、仇恨﹐然後雖然不是用鐵器、石頭、木器﹐而是怎麼樣﹐是把他推倒﹐或是埋伏暗殺他﹐往他身上扔東西﹐或是因為仇恨﹐用手把他打死﹐這個就是故意殺人。
214.040	219.382	二十二節就來講什麼叫非故意殺人。
219.382	227.597	倘若人沒有仇恨﹐ 忽然將人推倒,沒有埋伏,而不小心把物扔在一個人身上。
227.597	237.661	或是他沒有看見的時候,他沒有注意看,然後呢,結果不小心用可以打死人的石頭扔在那個人身上,以至於死。
237.661	240.603	本來與他無仇,也無意害他。
240.603	245.685	就代表說他完全跟這個人無冤無仇,真的是意外,把人打死了。
246.476	309.685	二十四節惠仲就要按照典章在打死人的和報血仇的人中間兩方中間做審判惠仲要救這誤殺人的脫離報血仇的人也要使他歸入陶城他要住在其中只等到受聖膏的大祭司死當一件命案發生惠仲要按照上帝的律法來審判 如果發現真的不是故意殺人的那惠仲就要救這個人然後打發他趕快逃往桃城去那這個報血仇的人不可以追殺他那那個人他就住在桃城裡面不可以隨便的跑出來只等到大祭司死了他才可以離開那個桃城而他的仇敵也不可以再殺他 因為大祭司就是代表以色列全體會眾。
309.685	316.571	大祭司的死,彷彿代表著大祭司為全體會眾而死,為他們贖罪。
316.571	325.117	當然我們後來看見有一位永遠的大祭司,就真的做這樣的事,他就是耶穌基督。
325.117	326.779	26節我們繼續往下看。
326.779	335.147	但誤殺人的,無論什麼時候,若逃出了逃城的境外,那報血仇的, 為什麼這樣講呢?
335.147	393.990	就算你是不小心殺了一個人但那個人真的也是死了你也真的是殺了人只是你不是故意的所以呢 你也不可以隨便的逃離開逃城的範圍只等到大祭司死的時候彷彿大祭司為你贖了罪你那時候才可以離開逃城二十九節這在你們一切的住處要做你們世世代代的利率典章無論誰故意殺人也要憑幾個人做見證的口 把那故意殺人的殺了,只是不可憑一個見證的口叫人死。
393.990	404.617	這邊講到說,審理案子的時候要有證據,不可以造謠陷害人,做假見證陷害人,這是實界所不允許的。
404.617	412.923	因此,不可以只有一個人做見證就定了案子,總要有幾個人都做見證,才可以作為足夠的證據。
413.575	416.376	這也是遵守十誡。
416.376	423.920	31節,故意殺人犯死罪的,你們不可收贖駕,代替他的命,他必被致死。
423.920	429.222	殺人則死,因此不可以用贖金把他贖回來。
429.222	438.446	32節,那逃到逃城的人,代表他是非故意殺人的,你們也不可為他收贖駕,因為他真的也是殺了人。
438.446	442.548	殺了人這件事情,在神眼中是很嚴重的事。
443.080	447.822	就算你是誤殺的,人也不可用贖金把你贖回來。
447.822	449.322	你只有怎麼樣?
449.322	457.485	使他在大祭司未死以先再來住在本地,等到大祭司死了。
457.485	461.527	彷彿大祭司的死是替你贖罪,你才可以離開桃城。
461.527	467.009	這樣你們就不污穢所住之地,因為血是污穢地的。
467.009	476.615	就是說殺人流血是會 因為那個地是屬神的。
476.615	483.538	神把上一任得到這個地的這個受恩惠的迦南人趕走了。
483.538	486.200	地也不是屬迦南人的。
486.200	488.060	是上帝賞賜給他們的。
488.060	490.882	但他們不珍惜在上面犯罪。
490.882	493.703	特別是犯了很多拜偶像的罪。
493.703	496.885	跟犯了殺人流血的罪。
496.885	497.325	玷污那地。
497.892	530.497	神就把他們趕走要恢復那個地的聖節因此如果以色列人在上面也殺人流血那也是玷污那地所以這個就需要贖罪若有在地上流人血的非流那殺人者的血那地就不得潔淨因此我們看見不得潔淨原文就不得贖隨便殺人這個是 不能被贖罪的,他是要被自死的。
530.497	539.822	三十四節,你們不可玷污所住之地,就是我住在其中之地,因為我耶和華住在以色列人的中間。
539.822	555.212	我們在讀明書記第五章的時候講到,營地裡面要保持聖潔乾淨,因此有傳染病的,有摸過屍體的,有血漏的,這些都要到營外去潔淨才可以再回來。
555.811	559.333	耶和華說,因為我住在你們營地當中。
559.333	578.705	這邊也是一樣,上帝不是只把以色列人帶進應許之地,上帝就拍拍屁股走了,沒有,神與他們一直同在,神也一直住在應許之地裡面,跟他們同住,因此不可以隨隨便便讓殺人流血的罪,玷污了神所住的那塊聖地。
578.705	586.585	我們一起來禱告,主祢判斷人的時候, 你是耶和華不向人看人。
586.585	587.865	人是看外貌。
587.865	589.826	耶和華是看內心。
589.826	594.727	因此主祢教導我們要像祢一樣分辨人裡面的動機。
594.727	596.467	分辨什麼是故意的。
596.467	598.568	什麼是不小心的。
598.568	603.769	主祢也常常聖靈提醒我們不要故意去犯罪。
603.769	609.191	在十五章我們知道這個叫做高舉雙手去犯罪。
609.191	610.571	善感行事去犯罪。
611.237	615.199	這是無法透過獻祭來贖罪的。
615.199	632.490	主啊,求祢恩待我們,因為你看見我們世世代代的人根本也沒有辦法透過獻祭的條例來赦免我們很多的罪,因為我們太多的罪都是故意犯的,根本透過獻祭解決不了。
633.012	646.545	因此你自己這位慈悲忠心的大祭司,就替我們的罪死在十字架上,贖了我們的罪,使我們不再被罪追討我們的罪孽。
646.545	660.344	主啊,我們要一生一世依靠祢,不離開祢的範圍,如同不離開逃逞的範圍,要一生躲在祢翅膀的印下, 順服祢,被祢帶領奔走天路。
660.344	661.968	奉主耶穌的名祷告。
661.968	662.731	阿們。
662.731	664.215	願神賜福大家。
