start	end	text
3.831	10.396	弟兄姊妹平安，我們一起來思想,民宿祭第七章的全部,一直到第八章的第四節。
10.396	19.842	這邊開始要來回顧,在民宿祭的時間之前,因為民宿祭是他們出埃及的第二年的二月。
19.842	31.566	然後現在要開始回顧一下,在他們出埃及的第一年的年底, 他們把這個整個聖殿、會幕都支搭起來了。
31.566	41.568	製造完畢之後,那這個十二支派,他們紛紛為會幕還有同祭壇,獻上他們的奉獻。
41.568	45.309	那我們就來看一下這段回顧。
45.309	50.630	摩西立完了帳幕,就把帳幕用膏抹了。
50.630	51.610	膏其實就是膏油。
52.705	62.889	使祂成聖,又把其中的器具和壇,指的是銅器壇,並壇上的器具都抹了,使祂成聖。
62.889	77.676	我們在摩西五經裡面看見,成聖有兩種途徑,一種是用膏油塗抹祂,使祂成聖,成聖的是分別為聖歸給神。
77.676	91.368	那第二個就是用那個贖罪祭的血, 然後來彈或是塗抹在器具上面,就使祂成聖。
91.368	101.753	因此我們在現實的生活裡面的應用,就是透過聖靈的高抹,以及基督的保血。
101.753	106.916	聖靈的高抹就是代表那個油,然後血就代表基督的保血。
106.916	125.944	我們需要透過聖靈不斷在我們生命中的感動跟帶領, 以及透過耶穌基督十字架為我們所流出的寶血使我們的生命可以稱義並且成聖不斷的走在和神喜悅的道路上。
125.944	140.656	我們繼續來看一下第二節當天以色列的眾首領就是各族的族長都來奉獻他們是各支派的首領 管理那些被屬的人。
140.656	142.157	這邊讓我們看見。
142.157	144.459	各支派的這個。
144.459	145.079	組長呢。
145.079	147.321	他們是軍事的領袖。
147.321	148.662	也是宗教的領袖。
149.787	155.313	第三節,他們把自己的貢物都送到耶和華的面前。
155.313	160.237	就是有六輛棚子車和十二隻公牛。
160.237	166.704	每兩個首領奉獻一輛車,每首領奉獻一隻牛。
166.704	170.227	他們把這些都奉到帳幕前。
170.227	173.451	看起來就是一輛車配兩隻牛。
174.394	175.455	那做什麼用的呢?
175.455	177.217	待會他會解釋。
177.217	188.969	第四節,耶和華就小喻摩西說,你要收下這些好作惠穆的使用,都要照立位人所辦的事交給他們。
188.969	194.896	所以這牛跟車是要交給立位人來使用的。
