start	end	text
19.002	23.425	我所沉冥在你面前的這一切咒詛都臨到你身上。
23.425	78.198	你在耶和華你神追趕你到的萬國中,必心裡追念祝福的話, 你和你的子孫若盡心盡性歸向耶和華你的神照著我今日一切所吩咐的聽從祂的話那時耶和華你的神必連續你救回你這被擄的子民耶和華你的神要迴轉過來從分散你道的萬民中將你召聚回來 你被趕散的人,就是在天涯的。
78.198	82.003	耶和華,你的神也必從那裡將你召聚回來。
83.319	122.999	第一節摩西說我所成名在你們的面前這一切的咒詛都會臨到你們身上因為你們悖逆不信的緣故所以你們在耶和華你的神追趕你到萬國中好像耶和華是你們的仇敵在外面拼命的追殺你們然後你們只能逃到萬國去其實就是你們國破家亡被辱到外地去做奴隸 那個時候,必心裡追念祝福的話,當你們被耶和華的審判管教來追趕你們的時候,這個咒主就追上你們,追趕你們。
122.999	128.844	而那個時候,你就很盼望追趕我的不是咒主,而是祝福。
128.844	138.191	所以人都是這樣,當你在被管教的時候,因為違背律法, 犯罪的緣故,所以罪的苦果一直追上你。
138.191	141.033	那時候你就會,心裡面就有感覺。
141.033	144.857	你就希望說追上你的是祝福,而不是咒詛。
144.857	155.826	第二節,你和你的子孫到那個時候,如果願意盡心盡興的,就是代表是真心真意的,要迴轉歸向耶和華靈的神。
156.630	165.859	那照著我近日一切所吩咐你的,就是你願意老老實實聽從神的話,就代表你真心想悔改。
165.859	169.822	而且悔改不是只是為了解決你的管教問題而已。
169.822	178.230	悔改是想要打從心裡面求神幫助你,願意順服神的話而過容神一人的生活。
178.831	187.675	那時候耶和華人的神就會連續你,然後救回你這個被仇敵擄去的子民。
187.675	199.780	耶和華人的神祂也要迴轉過來,從分散你到萬民的當中,把你重新召聚回來,彷彿是一個重新的新的出埃及。
201.135	206.597	舊的出埃及是帶領你們離開埃及,經過曠野,進入應許之地。
206.597	215.201	新的出埃及是把你們從貝魯之地,把你們救回來,重新給你們一次機會,讓你們可以重返應許之地。
215.201	216.762	所以這很像一個新的出埃及。
217.722	237.771	其實在我們的生命裡面每天都在上演新的出埃及記這都是神的恩典第四節你這被感善的人就是不論你是在天涯還是海角耶和華你的神也必從那裡將你召聚回來 有人說我已經離神這麼遠,我還回得來嗎?
237.771	245.798	弟兄姊妹,天離地有多高,神就讓這個罪離你有多遠。
245.798	252.303	因此,重點在於你願不願意相信,耶穌基督在十字架上已經擔當你一切的罪。
252.944	264.786	不論你是一個什麼樣的罪﹐或是你是怎麼遠離神﹐你只要願意﹐就如同經文所說的﹐就算你是在天涯﹐耶和華要把你召聚回來。
264.786	268.127	好,我們接下來讀第五節到第十節。
268.127	280.769	耶和華你的神必領你進入你列祖所得的地,使你可以得著,又必善待你,使你的人數比你列祖眾多。
282.193	296.346	耶和華你神必將你心裏和你後裔心裏的污穢除掉,好叫你盡心盡性愛耶和華你的神,使你可以存活。
296.346	303.972	耶和華你的神必將這一切咒詛加在你仇敵和恨惡你逼迫你的人身上。
305.179	316.268	你必歸回,聽從耶和華的話,遵行他的一切誡命,就是我今日所吩咐你的。
316.268	339.977	你若聽從耶和華你神的話,謹守這律法書上所寫的誡命律例,又盡心盡信歸向耶和華你的神, 祂必使你手裡所辦的一切事,並你身所生的,牲畜所下的,地土所產的,都綽綽有餘。
339.977	347.302	因為耶和華必在喜悅你,降服於你,像從前喜悅你列祖一樣。
349.906	358.308	第五節,耶和華你的神必領你,重新進入你列祖所得之地,使你可以得到應許之地。
358.308	362.129	並且祂又必善待你,祂要恩待你、施恩於你。
362.129	369.570	你是不配得的,但是神的恩典憐憫太大了,祂願意重新給你機會。
369.570	375.672	祂再次使你的人數多起來,甚至比你的列祖還要更多。
375.672	377.172	真的是恩上加恩。
378.353	384.561	然後呢,第六節,耶和華你的神還要進一步根治你生命的問題。
384.561	390.149	祂要將你心裡,還有你後裔的心裡的污穢除掉。
390.149	391.911	祂解決你心裡面的犯罪的問題。
392.688	397.611	祂要斷絕罪的惡根,在你的生命當中。
397.611	406.076	我們到新約當然知道,這只有藉著主耶穌基督十字架的巨恩的大能,才有辦法達成這樣的一個果效。
406.076	411.078	所以神要在我們心中除掉誤會, 那目的是要教我們怎麼樣?
411.078	416.680	教我們這個人真的可以,盡心盡性的愛耶和華靈的神。
416.680	421.301	這也是生命記的精神,Shema,聽啊!
421.301	425.742	你要盡心盡心盡力,愛耶和華靈的神。
425.742	429.003	那這需要上帝自己幫助我們,我們才有辦法。
429.889	448.277	那當我們願意盡心盡心愛耶和華我們的神的時候,我們就會遵守祂的律法,我們就可以信得過神,吩咐我們一切要遵行的話,都是為了我們好的緣故,都是為了祝福我們緣故,都是為了救我們不致滅亡,反得永生的緣故,那這樣我們就可以怎麼樣?
448.277	449.818	存活。
449.818	460.507	第七節,耶和華你的神必將這一切的咒詛, 反過來加在你仇敵以及恨惡你、逼迫你的人身上。
460.507	471.917	之前是百姓悖逆犯罪,神就認平一些仇敵,神就使用他們做一個工具,來刑罰、管教上帝的百姓。
471.917	507.709	但是當上帝的百姓知道錯了,願意悔改之後,可是這些 成為上帝管教百姓的工具還變本加厲自以為神任意的欺壓上帝已經悔改的百姓甚至還攔阻他們被辱歸回攔阻他們被辱歸回之後重建信仰生活那這些仇敵的這些惡行他們做得太過頭了太過分了甚至自以為神那這個神就會反過來把這些仇敵的悖逆 上帝就會審判他們。
507.709	513.952	所以咒詛、刑罰,就會變成加在這些仇敵的身上。
513.952	517.594	第八節,你必歸回聽從耶和華的話。
517.594	520.816	歸回之後的你,你會變成一個新造的人。
520.816	527.420	你會願意聽從耶和華的話,遵行他的一切誡命,就是我摩西今日所吩咐你,應當去遵行的。
528.114	574.455	所以你如果聽從耶和華你神的話謹守這律法書上所寫的誡命律例並且你打從心裡是盡心盡心的願意歸向耶和華你的神祂必使你手裡所辦的一切事並且你肉身所生的還有你的身處所生的還有你的土地所出產的都重新得著豐盛的恩典都會綽綽有餘 因此不要害怕說我曾經跌倒我曾經犯罪我曾經遠離神那都不是重點重點是神願意給你第二次的機會你願意信靠神信靠神的救恩而重新回到神的面前嗎?
575.094	577.335	那神就要讓咒主離開你。
577.335	580.256	要讓祂定要賜福給你的福。
580.256	582.076	一個都不漏的。
582.076	583.977	實現在你的生命當中。
583.977	585.918	而且是綽綽有餘。
585.918	590.279	因為耶和華祂必再一次來喜悅你。
590.279	591.440	再一次的降福於你。
592.466	596.209	像從前喜悅你的列祖一樣。
596.209	602.715	所以神是一個祂是不會去紀念你已經悔改的那些罪。
602.715	607.399	因為你所犯的罪,耶穌基督都已經為你承擔在十字架上了。
607.739	611.620	所以你願意悔改,神就不再紀念。
611.620	615.241	聖經講說這叫,就圖抹你的罪。
615.241	621.503	圖抹意思就是,把那個你所欠神的這些罪債,一筆勾銷。
621.503	622.644	這叫圖抹的意思。
622.644	627.045	所以神願意再重新的喜悅你。
627.045	631.887	如同喜悅你的列祖一樣,亞伯拉罕、以撒、雅各一樣。
631.887	632.527	我們一起來禱告。
633.882	641.606	主啊,求祢挽回我們,挽回我們,因為祢的本意是想祝福我們,而不是要咒詛我們。
