start	end	text
5.472	15.562	談到話語權﹐談到忠心﹐跟多元﹐也談到語法﹐甚至談到美學的進入。
15.562	28.174	但是會不會﹐強調真的人﹐會認為﹐太多美的角度﹐會讓真理有妥協性﹐強調善的人﹐會覺得﹐ 繁體中文，臺灣國語。
28.174	58.098	繁體中文， 臺灣的教會界,它一個真正該去掌握的一個核心的思想,或是一個核心的概念是什麼?
58.098	106.765	我想先來請問一下這個林老師,因為我知道智庫這一兩年有一個期待,因為我們過去很多人對基督教的一個核心的信念價值不太了解,所以我知道智庫這一兩年想要在人是按著上帝形象所造的,這個最根本的一個論點, 來讓社會大眾知道我們在相信什麼我們的基本信念是什麼林老師要不要跟我們來談一下這個問題我簡單回應一下聖經講得很清楚人是按照上帝形象被造但是他沒有明確地標示這指向個體或群體所以我們做一個廣義的運用人的價值是在於 人不只是上帝所造﹐而且是帶有上帝形象。
106.765	163.269	當把它延伸成群體﹐特別是信仰群體﹐教會的時候﹐我不知道我們所有的教會﹐有沒有這樣的一種覺醒﹐ 這是一個非常好的目標我們希望能夠喚起大家對基督教信仰最基本的觀點特別是基本的價值觀的重視免得好像我們在遇到一些社會議題的時候一下子就要進到應用 或者要進到表態但是我們一直沒有機會對我們的信徒做更好的基礎建造甚至沒有機會跟社會做更徹底的溝通周老師 難道這幾年教會對於人是按照上帝形象所造的論述還不夠嗎 的確,我們很少談這個,但在中共化裡面,這個其實也是一個很重要需要思考的一個部分。
163.269	183.883	談到這個人有上帝的形象跟樣式,提到說其實祂的兒子聚耶穌有祂的形象, 在這個東正教的裡面,其實他們會談到說,其實基督耶穌跟天父上帝本身是神的,基督耶穌是上帝的那個自然的形象。
183.883	193.669	我們是可以說是所謂的那個模仿的這個形象,我們跟神。
193.669	206.659	在東正教裡面所談到的那個, 聖像的這個部分本身就談到其實聖像本身可以說是一種藝術或者是美學的這種的形象。
206.659	214.725	那麼如果基督耶穌是神的形象那麼教會本身是祂的身體應該非常像祂,非常像祂。
214.725	223.051	所以那個當然在我們的這個傳統裡面我們比較沒有 重視聖餐。
223.051	228.054	聖餐其實就是一個很美的表達。
228.054	245.245	在聖餐的禮儀當中,聚接書本身的真正形象彰顯出來,也包括川牧師所講的脆弱,都在同一個議題裡面,可以包括在裡面來思想。
245.947	249.909	對,我覺得上帝的形象恐怕不能夠從我們人自己裡面去找。
270.811	310.603	如果我們想要在我們人裡面去找上帝的形象我們就找不到上帝的形象是創世紀我剛剛說上帝用祂的話語創造包括人的形象也是上帝說我們要照著我們的形象造人所以其實是上帝的說話然後把上帝的形象彰顯出來所以那個形象我覺得主要不是形狀因為耶穌來也不是家型美容 那個美其實我覺得是在那個形象是在關係當中 看啊,弟兄姊妹和睦同居,是何等的善,何等的美。
310.603	314.826	所以我覺得上帝的那個形象是在耶穌基督所顯出來的。
314.826	316.727	耶穌是上帝的兒子,那是關係。
316.727	319.590	聖靈是在父與子的關係當中。
319.590	328.316	然後耶穌基督來藉著聖靈使我們跟祂合而為因,然後我們彼此互相內住,我們在主裡面,主在我們裡面,我們彼此內在。
328.316	331.038	這是一個關係的形象。
331.038	335.181	所以我覺得上帝的話語不是一個命題性的話語。
335.862	347.625	雖然包含命題性的話語,但是其實是上帝對我們說話,祂對我們說我愛你,你是我的孩子,我要恢復在你裡面我的形象。
347.625	362.608	就是我沿著譚老師的這個關係,因為今天的教會在談神的形象的時候,人容易被教會系統化,就是說教會為了什麼是好的人,好的基督徒做了一個定義,那如果完成了教會的步驟一二三四,我大概就是一個好的。
363.148	368.149	怎麼樣讓今天的基督徒﹐可以有聖徒相同的恩典?
368.149	399.666	加爾文說過﹐真正認識人﹐就真正認識神﹐真正認識神﹐就真正認識神﹐但是那個人的複數形態﹐如果我們只是被教會單向度的定義說﹐這是一個好的門徒﹐或者是一個好的基督徒的狀態﹐比較可惜﹐我們會需要看到整個教會歷史的脈絡﹐其實有很豐富的故事﹐ 不只是看自己教會的歷史﹐是看整個教會史﹐它會為我們的聖徒相通﹐提供了一個更整全﹐或是更美好信仰﹐對於人的想像﹐不會只是﹐我也沒有執行教會﹐某一些事工而已。
399.666	405.411	宋牧師﹐如果觀眾朋友不是基督徒﹐聽我們講了半天都聽不懂﹐到底該怎麼辦呢?
405.411	421.199	我告訴你﹐其實我到現在﹐也聽不懂你們在講什麼﹐ 其實我覺得我們講那個上帝的美,我們會直接想到就是眼睛看到的美,可是其實那個上帝的美,很多時候就是像老師所講,是在關係裡面的。
421.199	429.046	所以如果以上帝的美為,我們以為的美去追求,那我們這邊都好像不夠格。
429.046	442.556	如果用耶穌的形象,無家行美樓,我們又勝過耶穌,所以應該不是在那個地方討論, 應該不是在討論那個美,那個美而是在關係中,跟神的關係,它會彰顯出來。
442.556	452.743	我是很認同,就是在關係裡面那個美是世界上沒有的,就是沒有一個群體可以有這麼獨特的聯合,或者合一。
453.183	454.163	沒有的。
454.163	462.766	政黨也好,俱樂部也好,他們都是帶著某種價值觀才在一起的。
462.766	466.548	我們不是為了某種價值觀,我們是因為上帝的恩典而在一起。
466.548	471.029	這個東西很美,也可以說是一種生態的美。
471.029	473.570	它就是不同的人連在一起,可是好美喔!
473.570	477.251	如果一個池子裡面全部都是同種魚,還滿噁心的。
477.251	479.572	有魚,有青蛙,有什麼在一起,好美。
479.572	481.093	我覺得那個美是這個樣子的美。
481.783	487.485	陳老師,你在商場上要活出上帝的形象容易嗎?
487.485	492.047	我覺得是非常不容易的一件事情,因為有很多很多的衝突。
492.047	504.152	尼泊爾曾經講說,人是因為被創造,所以他有有限性,但是他又有上帝的形象,所以他又非常想要超越,所以這是他產生焦慮的地方。
504.872	563.915	所以我在想只有美學這個部分能夠讓我們從現在的位置超越跳到上帝想要讓我們感受的那個位置這是很有意思的一個部分我們可以多在這上面做一點投資董牧師我知道你有很多非基督徒的朋友你都是怎麼樣去跟他們表達這個部分有關於人是按著上帝形象所造的 我覺得在關係當中人會看到那種美可是這不代表是美好的關係才會彰顯那種美很多時候那個美是透過饒恕是透過接納是透過在破碎當中我今天其實來的路上我看到一幅很美的圖畫就是我看到一個年紀跟我相仿的母親推著一個七八歲很明顯是需要特殊教育的孩子走在臺北的路上 然後我看那個孩子沒有行動能力,但是他被推著。
563.915	567.736	然後那母親年紀跟我差不多,他在推,沒有怨言。
567.736	569.536	然後我看他看著他的孩子。
569.536	574.978	我覺得那一刻我覺得好美,我第一個心中想的就是,這個母親年紀跟我相仿。
574.978	579.078	如果我有這樣的孩子,我的人生是什麼?
579.078	590.803	可是當我看到那個母親對孩子的那種委身的時候,我覺得哪怕她,我不知道她是不是基督徒, 但是我在那段關係當中看到上帝榮美的碎片。
