start	end	text
7.500	20.230	繁體中文，臺灣國語。
48.677	68.858	我想要提出是一個延伸性的問題,就是說如果我們只是比較注重個人性的這個靈修的方式,有沒有可能造成極大的一個排他性的效果,讓靈修只是侷限於個人與神的一種獨善關係,以及個人性的一種靈命的修煉。
69.599	78.442	我想耶穌在世界上的時候﹐祂有時候也會退到曠野﹐退到山上﹐去與神親近﹐去禱告﹐去領牌聖人旨意。
78.442	88.705	但是我們可以看見﹐在聖經裡面﹐更多的時候﹐耶穌是與天父一起來擁抱人群﹐一起來服侍這個世界上的在場者。
88.705	96.848	因此呢﹐靈修﹐它可以是﹐甚至也需要是﹐包含在場者的一種靈修方式。
97.568	131.076	靈修的場景往往會佈置成一個只有我自己跟神獨處的時間跟空間而且會刻意隱藏我現實生活當中所有的人事物這些在場者那我們會成為這樣刻意的安排的與神獨處的時空叫做密室但是它會產生一個問題就是當我們離開這個密室一回到我們原來所處的現實生活裡面的時候 那在場者就忽然全部揭露出來了。
131.076	138.819	原本讓你心煩意亂，或是困擾你的這些人事物，他又再次向我們發揮他的效力。
138.819	149.204	那因此呢，靈修者他回到現實生活裡面，看見在場者全然揭露之後，他容易感到挫敗，甚至覺得難以適應。
149.204	160.651	那這也會使得傳統的靈修， 它能夠發揮的這個果效﹐或是我們所期待的一些成長﹐會打折扣﹐甚至會有挫折。
160.651	179.925	因此呢﹐靈修需要不再單單只是自己﹐然後無視於環境中的在場者﹐而是需要操練﹐讓我們跟上帝在對話的過程當中的時候﹐操練也把我們真實生活中﹐在場的人事物也都向神來。
180.742	236.040	揭露甚至有時候是由上帝向靈修者來揭露我們生命中有哪一些人事物是在場者的事實這樣會幫助我們的靈修打開一種全視域完全更開闊的視域也會幫助我們回到現實生活比較能夠經得起考驗 如果我們能夠把我們真實生活裡面的在場者納入而且是刻意的去操練納入到我們自己與神對話的詮釋域當中以至於我們在與神對話的過程當中所從神領受的 不再只是關乎自己而已,而且甚至可以進一步為了神把我放在的這個環境跟場域裡面,到底神要讓我明白為什麼祂把我放在這個家庭裡面,這個教會裡面,甚至是這個國家社會裡面。
236.340	240.083	我們從神那邊所領受的可以更多。
240.083	246.609	進而能夠形塑一種與神之間﹐一種有群體關聯性的文化。
246.609	254.675	以至於我們無論在什麼時候﹐在什麼地方﹐我們都能夠進行這一種所謂的公共領修。
254.675	256.877	特別是在人群當中。
256.877	259.019	我們以聖經當中一個例子。
259.019	262.602	使徒保羅他坐船要到羅馬去上樹。
262.722	264.964	那時候他的身分是一個囚犯。
264.964	269.106	但是這個船就是在半路上遇到這個船難。
269.106	271.648	那時候其實大家認為都死定了。
271.648	277.632	但是我們看見保羅他自己從神那邊得著應許之後。
277.632	279.594	他不僅只是為自己來領受。
279.594	285.998	他也把他的領受告訴了在船上所有驚慌失措沒有盼望的人。
286.408	303.621	所以藉由保羅他把大家也拉進去跟神產生關係的過程中他就把其他的在場者帶進去與神的一種公共領袖的關係當中從而在患難裡面形塑出向神有盼望的一種文化。
303.621	322.436	我們在進行這個集體領袖退學會的時候我們常常還是比較習慣就是一定要找一個名講員或是可能對聖經比較了解的牧者來幫助我們 在這兩三天時間裡面﹐大量的去思想上帝的話語。
322.436	329.141	其實我們到退休會去﹐應該是更多的跟神建立關係﹐而不是跟那個講員建立關係。
329.141	343.113	包含我們跟神的對話﹐包含我們在場的每一個人彼此的聆聽﹐甚至在場的其他人﹐對我生命的一些引導跟幫助﹐我想這是都非常重要的。
354.497	367.922	我們一起來思想。
367.922	374.444	繁體中文，臺灣國語。
