start	end	text
7.432	15.198	繁體中文，臺灣國語。
48.763	59.743	對我來講我覺得靈修應該會是一個會遇的關係就是靈修 應該不是我很敬虔行為的表現。
59.743	63.545	靈修應該是我與上帝會遇的關係。
63.545	66.987	那這個事情跟我們每一個人的受造有關係。
66.987	73.090	因為創世紀一章十六節當上帝跟自己說我們要按照我們的形象我們的樣式造人。
73.090	76.632	人在那個上帝的相遇裡面他被創造了出來。
76.632	82.755	所以一旦這個創造從上帝而來的創造反映了上帝的形象那就是一個相遇。
82.755	87.920	上帝就是一個相遇 聖父上帝、聖子上帝、聖靈上帝,就是一位上帝的相遇。
87.920	94.428	那麼我們跟上帝之間的關係,當接上了,開始相遇了,其實祂就是靈修。
94.428	100.014	所以靈修應該是我與神的相遇,那進而祂就會是我也與人的相遇。
100.014	132.913	所以當上帝創造了亞當, 一人獨居不好就兩個人其實這兩個單位的出現當他們相遇了那是一種靈修所以靈修其實是一個群體性就是當人回到上帝受造的群體關係在這個相遇的過程那我把這件事情當成是一個靈修就是說靈修它跟相遇有關係當然它會有一個核心就是在神的話語裡面相遇 我覺得靈修材料是很難有公版的。
132.913	141.336	當然靈修材料它可以透過有一個集體的沉澱,它幫助我們,好像有跡可循,知道別人怎麼看這段經文。
141.336	147.118	但是我說沒有辦法有公版,那個意思不是否定有的材料,而是說結束我們一起寫材料。
147.118	157.944	當我們一起來讀聖經,我們可以透過那些公版提供給我們的一些像地圖一樣, 但是那個地圖再美﹐你得自己踏上那個旅程。
157.944	159.766	那踏上旅程就是要互捧一半。
159.766	162.328	我們一起討論神的話語。
162.328	164.830	我們一起討論這個靈修材料。
164.830	169.614	而真正經典的是﹐我跟我的朋友﹐弟兄姊妹﹐我們一起的這個過程。
169.974	177.537	那這樣的對話,一樣禱告,甚至我們帶著疑惑,帶著對這個經文的不明白,其實我們都正在靈修。
177.537	185.840	所以靈修其實不是一個結果的產出,就是說好像我們很準確的知道了,這段經文是在怎麼解釋這件事情而已。
185.840	188.961	它更是我們一同思想神話語的過程。
188.961	193.402	那當我們一起思想的時候,其實那就是在靈修。
193.402	200.365	當我們一起禱告的時候,甚至是一直為了某一件事情懸而未決,也不知道該怎麼判斷, 讓我們同心尋求。
200.365	202.647	這件事情它就是靈修。
202.647	212.775	如果靈修它是超過材料,那我們會說靈修的行動本身,就是一群人一起靈修,這個事情本身就是個材料。
212.775	215.037	所以我們一起靈修,就是我們一起在寫靈修材料。
215.657	224.060	當我們在小組裡面﹐大家一起這樣分享﹐那再加上彼此的回饋﹐我們就會發現﹐它有一點立體的感覺。
224.060	232.883	那這個立體的感覺﹐就是讓我們﹐可以透過一切討論神的話語﹐讓我們彼此有了一個﹐美好的經驗跟記憶。
233.183	264.101	如果靈修可以是我們一起讀,你看我們《創世紀》裡面第三章,亞當夏娃,其實他們第一次的第一個功課,跟靈修很有關係,就是當撒旦挑戰他們,到底上帝怎麼說,他們沒有一個對話,亞當夏娃他們沒有好好的討論,到底上帝一開始的時候怎麼說,因為彼此之間不再以神的話,為我們對話的焦點,就是各自獨立的, 以各自對於上帝話語的﹐記憶或詮釋出發。
264.101	265.442	那個就做判斷。
265.442	268.524	那結果就是﹐一個接著一個的犯錯。
268.524	277.070	但如果願意一起彼此的對話﹐那這件事情我想是很寶貴的﹐因為神的話就會讓關係﹐有了一個正確的焦點。
278.387	282.108	以神話語為焦點的群體。
282.108	283.408	它會是合神心意的群體。
283.408	286.308	而我們所做的事情就發現,它靈修無處不在。
286.308	288.989	我們在開教會的會議的時候,也是靈修。
288.989	292.189	我們在籌備,轉宣隊要做什麼做什麼。
292.189	296.750	這些事情其實我們常常回到神的話,祂提醒我們該怎麼做。
296.750	299.271	祂提醒我們該避免些什麼事情。
299.271	304.732	而這種討論本身,它跟任何一個事工沒有什麼衝突跟抵觸,就揉在一起。
304.732	306.452	我認為那就是一個靈修的過程。
318.763	328.509	我們一起來思想。
328.509	334.432	繁體中文，臺灣國語。
