start	end	text
1.971	23.405	繁體中文， 它的意思就是說,驕傲者無法入門。
23.405	31.090	你必須像小孩子,你才能夠讀懂聖經,入門要像小孩子。
31.090	39.095	第二就是說,也不是孩子們所能領會,就是你讀聖經,你入門,你一直做小孩子,你會開始讀不懂。
39.940	43.064	所以一方面要做小孩子是為了入門。
43.064	46.268	但是你進去以後你必須怎麼樣?
46.268	47.910	長大怎麼樣?
47.910	48.691	成人。
48.691	50.293	長大成熟。
50.293	52.636	你不能老是當小孩子。
52.636	55.079	但是你入門一定要當小孩子。
55.079	56.842	但進去你就不能當小孩子了。
59.684	92.261	他要表達是這樣當時他因為驕傲藐視聖經的質樸看不清楚裡面的聖文的奧義他不知道聖經的意義是隨著孩子的年齡而俱增你開始進去的時候你一定要像小孩子但是很快你就發現很深很深你做小孩子你就開始走不下去了因為聖經本來就很深但是你必須在他的面前你必須謙卑像小孩子你才能夠進去 我不屑成為小孩子,他無法入門。
92.261	96.642	而我滿腔傲氣,自視為偉大。
96.642	101.942	我想我們當中一定有人有那種到海邊去游泳的經歷。
101.942	107.823	我們台灣一般來講,西部海岸的沙灘比較平緩。
107.823	116.485	東部,像花蓮,特別是台東的那種海灘,我說的是沙岸,事實上是非常的斜。
118.251	121.752	如果你以西部的經驗,拿到東部去,你會不一樣。
121.752	125.614	因為我自己是台中人,我們那個西部海岸我去過很多次。
125.614	132.236	我們臺灣好像西部一直在浮上來,東部好像有一點在下沉。
132.236	137.638	那因為浮上來,就有時候那個海那個退潮要走兩三公里。
137.638	140.559	兩三公里你才能夠摸到海水。
140.559	143.540	就退得很遠,整個都很淺。
143.540	147.181	那你如果再踏上去,你可能還要走五百公尺才會到這裡。
148.951	151.872	你把這種經驗帶到東岸,你會很慘。
151.872	155.653	你到台東,你到海邊試試看。
155.653	160.495	你很可能走三步,你已經怎麼樣?
160.495	162.576	需要游泳圈了。
162.576	165.437	因為那邊是這樣下去的。
165.437	172.620	他要描述的,聖經進去的時候,你要謙卑像小孩子,但你要有心理預備,很深的。
172.620	175.701	你必須長大,不然你沒有辦法看懂。
178.063	178.872	繁體中文，
