start	end	text
4.855	22.465	林老師可以再跟我們多介紹一點智庫它主要會做的工作會有哪一些內容嗎?
22.465	33.870	我個人曾經做了這樣的一個整理也許有人覺得智庫很抽象那我就嘗試把它具體化如果說 智庫到底在做什麼?
33.870	36.311	我把它分成五方面。
36.311	41.975	用英文來講是RECA。
41.975	41.975	R-E-E-C-A。
41.975	41.975	Research。
41.975	44.977	它應當是以研究為基礎。
44.977	49.400	就好像大腦,它應當是具備這種思考的特質。
49.400	54.263	這一塊是需要培養、需要訓練、需要提昇的。
54.263	59.005	然後它要以整個社會為教育的對象。
59.005	60.967	我把這一塊稱為Editification。
61.527	73.870	教化,就是廣義的對這個人所生存的這個大環境做基督教信仰的一種遺風藝術的推動。
73.870	87.673	那麼第三,我也期待我們的智庫能夠扮演對教會的信徒做這個神學教育信仰思考能力提昇的角色。
88.746	95.831	那麼除了教育之外,我想大腦在做的各種協調工作就好像做連結。
95.831	108.440	能夠知道現場發生的這些實踐工作的參與者需要跟好像在後方在做教育訓練的神學院的老師做連結等等。
108.440	111.402	那智庫就是主動要去推各式各樣的連結。
112.312	124.481	最後當然智庫也需要有屬於智庫的活動,因為光想不行,一定要藉著活動,然後能夠讓更多基督徒有共鳴。
124.481	129.785	是,我想這五個面向是蠻全備的,蠻全方位的。
129.785	141.552	那現在智庫剛剛開始起步,所以我們針對這五個項目有沒有比較 短期、中期、長期的一些順序的規劃呢?
141.552	147.253	如果以時序來講,我認為最優先的應當是教育。
147.253	158.396	因為我想我們作為一個信仰群體,我們的宗教會信徒如果能夠廣泛地感受到大腦的重要,這是智庫它能夠成立的最重要的基礎。
158.916	168.782	而這一塊應當透過教育,也就是教育我們的信徒能夠更多人有這種思想知識方面的覺醒。
168.782	174.526	然後漸漸地往中期走,我個人的期待是我們的連結能夠落實。
174.526	182.771	因為我發現我們目前的情況好像在屬於基督的身體的各肢體之間的連結還不大夠。
183.712	188.358	交流一掃有時候不只是沒有連結甚至可能有誤解。
188.358	196.229	如果我們藉著自顧的推動能夠把一些重要的連結建造起來這是我所設定的中期的目標。
196.229	209.662	那麼長期的目標我想這個最難就是我們也希望 我們在主禱文所禱告的,願天父上帝的旨意能夠徹底的臨到這個世界,也就是教化整個社會。
209.662	218.790	這一塊,我們也可以說是一種社會教育,是以整個社會為教育目標的一種教育努力。
219.531	223.392	這一塊是希望當作長期性的。
223.392	228.073	積極來說我們希望整個社會能夠更了解基督教信仰的基本價值觀。
228.073	234.454	消極來講我們不希望說好像很多人對基督教信仰有一些我覺得不健康的刻板印象。
234.454	239.115	這些都是在口耳相傳當中不斷的傳下去的。
239.115	248.277	希望有一天我們整個社會也許不是每一個人都願意做基督徒但不希望說有那麼大的對基督教信仰的不正確的了解。
248.797	253.863	林老師,就我個人所知,您在神學院也服務長達28年。
253.863	262.212	這麼長的時間裡面,您覺得智庫所要做的這些研究,跟神學院所在做的這些研究,有什麼樣的不一樣嗎?
262.212	263.053	會有重疊性嗎?
264.053	282.332	我想智庫會需要神學院的老師但是智庫所需要的這種知識的工作者是遠超過神學老師而已比如說我們要了解這個社會我們需要對這個社會學有 有專業知識的人。
282.332	292.296	比如說我們要處理一些可能是醫學倫理要面對的我們基督徒怎麼樣去面對一些在醫學會遇到的難題。
292.296	297.117	我們會需要有自然科學、醫學方面的學者。
297.117	307.500	那麼智庫所會注意到的整個基督徒群體的能夠參與這種知識跟思想的那個領域是比神學院更豐富。
307.500	308.721	也需要更廣的人才。
315.435	316.668	繁體中文，
