start	end	text
4.445	6.386	我們現在講到擴。
6.386	10.089	剛剛講長,我們有比別人長的地方。
10.089	12.411	我們需要把這一段告訴別人。
12.411	15.893	擴的部分是我們並不是一個人存在這個世界上。
15.893	19.576	這個世界上也不是只有基督徒存在這個世界上。
19.576	25.601	臺灣有95%不是基督徒的人,正存活在我們一個共同的生活空間。
25.601	30.264	年輕的時候我收一本書影響非常大,就是海德格的存在與時間。
30.264	58.203	我覺得海德格他那個時間的那個處理, 個人比較沒那麼興趣但是我覺得他對於那個存在的那個處理我非常有興趣在他那個模型裡面告訴我們我們每個人都是一個在世存有 我們是一個在世存有,好像一個人透過他的存在的一個意識,像一個輻射性的投射出去,看到整個一個世界是什麼意思,以及我跟他的相對關係。
58.203	68.706	弟兄姊妹,如果我們意識到,其實我們對於空間的理解,我們對於存在的理解,其實是相當的複雜、微妙的。
68.706	97.624	你看喔,假設我,莊玉明, 我是一個在世存有我對世界的整個理解是一個從這個原點放射狀出去的一個意識的一個網一個放射狀這邊一個那邊一個你也是一個這所有的交織起來的時候就是一個極複雜的一個所有的認識跟意識的一個複雜關係同時存在一個世界基督徒不可能 一視而獨立的活在這個世界上。
97.624	105.628	我們所有東西其實都是一個放射性的跟這整個世界交紮在一起的一個在世存有。
105.628	110.230	因此我們如何跟別人共同生活。
110.230	120.495	包含跟這個擴就是指說我們如何跟另外的一個存在者共同的來成為在世存有。
120.495	136.395	可能是你的家人可能是你的會友甚至可能是 這個其他的夥伴們,其他的教會的,其他的機構的,其他的團體的,神學院的,甚至是這個怎麼樣,根本不是基督徒的。
136.395	139.297	我們的廓能夠拉到多廓?
139.297	145.241	我們的廓有辦法跟別人共同存在在一個時空裡面嗎?
145.241	167.645	我覺得空間這個東西非常有意思,我們剛剛第一個談到場,談到時間,第二個廓,我就想到以前在華神的時候,有一次我們在這個課, 我覺得老師比較保守,老師就是不准我們唱一些歌,例如什麼聖靈來,這種的,澆灌我。
167.645	182.672	那我記得在課堂上呢,就很多同學就跟老師就有一些討論,那後來我也參與這個討論,我就問老師一件事情,因為老師一直說,聖靈早就內住在每個人相信裡面,何必每次唱歌還叫聖靈來?
183.370	186.471	祂已經在裡面,怎麼還會再來呢?
186.471	187.931	出去再來嗎?
187.931	190.432	來來去去嗎?
190.432	193.673	一次就內住,永遠內住,怎麼會來來去去呢?
193.673	197.975	不需要再叫祂來,也不需要叫祂每次澆灌。
197.975	201.036	我就跟老師說,所以聖靈在你裡面對不對?
201.036	202.016	他說是。
202.016	203.836	我說所以聖靈也在我裡面對不對?
203.836	204.157	他說是。
204.157	208.138	所以我說聖靈到底是在你裡面還是在我裡面?
208.138	211.499	到底在哪裡?
211.499	211.699	都在。
212.961	248.581	所以聖靈在哪裡的那個哪裡並不是我們一般定義的space不是一個物理上的空間或是一個擴延性的這種空間的概念其實對於擴這個事情的這一個新的一種這存在的意思的這種空間的概念是非常非常值得我們去正視的一個問題我們來看個影片好了因為講這都很嚴肅所以我們看影片比較有趣好我們第二看什麼影片來 來,大聲一點。
259.206	262.188	臺灣腦力機軍師聯盟,大家好,我是Nicole。
262.188	265.390	我們今天要來討論到臺灣買武器真的比較貴嗎?
265.390	267.592	上一集有聊到當四個月的兵有用嗎?
267.592	269.453	這一集要討論到武器喔。
269.453	275.077	首先歡迎今天的來賓,國防安全研究院政策分析員江新彪老師。
275.077	275.658	老師好。
275.658	276.338	老師好。
276.338	278.860	各位對面好,我是江新彪。
278.860	279.881	您好。
279.881	284.244	我們從小就立志要成為最強幕僚的詹祥威博士生,您好。
284.244	285.565	大家好,Nicole。
286.783	289.587	軍事迷宅工程師蔡明廷。
289.587	290.709	大家好。
290.709	295.075	以及從MIT博士搖身一變﹐成為牧師的湯簡如牧師。
295.075	295.295	歡迎。
295.295	296.457	學生好。
296.457	297.658	各位隊友好。
297.658	297.859	大家好。
299.411	303.993	每次到了Jingle的時間,這個議題就會一直被新聞拿來播送。
303.993	306.714	所以我們先來看一下街頭民眾怎麼說。
306.714	308.635	你覺得臺灣買武器有比較貴嗎?
308.635	308.715	有。
308.715	316.518	因為我們平常民眾買不起武器,所以印象也只有新聞報導說今年又增加了多少預算在買那些武器。
316.518	317.819	應該有吧。
317.819	319.900	不只比較貴吧,還很爛。
321.032	322.973	我覺得會比較貴。
322.973	325.334	就我們也不知道現在最好的武器是什麼。
325.334	327.615	也不知道武器的價格是什麼。
327.615	329.837	就一直都是靠別人告訴我們。
329.837	329.997	會。
329.997	332.058	因為他們都賣我們懶懶的。
332.058	333.358	那我們回來就再修一修。
