start	end	text
4.224	5.867	弟兄姊妹平安，我們一起來思想。
5.867	7.369	《箴言》第26章。
7.369	11.476	來看屬於箴言八個選集裡面的第五個選集。
11.476	12.678	26章第一節。
12.678	16.584	夏天落雪,收割時下雨,都不相宜。
17.568	21.670	同樣的,愚昧人得尊榮也是如此。
21.670	27.313	夏天不會下雪,通常收割的時候也不會下雨。
27.313	36.899	因此,這個夏天下雪跟收割時候下雨都不相宜,代表這個不符合天理,不符合道理。
36.899	40.261	同樣的,愚昧人也不可能得著生命中的尊榮。
41.101	53.249	那代表說,做一個愚昧的人,他生命中註定要得到修入,勸勉我們要回來走神的道路,做一個人生有上帝智慧的人。
53.249	60.854	第二節,麻雀往來,燕子翻飛,這樣無故的咒詛也必不臨到。
60.854	65.938	這一節給我們兩個提醒,就是說麻雀跟燕子飛來飛去,卻沒有落地。
66.578	73.361	同樣的,無緣無故﹐沒有道理的咒詛﹐也不會臨到或降落在我們的生命裡面。
73.361	89.469	我想第一個鼓勵我們,對於一些不要害怕,我們如果行的正,在神的面前走正直的路,那無緣無故的咒詛﹐沒有道理的咒詛和禍患,也不會臨到我們的生命。
89.469	107.761	那第二個是提醒我們,就是說生命中很多事情事出有因, 有時候神允許我們遇到一些不順利或是困難的事情,也很可能是神在提醒、管教、光照我們,要我們去省思自己,然後能夠悔改,來回到祂的面前。
107.761	115.626	第三節,鞭子是為打馬,配頭是為勒驢,行杖是為打愚昧人的背。
115.626	123.652	接下來幾節都繼續在講愚昧人,馬和驢都需要鞭子或是這個配頭,勒住他的頭。
124.906	127.287	來調整祂的方向。
127.287	135.968	那愚昧人也是一樣,愚昧人有時候需要上帝的管教跟責打,他才能夠願意來改變他走路的方向。
135.968	140.169	上帝也是愛他啦,免得他最後偏行幾路就滅亡了。
140.169	145.390	第四節,不要照愚昧人的慾望話回答他,恐怕你與他一樣。
145.390	151.013	要照愚昧人的慾望話回答他, 免得他自以為有智慧。
151.013	157.116	第四跟第五節看起來剛好相反,但它其實是一個辯證法,就是你要看情形使用。
157.116	165.000	第一個就是不要隨愚昧的人,他對你說愚昧的話,你就被他激怒,或是隨他起舞。
165.000	177.227	很多時候我們是這樣,就是當我們被一些愚昧人用一些很愚昧的言語來刺激我們的時候,我們就會隨他起舞,以至於我們也跟他愚昧。
177.927	179.989	說出愚昧的話。
179.989	195.901	那第五節提醒我們說,有時候愚昧人用愚昧話挑戰我們的時候,我們有時候是需要回答他的,好讓他知道,他的話充滿愚昧,其實是為了救他,不要讓他繼續在愚昧、無知、驕傲、自大裡面自取滅亡。
195.901	202.386	第六節,借愚昧人手記性的,是砍斷自己的腳,自受損害。
204.087	208.591	借誰的手來寄信,代表信任祂。
208.591	213.976	再次提醒我們要有明辨是非,能夠分辨人的智慧。
213.976	217.439	不要交托自己重要的事情,如同寄信。
217.439	220.882	你寄一個信,一定是有重要的事要去解決。
221.442	224.263	你不要託付給錯誤的人。
224.263	227.784	第七節,瘸子的腳,空存無用。
227.784	231.825	真言在愚昧人的口中也是如此。
231.825	238.867	好像是,他在意思說,一個人的腳他不方便,那他的腳,對他來講就沒有益處。
239.787	247.030	一樣的,上帝的智慧言與真言,在一個愚昧人的口中,也發揮不出果效。
247.030	250.031	因為他心裡面不願意向神謙卑。
250.031	261.816	就算他會引用上帝的這個真言,會引用聖經的經句,很多人就是神的話,這個頭頭是道,朗朗上口。
261.816	267.459	但裡面的生命沒有改變,其實背再多的經句,對我們生命的幫助也不是太大。
268.439	275.222	第八節將尊榮給愚昧人的,好像把石子包在雞弦裡。
275.222	278.024	什麼意思呢?
278.024	296.716	這個雞弦就是這個投石器以前以色列人古代他們那個甩石雞弦那甩石雞弦的目的就是要把石頭甩出去成為武器攻打敵人但是你卻把這顆石頭 綁在甩石機弦上,代表你永遠甩不出去。
296.716	297.777	這等於是怎麼樣?
297.777	300.739	這個甩石機弦就沒有用處了。
300.739	306.244	那因此呢,就好像把尊榮給愚昧人,這個是不可能的事情。
306.244	310.747	就如同你不會把石頭綁死在甩石機弦上。
310.747	314.310	再一次提醒我們,愚昧人不可能得著尊榮。
314.310	316.732	愚昧人的結局只有羞辱。
316.732	321.916	第九節,箴言在愚昧人的口中,好像荊棘刺入罪悍的手。
322.637	331.844	它的原文是說,這個好像荊棘放在喝酒醉的人的手中,荊棘放在一個人手中,他會怎麼樣?
331.844	334.486	會痛,他就想趕快把他甩開。
334.486	345.535	那對於一個生命糊裡糊塗,很像醉漢,喝酒醉的人來講,你把上帝的真言給他,他也是立刻把他甩開,不願意受教。
346.476	370.664	第十節,僱用愚昧人的與僱用過路人的,就像這個射傷眾人的弓箭手,隨便找一個路人夾一柄,或是隨便找一個愚昧人來替你辦事情,成為跟你同工的人,就好像隨便找一個弓箭手,然後他在,他應該射敵人,他卻怎麼樣亂射,射傷路人。
371.664	381.890	再次提醒我們,要慎選跟你同工的人,慎選替你辦事的人,不要找愚昧人跟亂找路人夾一餅。
381.890	388.315	愚昧人行事愚妄,行了又行,就如狗轉過來吃牠所吐的。
388.315	391.437	有點像就是狗改不了吃屎。
391.437	395.579	愚昧人總是在同樣的事情上,不斷的犯同樣的錯誤。
395.579	396.400	為什麼會這樣呢?
